Main Entry,Location,Sub-entry,Detail,Page Numbers
"Damini, Vincenzo",,,,281
"Dandini, Pietro",,,,233n
Dante,,,,339
Daphnis and Chloe,,,,"341, 370"
"Dardani, Antonio",,,,224
"Dardani, Antonio",,Apotheosis of Aeneas (with Rambaldi),,224
"Dartmouth, Lord",,,,276n
"Dati, Carlo",,,,"100n, 108"
"Daun, Count",,,,
"Daun, Count",,introduction of Neapolitan painting into Central Europe,,200
"Daun, Count",,palace in Vienna,,200
"David, Ludovico",,,,"88, 220"
"David, Ludovico",,Adoration of the Magi,,88
"David, Ludovico",,"and S. Maria Maggiore, Bergamo",,220
"David, Ludovico",,Flight into Egypt,,88
"David, Ludovico",,Nativity,,88
"den Einden, Ferdinand van",,,,"207n, 208"
"den Einden, Jan van",,,,"207n, 208"
"den Hecke, Jan van",,,,97
"der Bos, Gerard van",,,,206
"Devonshire, Duke of",,,,343n
"Diderot, Denis",,,,"356, 409"
"Dietrich, Christian",,,,342
"Dingley, Robert",,,,303
"Diziani, Gaspare",,,,"165, 266, 270, 278, 294"
"Dolci, Carlo",,,,"197, 212, 268"
"Dolci, Carlo",,Flight into Egypt,,211
"Dolfin, Caterina",,,,"245n, 318"
"Dolfin, Daniele (Archbishop of Udine)",,,,253n
"Dolfin, Daniele III",,,,"252, 253"
"Dolfin, Daniele IV",,,,252
"Dolfin, Dionisio",,,,"252, 253"
Dolfin family,Venice,,,
Dolfin family,Venice,patronage of Tiepolo,,"252, 253"
Domenichino (Domenico Zampieri),,,,"4, 13, 27, 28, 39, 43, 53, 72, 73, 74, 78, 131n, 158, 159, 171, 172, 234, 348"
Domenichino (Domenico Zampieri),,and Cardinal Scipione Borghese,,"4, 27"
Domenichino (Domenico Zampieri),,and Cardinal Ludovisi,,"4, 28, 72, 73, 74"
Domenichino (Domenico Zampieri),,and Count of Monterey,,171
Domenichino (Domenico Zampieri),,frescoes in Naples cathedral,,171
Domenichino (Domenico Zampieri),,Hunt of Diana,,27
Domenichino (Domenico Zampieri),,payments,,13
Domenichino (Domenico Zampieri),,tribune of S. Andrea della Valle,,72
Domenichino (Domenico Zampieri),,work in S. Carlo ai Catinari,,76n
Dominicans,Venice,,,"270, 271, 272"
"Dominici, Bernardo de",,,,207
"Doni, Giovanni Battista",,,,"133, 134"
"Dorigny, Louis",,,,"201, 250, 251, 268, 270"
"Dorigny, Louis",,work for Manin,,268
"Douglas, Hamilton, Marquis of",,,,375n
Dresden,,,,"294, 295"
"Dubois, Ambrose",,,,173
"Dughet, Gaspard (Gaspard Poussin)",,,,"12, 67, 113, 137, 143, 155"
"Dughet, Jean",,,,57n
"Dupuy, Christophe",,,,108
"Duquesnoy, François",,,,"36, 104, 176, 179"
"Durazzo, Marchese Girolamo",,,,213
"Dürer, Albrecht",,,,"98, 211"
Dusseldorf,,,,"281, 282, 283, 284"
Dutch artists,Rome,,,20
"Duyvelant, Jacques",,,,206
"Dyck, Sir Anthony Van",,,,"48, 49, 64, 84, 91, 177, 222, 262, 279, 283, 398"
"Dyck, Sir Anthony Van",,Crucifixion,,49
"Dyck, Sir Anthony Van",,paintings of St Ignatius and St Francis Xavier,,64
"Dyck, Sir Anthony Van",,portrait of Cardinal Bentivoglio,,49
"Dyck, Sir Anthony Van",,St Sebastian,,206
"Dyck, Sir Anthony Van",,Susanna and the Elders,,206
"Dyck, Sir Anthony Van",,triple portrait of Charles I,,"37, 179"
