Main Entry,Location,Sub-entry,Detail,Page Numbers
"Edwards, Pietro",,,,"261n, 380, 395"
"Effetti, Antonio degli",,,,"156, 157"
"Effetti, Antonio degli",,delight in idea of wealth,,157
"Emo, Procurator",,,,245n
English patronage,,,,
English patronage,,of Italian artists in 17th century,,"177, 178, 195, 196, 197, 198, 199"
English patronage,,of Venetian artists,,"278, 279, 280, 281, 286, 287, 288, 289, 290, 291"
English patronage,,antipathy towards Venetian history painters after first two decades of 18th century,,286
English tourists in Italy,,in second half of 17th century,,197
Enlightenment in Italy,,,,"317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331"
Enlightenment in Italy,,contacts of Italian intellectuals with England and France,,"317, 318, 319"
Enlightenment in Italy,,opposition in Venice,,"318, 326, 327"
Epicurus,,,,370
"Erlach, Fischer von",,,,201
"Errard, Charles",,,,106
"Essex, Lord",,,,31n
"Este, Azzo, Marchese d'",,,,366
"Este, Isabella d'",,,,175
"Estrées, Duc d'",,,,200
"Eugene, Prince",,"see under Savoy, Prince Eugene of",,
"Exeter, 5th Lord",,,,"197, 198, 211"
