Main Entry,Location,Sub-entry,Detail,Page Numbers
"Fabriano, Gentile da",,,,148
"Facciolati, Abate",,,,"301, 322"
"Falcone, Aniello",,,,206
"Faldoni, Giovanni Antonio",,,,343
"Fanelli, Francesco",,,,"178, 179"
"Fanelli, Francesco",,bust of Charles I,,178
"Fanelli, Francesco",,bust of Charles II when Prince of Wales,,178
Fantasy and reason,,18th century discussion of roles in creation,,"318, 320"
"Fanti, Gaetano",,,,201
"Fanzago, Cosimo",,,,172
"Farnese, Cardinal Alessandro",,,,"65, 66, 69, 78, 84, 137, 398, 399, 400"
"Farnese, Odoardo, Duke of Parma",,,,"58, 146"
"Farnese, Ranuccio II, Duke of Parma",,,,"19, 84, 92"
"Farnese, Ranuccio II, Duke of Parma",,and Gesù,,"79, 80, 81"
Farnese Palace,Rome,,,250
"Farsetti, Anton Francesco",,,,364
"Farsetti, Daniele",,,,"363, 364"
"Farsetti, Filippo",,,,"322, 361, 362, 363, 364, 368, 373"
"Farsetti, Filippo",,and Canova,,363
"Farsetti, Filippo",,and Carlo Lodoli,,362
"Farsetti, Filippo",,collection of casts from antique statues,,362
"Farsetti, Filippo",,collection of paintings,,362
"Farsetti, Filippo",,country house at S. Maria di Sala,,"362, 363"
"Farsetti, Filippo",,gardens,,363
"Farsetti, Filippo",,interest in contemporary arts,,363
"Farsetti, Filippo",,Palazzo Farsetti,,363
"Farsetti, Filippo",,promotion of Venetian neo-classicism,,363
"Farsetti, Filippo",,sale of collections,,364
"Farsetti, Tommaso Giuseppe",,,,"235n, 362n, 364"
"Fedini, Domenico",,,,"388, 389"
"Félibien, André",,,,"114, 115"
"Ferdinand Maria, Elector of Bavaria",,,,193
Ferrara,,,,"25, 48, 49, 221, 222"
Ferrara,,Archbishop's Palace,,"221, 222"
Ferrara,,Bentivoglio and,,48
"Ferrari, Giovanni",,,,367
"Ferrari, Gregorio de",,,,200
"Ferrata, Ercole",,,,149
"Ferrerio, Andrea",,,,
"Ferrerio, Andrea",,Vigilance,,221
"Ferrerio, Andrea",,"work in Archbishop's Palace, Ferrara",,"221, 222"
"Ferretti, Gian Domenico",,,,299
"Ferri, Ciro",,,,"12, 13n, 18, 23n, 60, 65, 80, 217, 218"
"Ferri, Ciro",,payments,,12n
"Ferri, Ciro",,modello for cupola of S. Agnese,,12
"Ferri, Ciro",,work for Louis XIV,,187
"Ferri, Ciro",,"work in S. Maria Maggiore, Bergamo",,218
"Festari, Girolamo",,,,369
"Feti, Domenico",,,,"175, 262, 385, 393"
"Fiammeri, Giovanni Battista",,,,67
"Fielding, Henry",,,,287
"Filomarino, Cardinal",,,,139n
"Finch, John",,,,197
"Finelli, Giuliano",,,,"171, 172, 190"
"Fiori, Mario de' (Mario Nuzzi)",,,,"8n, 20, 143"
Flemish artists in Rome,,,,"26, 206"
Florence,,,,"210, 211, 212, 213, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241"
Florence,,as centre of opposition to classical-academic theories under Grand Prince Ferdinand,,241
"Foggini, Giovan Battista",,,,"233n, 283n"
"Fontana, Carlo",,,,165
"Fontana, Domenico",,,,24
"Fontana, Conte Francesco",,,,17n
"Fontebasso, Francesco",,,,"272, 297, 339, 361"
"Fontebasso, Francesco",,Elijah carried to Heaven,,272
"Fontebasso, Francesco",,Three Angels visiting Abraham,,272
Fontenelle,,,,318
Fontenelle,,Eloge in Tombeaux des Princes,,291n
"Forabosco, Girolamo",,,,169
"Foscarini, Marco",,,,"258, 259, 260, 357, 369, 381"
"Foscarini, Marco",,library,,259
"Foscarini, Marco",,opposition to Angelo Querini,,"258, 259"
"Foscarini, Pietro",,,,"259, 273n"
Foscarini family,Venice,,,
Foscarini family,Venice,wealth of,,261
Foscarini palace,,,,259
"Fountaine, Sir Andrew",,,,"279, 343n"
"Fountaine, Sir Andrew",,Narford Hall,,279
"Fouquet, Nicolas",,,,186
"Fragonard, Jean Honoré",,,,332
"Francavilla, Pietro",,,,"174, 178"
"Francavilla, Pietro",,fountain of Orpheus enchanting the wild beasts,,174
"Franceschini, Baldassare",,,,"187, 231, 403"
"Franceschini, Baldassare",,Fame carrying the Name of Louis XIV to the Temple of Immortality,,187
