Main Entry,Location,Sub-entry,Detail,Page Numbers
"Haen, David de",,,,206
"Halifax, Earl of",,,,286
"Hamen, Juan van der",,,,400
"Handel, George Frederick",,,,281
Hapsburg collections from Prague,,,,"97, 98, 193"
Hapsburg patronage of Venetian artists,,,,278
"Harley, Robert",,"see under Oxford, Earl of",,
"Harrach, Count",,,,200
"Harris, Enriqueta",,,,190n
"Helmbrecker, Theodor",,,,158
Henri III of France,,,,255
Henri IV of France,,,,"26, 33, 53, 173, 174"
"Henrietta Maria, Queen of England",,,,179
"Hervey, Sir Robert",,,,305
"Hervey, Lord",,,,349
"Hildebrandt, Lucas von",,,,201
"Hill, Samuel",,,,"290n, 304n"
"Hogarth, William",,,,279
"Honthorst, Gerrit van",,,,95
Horace,,,,360
"Houdon, Jean-Antoine",,,,
"Houdon, Jean-Antoine",,busts of Voltaire and Rousseau,,369
"Huber, Jean",,,,
"Huber, Jean",,engraving of head of Voltaire,,370
"Hume, A.",,,,375n
