Main Entry,Location,Sub-entry,Detail,Page Numbers
"Jabach, Everard",,,,184
James II of England,,,,"196, 280, 286"
James III of England,,,,203
Jesuits,,,,"90, 91, 93, 398, 399, 400"
Jesuits,,characteristics of their art,,"63, 67, 79, 82, 83"
Jesuits,Rome,,,"63, 64, 65, 66, 67, 68, 73n, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 99n, 161, 163"
Jesuits,Venice,,,"267, 271, 272"
Jesuits,Venice,hostility of Gesuati,,271
Johann Georg III of Saxony,,,,194
"Johann Wilhelm, Elector Palatinate",,,,"277, 281, 282, 283, 284, 293"
"Johann Wilhelm, Elector Palatinate",,and Pellegrini,,283
"Johann Wilhelm, Elector Palatinate",,"Flemish, Dutch, and Italian old masters in collection",,283
"Johann Wilhelm, Elector Palatinate",,patronage of Dutch artists,,283
"Johann Wilhelm, Elector Palatinate",,patronage of Italian artists,,282
"Johann Wilhelm, Elector Palatinate",,taste in painting,,282
"Johann Wilhelm, Elector Palatinate",,Van Dyck and Rubens paintings in collection,,283
"John Sobieski, King of Poland",,,,129
"Johnson, Samuel",,,,328
"Joli, Antonio",,,,314
"Jones, Inigo",,,,"178, 309"
Julian the Apostate,,,,"109, 196"
Justinus,,,,118
Justus of Ghent,,,,54
"Juvarra, Filippo",,,,"164, 165, 202, 296, 297"
"Juvarra, Filippo",,as artistic director in Turin,,"296, 297"
"Juvarra, Filippo",,scheme for decorating Royal Palace in Madrid,,297
"Killigrew, Thomas",,,,197
