Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"Cadani, Stefano",E21 Person,,,,,,194
"Cadogan, Lord",E21 Person,,,,,,284
"Cagnacci, Guido",E21 Person,,Bologna/Venice,博洛尼亚画派，后活跃于威尼斯,,,"195, 241"
"Cagnacci, Guido",E21 Person,,Bologna/Venice,博洛尼亚画派，后活跃于威尼斯,Magdalene,,241
Caime,E21 Person,,,,,,337
"Calandrucci, Giacinto",E21 Person,,Rome,罗马画家 (Maratta学生),,,"192, 197"
"Callot, Jacques",E21 Person,,Nancy/Florence,洛林版画家,,,"95, 133, 343"
"Callot, Jacques",E21 Person,,Nancy/Florence,洛林版画家,Fiera dell' Impruneta,,213
"Camassei, Andrea",E21 Person,,Rome,罗马画家,,,"10n, 50, 51, 56, 57, 61, 121, 131"
"Camassei, Andrea",E21 Person,,Rome,罗马画家,God creating the Angels,,50
"Camassei, Andrea",E21 Person,,Rome,罗马画家,Parnassus,,50
"Camassei, Andrea",E21 Person,,Rome,罗马画家,work in Barberini palace,,"50, 51"
"Cambiaso, Luca",E21 Person,,Genoa,热那亚样式主义画家,,,29
"Camerata, Giuseppe",E21 Person,,Venice,威尼斯微型画家/版画家,,,260n
"Camerino, Giovanni Angelo da",E21 Person,,,,,,55n
"Campanella, Tommaso",E21 Person,,Rome/Paris,哲学家,,,40n
"Campbell, Colen",E21 Person,,London,英国建筑师 (Vitruvius Britannicus),,,
"Campbell, Colen",E21 Person,,London,英国建筑师 (Vitruvius Britannicus),Vitruvius Britannicus,,309
"Campione, Giovanni da",E21 Person,,,,,,215
"Canal, Fabio",E21 Person,,,,,,254n
"Canal, Gerolamo",E21 Person,,,,,,304
"Canale, Procuratore",E21 Person,,,,,,214n
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,,,"226, 228, 262, 265, 270, 288, 289, 293, 314, 315, 319, 322, 330n, 342, 351, 355, 361, 374, 375, 377, 382n, 384, 392, 393, 407"
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,and F. Algarotti,,"347, 349, 357"
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,and F. Algarotti,view of Grand Canal as Palladio might have designed it,357
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,and McSwiny,,"291, 292"
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,death,,310
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,drawings of Ducal ceremonies for Furnaletto,,340
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,Entry of the Comte de Gergy,,277n
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,Entry of the Count of Bolagno,,277n
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,Horses of St Mark's,,"308, 309"
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,paintings in Sigismund Streit's collection,,"315, 316"
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,paintings for English Grand Tourists,,
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,paintings for English Grand Tourists,views of Venice for Duke of Bedford,305
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,paintings for English Grand Tourists,views of Venice for Earl of Carlisle,305
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,paintings for English Grand Tourists,views of Venice for Sir Robert Hervey,305
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,possible share in Monument to Lord Stanhope (McSwiny's British Worthies),,289n
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,prices,,262
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,relations with and work for Consul Smith,,"304, 305, 306, 307, 308"
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,relations with and work for Consul Smith,'caprices',308
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,relations with and work for Consul Smith,overdoors of Palladian buildings,"307, 308"
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,relations with and work for Consul Smith,pictures representing Grand Canal,305
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,relations with and work for Consul Smith,resumption of work for Consul Smith ca 1740,"307, 308"
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,relations with and work for Consul Smith,series of 31 etchings dedicated to Consul Smith,308
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,relations with and work for Consul Smith,views of Roman monuments,307
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,relations with and work for Consul Smith,views of S. Marco,305
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,Z. Sagredo and,,265
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,share in Monument to Lord Somers (McSwiny's British Worthies),,289n
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,share in Monument to Archbishop Tillotson (McSwiny's British Worthies),,289n
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,view of Corfù for Marshal Schulenburg,,312
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,Vigilia di S. Marta,,316
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,Vigilia di S. Pietro,,316
Canaletto,E21 Person,,Venice/London,威尼斯风景画家,work in England,,292
Candiani,E21 Person,,Venice,威尼斯贵族,,,187
"Canini, Giovanni Angelo",E21 Person,,Rome,罗马画家/版画家,,,"154, 161, 187n, 197n"
Canons (Duke of Chandos),E53 Place,,London,Chandos公爵的庄园,,,281
"Canova, Antonio",E21 Person,,Rome/Venice,新古典主义雕塑家,,,"363, 364, 367, 371, 374"
"Canova, Antonio",E21 Person,,Rome/Venice,新古典主义雕塑家,bust of Paolo Renier,,"371, 372n"
"Canova, Antonio",E21 Person,,Rome/Venice,新古典主义雕塑家,Ferrari statue of in Prà della Valle,,367
"Canova, Antonio",E21 Person,,Rome/Venice,新古典主义雕塑家,portrait of Amadeo Swajer,,377
"Canova, Antonio",E21 Person,,Rome/Venice,新古典主义雕塑家,statue of Marchese Poleni in Prà della Valle,,367
"Cappello, Antonio",E21 Person,,,,,,367
"Caprara, Marshal",E21 Person,,,,,,201
Capuchins,E74 Group,Venice,Europe,嘉布遣会 (天主教修会),,,271
"Caraboli, Giacomo",E21 Person,,,,,,394
"Caracciolo, Giovanni Battista",E21 Person,,Naples,那不勒斯卡拉瓦乔派画家 (Battistello),,,205
"Carandini, Count Camillo",E21 Person,,,,,,137
"Carandini, Marchesa Elisa",E22 Man-Made Object,,,,,,137
"Caravaggio, Michelangelo da",E21 Person,,Rome,巴洛克现实主义先驱,,,"10, 11, 25, 27, 28, 29, 30, 46, 64, 70, 71, 95, 101, 120, 130, 134, 159, 170, 222, 396"
"Caravaggio, Michelangelo da",E21 Person,,Rome,巴洛克现实主义先驱,and Vincenzo Giustiniani,,"10, 29, 30"
"Caravaggio, Michelangelo da",E21 Person,,Rome,巴洛克现实主义先驱,Conversion of St Paul,,11
"Caravaggio, Michelangelo da",E21 Person,,Rome,巴洛克现实主义先驱,Death of the Virgin,,125
"Caravaggio, Michelangelo da",E21 Person,,Rome,巴洛克现实主义先驱,Earthly Love,,127
"Caravaggio, Michelangelo da",E21 Person,,Rome,巴洛克现实主义先驱,Entombment of Christ,,70
"Caravaggio, Michelangelo da",E21 Person,,Rome,巴洛克现实主义先驱,Martyrdom of St Peter,,11
"Caravaggio, Michelangelo da",E21 Person,,Rome,巴洛克现实主义先驱,portrait of Maffeo Barberini,,25
"Caravaggio, Michelangelo da",E21 Person,,Rome,巴洛克现实主义先驱,Sacrifice of Abraham,,25
"Caravaggio, Polidoro da",E21 Person,,Rome,拉斐尔学生,,,"124, 210"
"Carlevarijs, Luca",E21 Person,,Venice,威尼斯风景画先驱,,,"227, 250, 260, 276, 314, 375, 376"
"Carlevarijs, Luca",E21 Person,,Venice,威尼斯风景画先驱,Le Fabriche e Vedute di Venetia,,332
"Carlevarijs, Luca",E21 Person,,Venice,威尼斯风景画先驱,Entry of the Count of Colloredo,,277n
"Carlevarijs, Luca",E21 Person,,Venice,威尼斯风景画先驱,Entry of Lord Manchester,,277n
"Carlevarijs, Luca",E21 Person,,Venice,威尼斯风景画先驱,Regatta in honour of Frederick IV of Denmark,,277n
"Carlisle, Earl of",E21 Person,,London,英国贵族,,,"279, 305"
"Carlo, Ferrante",E21 Person,,,,,,"123, 124, 402"
"Carlone, Carlo",E21 Person,,Como/Austria,活跃于中欧的意大利画家,,,201
"Carlone, Gianandrea",E21 Person,,Genoa/Rome,热那亚画家,,,"21, 85, 122"
Carmelites,E74 Group,Venice,Europe,加尔默罗会 (天主教修会),,,270
"Caroselli, Angelo",E21 Person,,Rome,罗马巴洛克画家,,,179
"Carpaccio, Vittore",E21 Person,,Venice,威尼斯文艺复兴画家,,,410
"Carpaccio, Vittore",E21 Person,,Venice,威尼斯文艺复兴画家,Scenes from Life of St Ursula,,376
"Carpegna, Count",E21 Person,,,,,,"137, 143"
"Carpi, Ugo da",E21 Person,,Rome/Venice,明暗木刻版画先驱,,,343
"Carpio, Marchese Del",E22 Man-Made Object,,Naples/Madrid,西班牙驻那不勒斯总督/收藏家,,,"10, 118, 190, 191, 192"
"Carpio, Marchese Del",E22 Man-Made Object,,Naples/Madrid,西班牙驻那不勒斯总督/收藏家,and Bernini,,191
"Carpio, Marchese Del",E22 Man-Made Object,,Naples/Madrid,西班牙驻那不勒斯总督/收藏家,in Naples,,"191, 192"
"Carpio, Marchese Del",E22 Man-Made Object,,Naples/Madrid,西班牙驻那不勒斯总督/收藏家,in Naples,reforms,192
"Carpio, Marchese Del",E22 Man-Made Object,,Naples/Madrid,西班牙驻那不勒斯总督/收藏家,in Rome,,"190, 191"
"Carpio, Marchese Del",E22 Man-Made Object,,Naples/Madrid,西班牙驻那不勒斯总督/收藏家,in Rome,purchases from Massimi collection,"190, 191"
"Carpioni, Giulio",E21 Person,,Venice/Vicenza,威尼斯画派画家,,,393
"Carracci, Annibale",E21 Person,,Bologna/Rome,卡拉奇兄弟之一,,,"4, 28, 29, 30, 39, 95, 105, 114, 124, 128, 131, 134, 158, 159, 170, 172, 203, 222, 263n, 283, 342, 348, 362"
"Carracci, Annibale",E21 Person,,Bologna/Rome,卡拉奇兄弟之一,Beaneater,,134
"Carracci, Annibale",E21 Person,,Bologna/Rome,卡拉奇兄弟之一,drawings,,266
"Carracci, Annibale",E21 Person,,Bologna/Rome,卡拉奇兄弟之一,Lucretia,,222
"Carracci, Ludovico",E21 Person,,Bologna,卡拉奇兄弟之一,,,"123n, 241, 398"
"Carriera, Rosalba",E21 Person,,Venice,威尼斯粉彩肖像画家,,,"228, 258, 262, 267, 276, 277, 282, 291, 292, 293, 296, 304, 313, 315, 335, 336, 341, 342, 343, 344, 374, 392"
"Carriera, Rosalba",E21 Person,,Venice,威尼斯粉彩肖像画家,and Augustus III of Poland,,295
"Carriera, Rosalba",E21 Person,,Venice,威尼斯粉彩肖像画家,influence on French painting,,285
"Carriera, Rosalba",E21 Person,,Venice,威尼斯粉彩肖像画家,"journal, edited by Vianello",,376
"Carriera, Rosalba",E21 Person,,Venice,威尼斯粉彩肖像画家,portrait of Emmanuela Conti,,228
"Carriera, Rosalba",E21 Person,,Venice,威尼斯粉彩肖像画家,prices,,262
"Carriera, Rosalba",E21 Person,,Venice,威尼斯粉彩肖像画家,Winter,,303
"Carriera, Rosalba",E21 Person,,Venice,威尼斯粉彩肖像画家,work for Consul Smith,,303
"Carriera, Rosalba",E21 Person,,Venice,威尼斯粉彩肖像画家,work in Paris,,"284, 285"
"Cars, Laurence",E21 Person,,,,,,291
"Casanova de Seingalt, Jacques",E21 Person,,Venice,即 Giacomo Casanova,,,"274, 364, 367, 375"
"Cassana, Giovanni Agostino",E21 Person,,Venice,威尼斯画家 (Genoese origin),,,227
"Cassana, Niccolò",E21 Person,,Venice,威尼斯肖像画家,,,"197, 232, 234, 240, 265n, 276n"
"Cassana, Niccolò",E21 Person,,Venice,威尼斯肖像画家,as agent for Grand Prince Ferdinand,,232
"Cassana, Niccolò",E21 Person,,Venice,威尼斯肖像画家,Bacchanal,,234
"Cassana, Niccolò",E21 Person,,Venice,威尼斯肖像画家,Conspiracy of Catiline,,234
"Cassana, Niccolò",E21 Person,,Venice,威尼斯肖像画家,paintings for Grand Prince Ferdinand,,234
"Cassana, Niccolò",E21 Person,,Venice,威尼斯肖像画家,Portrait of a Cook,,"234, 240"
"Cassana, Niccolò",E21 Person,,Venice,威尼斯肖像画家,Portrait of a Hunter,,241
"Cassana, Niccolò",E21 Person,,Venice,威尼斯肖像画家,Venus playing with Cupid,,234
"Castelli, Matteo",E21 Person,,,,,,25
"Castiglione, Giovanni Benedetto",E21 Person,,Genoa/Rome,热那亚画家/版画家,,,"114, 124, 207, 267, 309, 312, 341, 343, 350, 354"
"Castiglione, Giovanni Benedetto",E21 Person,,Genoa/Rome,热那亚画家/版画家,drawings in Sagredo collection,,266
