Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"Edwards, Pietro",E21 Person,,Venice,威尼斯绘画修复师/行政官员,,,"261n, 380, 395"
"Effetti, Antonio degli",E21 Person,,Rome,罗马赞助人,,,"156, 157"
"Effetti, Antonio degli",E21 Person,,Rome,罗马赞助人,delight in idea of wealth,,157
"Emo, Procurator",E21 Person,,,,,,245n
English patronage,E28 Conceptual Object,,Rome/Venice,英国大旅行赞助,,,
English patronage,E28 Conceptual Object,,Rome/Venice,英国大旅行赞助,of Italian artists in 17th century,,"177, 178, 195, 196, 197, 198, 199"
English patronage,E28 Conceptual Object,,Rome/Venice,英国大旅行赞助,of Venetian artists,,"278, 279, 280, 281, 286, 287, 288, 289, 290, 291"
English patronage,E28 Conceptual Object,,Rome/Venice,英国大旅行赞助,antipathy towards Venetian history painters after first two decades of 18th century,,286
English tourists in Italy,E28 Conceptual Object,,Italy,大旅行游客,in second half of 17th century,,197
Enlightenment in Italy,E28 Conceptual Object,,Italy,意大利启蒙运动,,,"317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331"
Enlightenment in Italy,E28 Conceptual Object,,Italy,意大利启蒙运动,contacts of Italian intellectuals with England and France,,"317, 318, 319"
Enlightenment in Italy,E28 Conceptual Object,,Italy,意大利启蒙运动,opposition in Venice,,"318, 326, 327"
Epicurus,E21 Person,,Greece,古希腊哲学家,,,370
"Erlach, Fischer von",E21 Person,,,,,,201
"Errard, Charles",E21 Person,,,,,,106
"Essex, Lord",E21 Person,,,,,,31n
"Este, Azzo, Marchese d'",E22 Man-Made Object,,,,,,366
"Este, Isabella d'",E21 Person,,Mantua,文艺复兴重要赞助人,,,175
"Estrées, Duc d'",E21 Person,,,,,,200
"Eugene, Prince",E21 Person,,,,"see under Savoy, Prince Eugene of",,
"Exeter, 5th Lord",E21 Person,,,,,,"197, 198, 211"
