Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"Fabriano, Gentile da",E21 Person,,Florence/Rome,国际哥特式画家,,,148
"Facciolati, Abate",E21 Person,,,,,,"301, 322"
"Falcone, Aniello",E21 Person,,Naples,那不勒斯战争场面画家,,,206
"Faldoni, Giovanni Antonio",E21 Person,,,,,,343
"Fanelli, Francesco",E53 Place,,Genoa/London,雕塑家,,,"178, 179"
"Fanelli, Francesco",E53 Place,,Genoa/London,雕塑家,bust of Charles I,,178
"Fanelli, Francesco",E53 Place,,Genoa/London,雕塑家,bust of Charles II when Prince of Wales,,178
Fantasy and reason,E28 Conceptual Object,,,,18th century discussion of roles in creation,,"318, 320"
"Fanti, Gaetano",E21 Person,,,,,,201
"Fanzago, Cosimo",E21 Person,,Naples,那不勒斯巴洛克建筑师,,,172
"Farnese, Cardinal Alessandro",E21 Person,,Rome,红衣主教，耶稣会教堂赞助人,,,"65, 66, 69, 78, 84, 137, 398, 399, 400"
"Farnese, Odoardo, Duke of Parma",E21 Person,,,,,,"58, 146"
"Farnese, Ranuccio II, Duke of Parma",E21 Person,,Parma,帕尔马公爵,,,"19, 84, 92"
"Farnese, Ranuccio II, Duke of Parma",E21 Person,,Parma,帕尔马公爵,and Gesù,,"79, 80, 81"
Farnese Palace,E22 Man-Made Object,Rome,,,,,250
"Farsetti, Anton Francesco",E53 Place,,,,,,364
"Farsetti, Daniele",E21 Person,,,,,,"363, 364"
"Farsetti, Filippo",E21 Person,,Venice,威尼斯收藏家 (Farsetti宫),,,"322, 361, 362, 363, 364, 368, 373"
"Farsetti, Filippo",E21 Person,,Venice,威尼斯收藏家 (Farsetti宫),and Canova,,363
"Farsetti, Filippo",E21 Person,,Venice,威尼斯收藏家 (Farsetti宫),and Carlo Lodoli,,362
"Farsetti, Filippo",E21 Person,,Venice,威尼斯收藏家 (Farsetti宫),collection of casts from antique statues,,362
"Farsetti, Filippo",E21 Person,,Venice,威尼斯收藏家 (Farsetti宫),collection of paintings,,362
"Farsetti, Filippo",E21 Person,,Venice,威尼斯收藏家 (Farsetti宫),country house at S. Maria di Sala,,"362, 363"
"Farsetti, Filippo",E21 Person,,Venice,威尼斯收藏家 (Farsetti宫),gardens,,363
"Farsetti, Filippo",E21 Person,,Venice,威尼斯收藏家 (Farsetti宫),interest in contemporary arts,,363
"Farsetti, Filippo",E21 Person,,Venice,威尼斯收藏家 (Farsetti宫),Palazzo Farsetti,,363
"Farsetti, Filippo",E21 Person,,Venice,威尼斯收藏家 (Farsetti宫),promotion of Venetian neo-classicism,,363
"Farsetti, Filippo",E21 Person,,Venice,威尼斯收藏家 (Farsetti宫),sale of collections,,364
"Farsetti, Tommaso Giuseppe",E21 Person,,,,,,"235n, 362n, 364"
"Fedini, Domenico",E21 Person,,,,,,"388, 389"
"Félibien, André",E21 Person,,,,,,"114, 115"
"Ferdinand Maria, Elector of Bavaria",E21 Person,,,,,,193
Ferrara,E53 Place,,Ferrara,意大利城市，埃斯特家族领地,,,"25, 48, 49, 221, 222"
Ferrara,E53 Place,,Ferrara,意大利城市，埃斯特家族领地,Archbishop's Palace,,"221, 222"
Ferrara,E53 Place,,Ferrara,意大利城市，埃斯特家族领地,Bentivoglio and,,48
"Ferrari, Giovanni",E21 Person,,,,,,367
"Ferrari, Gregorio de",E21 Person,,Genoa,热那亚洛可可画家,,,200
"Ferrata, Ercole",E21 Person,,,,,,149
"Ferrerio, Andrea",E21 Person,,Milan,雕塑家,,,
"Ferrerio, Andrea",E21 Person,,Milan,雕塑家,Vigilance,,221
"Ferrerio, Andrea",E21 Person,,Milan,雕塑家,"work in Archbishop's Palace, Ferrara",,"221, 222"
"Ferretti, Gian Domenico",E21 Person,,,,,,299
"Ferri, Ciro",E21 Person,,Rome,罗马巴洛克画家 (Cortona学生),,,"12, 13n, 18, 23n, 60, 65, 80, 217, 218"
"Ferri, Ciro",E21 Person,,Rome,罗马巴洛克画家 (Cortona学生),payments,,12n
"Ferri, Ciro",E21 Person,,Rome,罗马巴洛克画家 (Cortona学生),modello for cupola of S. Agnese,,12
"Ferri, Ciro",E21 Person,,Rome,罗马巴洛克画家 (Cortona学生),work for Louis XIV,,187
"Ferri, Ciro",E21 Person,,Rome,罗马巴洛克画家 (Cortona学生),"work in S. Maria Maggiore, Bergamo",,218
"Festari, Girolamo",E21 Person,,,,,,369
"Feti, Domenico",E21 Person,,,,,,"175, 262, 385, 393"
"Fiammeri, Giovanni Battista",E21 Person,,,,,,67
"Fielding, Henry",E21 Person,,,,,,287
"Filomarino, Cardinal",E21 Person,,,,,,139n
"Finch, John",E21 Person,,,,,,197
"Finelli, Giuliano",E21 Person,,,,,,"171, 172, 190"
"Fiori, Mario de' (Mario Nuzzi)",E21 Person,,,,,,"8n, 20, 143"
Flemish artists in Rome,E74 Group,,,,,,"26, 206"
Florence,E53 Place,,Florence,佛罗伦萨,,,"210, 211, 212, 213, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241"
Florence,E53 Place,,Florence,佛罗伦萨,as centre of opposition to classical-academic theories under Grand Prince Ferdinand,,241
"Foggini, Giovan Battista",E21 Person,,,,,,"233n, 283n"
"Fontana, Carlo",E21 Person,,Rome,罗马巴洛克晚期建筑师,,,165
"Fontana, Domenico",E21 Person,,Rome/Naples,建筑师 (西克斯图斯五世御用),,,24
"Fontana, Conte Francesco",E53 Place,,,,,,17n
"Fontebasso, Francesco",E53 Place,,Venice,威尼斯画家,,,"272, 297, 339, 361"
"Fontebasso, Francesco",E53 Place,,Venice,威尼斯画家,Elijah carried to Heaven,,272
"Fontebasso, Francesco",E53 Place,,Venice,威尼斯画家,Three Angels visiting Abraham,,272
Fontenelle,E21 Person,,Paris,法国作家/启蒙思想家,,,318
Fontenelle,E21 Person,,Paris,法国作家/启蒙思想家,Eloge in Tombeaux des Princes,,291n
"Forabosco, Girolamo",E21 Person,,,,,,169
"Foscarini, Marco",E21 Person,,Venice,威尼斯总督/作家,,,"258, 259, 260, 357, 369, 381"
"Foscarini, Marco",E21 Person,,Venice,威尼斯总督/作家,library,,259
"Foscarini, Marco",E21 Person,,Venice,威尼斯总督/作家,opposition to Angelo Querini,,"258, 259"
"Foscarini, Pietro",E21 Person,,,,,,"259, 273n"
Foscarini family,E74 Group,Venice,Venice,威尼斯福斯卡里尼家族,,,
Foscarini family,E74 Group,Venice,Venice,威尼斯福斯卡里尼家族,wealth of,,261
Foscarini palace,E22 Man-Made Object,,,,,,259
"Fountaine, Sir Andrew",E22 Man-Made Object,,London,英国收藏家 (Narford Hall),,,"279, 343n"
"Fountaine, Sir Andrew",E22 Man-Made Object,,London,英国收藏家 (Narford Hall),Narford Hall,,279
"Fouquet, Nicolas",E21 Person,,,,,,186
"Fragonard, Jean Honoré",E21 Person,,,,,,332
"Francavilla, Pietro",E22 Man-Made Object,,Florence/Paris,佛罗伦萨/法国雕塑家,,,"174, 178"
