Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"Gabbiani, Anton Domenico",E21 Person,,Florence,佛罗伦萨晚期巴洛克画家,,,"231, 233, 404"
"Gabbiani, Anton Domenico",E21 Person,,Florence,佛罗伦萨晚期巴洛克画家,and Grand Prince Ferdinand,,233
"Gabbiani, Anton Domenico",E21 Person,,Florence,佛罗伦萨晚期巴洛克画家,Flight into Egypt,,240
"Gabrieli, Lodovico",E21 Person,,,,,,299n
"Gabburri, Francesco",E53 Place,,,,,,"211n, 241n, 266n"
"Gagliardi, Bernardino",E21 Person,,,,,,157
"Gai, Antonio",E21 Person,,,,,,"293, 341"
"Galeotti, Sebastiano",E21 Person,,,,,,233
"Galgario, Fra (Vittore Ghislandi)",E21 Person,,,,,,"165, 200, 201"
"Galiani, Abate",E21 Person,,Naples/Paris,那不勒斯经济学家/外交官,,,
"Galiani, Abate",E21 Person,,Naples/Paris,那不勒斯经济学家/外交官,della Moneta,,318
"Galilei, Alessandro",E21 Person,,Rome/Florence,建筑师,,,286
"Galilei, Galileo",E21 Person,,Florence/Padua,天文学家/物理学家,,,"33, 40n, 74, 98, 99, 102, 103, 108, 317, 320, 366"
"Galilei, Galileo",E21 Person,,Florence/Padua,天文学家/物理学家,and Ludovico Cigoli,,102
"Galilei, Galileo",E21 Person,,Florence/Padua,天文学家/物理学家,Dialogo,,317
"Galilei, Galileo",E21 Person,,Florence/Padua,天文学家/物理学家,views on painting,,103
"Gallacini, Teofilo",E21 Person,,Siena,锡耶纳学者/建筑理论家,,,
"Gallacini, Teofilo",E21 Person,,Siena,锡耶纳学者/建筑理论家,Trattato sopra gli errori degli architetti,,309
"Galli, Agnolo",E21 Person,,,,,,105n
"Galli-Bibiena, Ferdinando",E21 Person,,,,,,201
"Gambarini, Giuseppe",E21 Person,,,,,,"203, 225"
"Garganego, Girolamo",E21 Person,,,,,,324n
"Garzi, Luigi",E21 Person,,,,,,224
"Gaudenzi, Paganino",E21 Person,,,,,,109
"Gaulli, Giovanni Battista (Baciccio)",E21 Person,,Rome,活跃于罗马 (Gaulli),,,"12, 17, 87, 88, 122, 160, 165, 197, 399, 400"
"Gaulli, Giovanni Battista (Baciccio)",E21 Person,,Rome,活跃于罗马 (Gaulli),Adoration of the Lamb,,"84, 89"
"Gaulli, Giovanni Battista (Baciccio)",E21 Person,,Rome,活跃于罗马 (Gaulli),Death of St Francis Xavier,,88
"Gaulli, Giovanni Battista (Baciccio)",E21 Person,,Rome,活跃于罗马 (Gaulli),Duplex Intercessio,,82
"Gaulli, Giovanni Battista (Baciccio)",E21 Person,,Rome,活跃于罗马 (Gaulli),fresco in nave of Gesù,,83
"Gaulli, Giovanni Battista (Baciccio)",E21 Person,,Rome,活跃于罗马 (Gaulli),payment,,"17, 88"
"Gaulli, Giovanni Battista (Baciccio)",E21 Person,,Rome,活跃于罗马 (Gaulli),work in Gesù,,"80, 81, 82, 83, 84, 85, 156"
"Gavasetti, Camillo",E21 Person,,,,,,"9n, 13n"
"Gay, John",E21 Person,,London,《乞丐歌剧》作者,,,280
Gazzeta Veneta,E22 Man-Made Object,,Venice,威尼斯报纸 (Gozzi),,,323
"Gennari, Benedetto",E21 Person,,Bologna/London,博洛尼亚画家 (Guercino侄子),,,"189, 196"
"Gennari, Benedetto",E21 Person,,Bologna/London,博洛尼亚画家 (Guercino侄子),Danaë,,196
"Gennari, Benedetto",E21 Person,,Bologna/London,博洛尼亚画家 (Guercino侄子),Elizabeth Felton as Cleopatra,,196
"Gennari, Giuseppe",E21 Person,,,,,,222n
Genoa,E53 Place,,Genoa,热那亚共和国,,,"200, 203, 213, 214"
Genoa,E53 Place,,Genoa,热那亚共和国,aristocracy,,203
"Genovesi, Antonio",E21 Person,,,,,,318
"Gentileschi, Artemisia",E21 Person,,Rome/Naples,卡拉瓦乔派女画家,,,"13n, 178"
"Gentileschi, Orazio",E21 Person,,Rome/London,卡拉瓦乔派画家,,,"49, 127, 174, 175, 178, 179"
"Gentileschi, Orazio",E21 Person,,Rome/London,卡拉瓦乔派画家,Public Felicity triumphant over Dangers,,175
"Gentileschi, Orazio",E21 Person,,Rome/London,卡拉瓦乔派画家,work for Charles I,,178
"Gentileschi, Orazio",E21 Person,,Rome/London,卡拉瓦乔派画家,work for Marie de Medici,,"174, 175"
"Geoffrin, Mme",E21 Person,,,,,,384
"George I, King of England",E21 Person,,,,,,288n
"George III, King of England",E21 Person,,,,,,"292, 300, 303, 309, 361, 393, 406"
"Gerbault, Francesco",E53 Place,,,,,,336
"Gerini, Marchese Andrea",E22 Man-Made Object,,,,,,241n
German patronage,E28 Conceptual Object,,Rome/Germany,德国赞助,,,
German patronage,E28 Conceptual Object,,Rome/Germany,德国赞助,in 17th century,,"193, 194, 195"
German patronage,E28 Conceptual Object,,Rome/Germany,德国赞助,of Venetian artists in 18th century,,"278, 293, 294, 295, 296"
"German princes, taste in art",E21 Person,,Germany,德国王公的艺术品味,,,194
"German princes, taste in art",E21 Person,,Germany,德国王公的艺术品味,preoccupation with erotic,,"194, 195"
"Gesualdo, Cardinal",E21 Person,,,,,,71
Gesuati,E74 Group,Venice,Venice,耶稣会士 (Gesuati修会),,,"270, 271"
Gesuati,E74 Group,Venice,Venice,耶稣会士 (Gesuati修会),hostility to Jesuits,,271
