Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"Jabach, Everard",E21 Person,,,,,,184
James II of England,E21 Person,,London,英国国王,,,"196, 280, 286"
James III of England,E21 Person,,Rome,老王位觊觎者 (Stuart),,,203
Jesuits,E74 Group,,Rome,耶稣会,,,"90, 91, 93, 398, 399, 400"
Jesuits,E74 Group,,Rome,耶稣会,characteristics of their art,,"63, 67, 79, 82, 83"
Jesuits,E74 Group,Rome,Rome,耶稣会,,,"63, 64, 65, 66, 67, 68, 73n, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 99n, 161, 163"
Jesuits,E74 Group,Venice,Rome,耶稣会,,,"267, 271, 272"
Jesuits,E74 Group,Venice,Rome,耶稣会,hostility of Gesuati,,271
Johann Georg III of Saxony,E21 Person,,Dresden,萨克森选帝侯,,,194
"Johann Wilhelm, Elector Palatinate",E21 Person,,Dusseldorf,普法尔茨选帝侯,,,"277, 281, 282, 283, 284, 293"
"Johann Wilhelm, Elector Palatinate",E21 Person,,Dusseldorf,普法尔茨选帝侯,and Pellegrini,,283
"Johann Wilhelm, Elector Palatinate",E21 Person,,Dusseldorf,普法尔茨选帝侯,"Flemish, Dutch, and Italian old masters in collection",,283
"Johann Wilhelm, Elector Palatinate",E21 Person,,Dusseldorf,普法尔茨选帝侯,patronage of Dutch artists,,283
"Johann Wilhelm, Elector Palatinate",E21 Person,,Dusseldorf,普法尔茨选帝侯,patronage of Italian artists,,282
"Johann Wilhelm, Elector Palatinate",E21 Person,,Dusseldorf,普法尔茨选帝侯,taste in painting,,282
"Johann Wilhelm, Elector Palatinate",E21 Person,,Dusseldorf,普法尔茨选帝侯,Van Dyck and Rubens paintings in collection,,283
"John Sobieski, King of Poland",E21 Person,,,,,,129
"Johnson, Samuel",E21 Person,,London,英国文人,,,328
"Joli, Antonio",E21 Person,,,,,,314
"Jones, Inigo",E21 Person,,London,英国建筑师,,,"178, 309"
Julian the Apostate,E21 Person,,Rome,罗马皇帝,,,"109, 196"
Justinus,E21 Person,,Rome,古罗马历史学家,,,118
Justus of Ghent,E21 Person,,Urbino,佛兰芒画家,,,54
"Juvarra, Filippo",E21 Person,,Turin,都灵巴洛克建筑师,,,"164, 165, 202, 296, 297"
"Juvarra, Filippo",E21 Person,,Turin,都灵巴洛克建筑师,as artistic director in Turin,,"296, 297"
"Juvarra, Filippo",E21 Person,,Turin,都灵巴洛克建筑师,scheme for decorating Royal Palace in Madrid,,297
"Killigrew, Thomas",E21 Person,,,,,,197
