Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"La Fosse, Charles de",E21 Person,,,,,,284
La Harpe,E21 Person,,Paris,法国评论家,,,
La Harpe,E21 Person,,Paris,法国评论家,Il Filosofo dell'Alpi,,328
"La Tour, Georges de",E21 Person,,Lorraine,法国卡拉瓦乔派画家,,,"133, 384"
"La Vrillière, Louis Phélipeaux de",E21 Person,,,,,,"184, 185"
Labia collection,E22 Man-Made Object,Venice,Venice,拉比亚家族收藏,,,"214n, 250, 251, 262"
Labia family,E74 Group,Venice,,,,,250
"Labia, Maria",E21 Person,,,,,,257
"Laer, Pieter Van",E21 Person,,Rome,Bamboccianti领袖 (Il Bamboccio),,,"18n, 20, 102, 132, 134, 135, 136, 137, 138, 141, 207"
"Laer, Pieter Van",E21 Person,,Rome,Bamboccianti领袖 (Il Bamboccio),Landscape with Figures and Animals,,135
"Laer, Pieter Van",E21 Person,,Rome,Bamboccianti领袖 (Il Bamboccio),prices,,135
"Laer, Pieter Van",E21 Person,,Rome,Bamboccianti领袖 (Il Bamboccio),St Eustace Hunting,,135
"Lancellotti, Abate",E21 Person,,Rome,罗马学者,,,
"Lancellotti, Abate",E21 Person,,Rome,罗马学者,L'Hoggidi,,311
"Landi, Stefano",E21 Person,,,,,,58
"Landscapes, varying reactions to",E21 Person,,,,in Rome and Venice,,"105, 111, 143, 155, 172, 173, 378"
"Lanfranco, Giovanni",E21 Person,,Rome/Naples,巴洛克画家，活跃于罗马和那不勒斯,,,"7, 11, 13, 15, 43, 45, 56, 72, 77, 78, 123, 171, 237n"
"Lanfranco, Giovanni",E21 Person,,Rome/Naples,巴洛克画家，活跃于罗马和那不勒斯,dome of S. Andrea della Valle,,72
"Lanfranco, Giovanni",E21 Person,,Rome/Naples,巴洛克画家，活跃于罗马和那不勒斯,payments,,13
"Lanfranco, Giovanni",E21 Person,,Rome/Naples,巴洛克画家，活跃于罗马和那不勒斯,work for Monterey,,171
"Langetti, Giovanni Battista",E21 Person,,,,,,234n
"Laparelli, Annibale",E21 Person,,,,,,13
"Lattre, Pierre de",E21 Person,,,,,,74
"Lauri, Filippo",E21 Person,,,,,,"19, 122n, 197"
"Law, John",E21 Person,,,,,,"284, 285"
"Lazzarini, Gregorio",E21 Person,,Venice,威尼斯画家，Tiepolo的老师,,,"166n, 194, 195, 199, 225, 227n, 246n, 248, 250, 251, 255, 266, 270, 302, 393"
"Lazzarini, Gregorio",E21 Person,,Venice,威尼斯画家，Tiepolo的老师,Battle of Aeneas and Mezentius,,225n
"Lazzarini, Gregorio",E21 Person,,Venice,威尼斯画家，Tiepolo的老师,Capture of Syracuse with the Death of Archimedes,,357n
"Lazzarini, Gregorio",E21 Person,,Venice,威尼斯画家，Tiepolo的老师,Cincinnatus summoned from the Plough,,357n
"Lazzarini, Gregorio",E21 Person,,Venice,威尼斯画家，Tiepolo的老师,Death of Dido,,225n
"Lazzarini, Gregorio",E21 Person,,Venice,威尼斯画家，Tiepolo的老师,triumphal arch for Francesco Morosini,,248
"Lazzarini, Gregorio",E21 Person,,Venice,威尼斯画家，Tiepolo的老师,"work for S. Paolo d'Argan, Bergamo",,221n
