Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"Nadal, Jerome",E53 Place,,,,,,399
Naples,E53 Place,,Naples,那不勒斯王国,,,"171, 172, 190, 191, 192, 203, 204, 205, 206, 207, 208"
Naples,E53 Place,,Naples,那不勒斯王国,feudal landowners,,203
"Napoletano, Filippo",E21 Person,,Rome/Naples,风景画家,"see under Angeli, Filippo d'",,
"Nappi, P. Gerolamo",E21 Person,,,,,,74n
Nationalism and art,E28 Conceptual Object,,,,,,"7, 34, 183n, 187, 188"
"Naudé, Gabriel",E21 Person,,,,,,"33n, 107, 108"
"Nazari, Bartolommeo",E21 Person,,Venice,威尼斯肖像画家,,,"287, 293, 295, 312, 314, 322, 345"
"Nazari, Bartolommeo",E21 Person,,Venice,威尼斯肖像画家,Portrait of Carlo Lodoli,,322
"Neapolitan painting, diffusion of",E21 Person,,,,,,"210, 211, 212, 213, 214"
"Negri, Paolo",E21 Person,,,,,,211n
"Negri, Pietro",E21 Person,,Venice,威尼斯暗色派画家,,,"219, 294"
"Negroni, Cardinal Giovan Francesco",E53 Place,,Rome,罗马红衣主教,,,"84, 85"
"Negroni, Cardinal Giovan Francesco",E53 Place,,Rome,罗马红衣主教,and chapel of St Francis Xavier,,"84, 85"
Nepotism in Rome,E53 Place,,,,,,"4, 31, 147, 154n, 161"
"Neri, Vincenzo",E21 Person,,,,,,136
"Neumann, Balthasar",E21 Person,,,,,,296
"Newcastle, William Cavendish, Duke of",E22 Man-Made Object,,,,,,178
"Newcastle, Thomas Pelham-Holles, Duke of",E22 Man-Made Object,,,,,,300n
"Newton, Sir Isaac",E21 Person,,London,英国科学家,,,"288, 301, 318, 319, 320, 408"
"Nickel, Goswin",E21 Person,,,,,,"78, 91"
"Nicolson, Benedict",E21 Person,,,,,,94n
"Noailles, Maréchal de",E21 Person,,,,,,200
"Nogari, Giuseppe",E21 Person,,Venice,威尼斯画家 (头像),,,"260, 293, 295, 309, 314, 342"
"Nogari, Giuseppe",E21 Person,,Venice,威尼斯画家 (头像),Allegories of Education,,316
"Nogari, Giuseppe",E21 Person,,Venice,威尼斯画家 (头像),Old Man with a Pipe and Tobacco Pouch,,316
"Nogari, Giuseppe",E21 Person,,Venice,威尼斯画家 (头像),Old Woman with Glasses,,316
"Nogari, Giuseppe",E21 Person,,Venice,威尼斯画家 (头像),teste di fantasia,,316
"Nollet, Abbé",E21 Person,,,,,,338
"Nomé, François ('Monsù Desiderio')",E21 Person,,Naples,以描绘废墟著称的画家,,,213
"Nomé, François ('Monsù Desiderio')",E21 Person,,Naples,以描绘废墟著称的画家,Babylon,,213
"Nomé, François ('Monsù Desiderio')",E21 Person,,Naples,以描绘废墟著称的画家,Temple of Solomon,,213
"Non, Dominique De (Dominique Vivant-Denon)",E21 Person,,Paris,卢浮宫首任馆长,,,371
"Non, Dominique De (Dominique Vivant-Denon)",E21 Person,,Paris,卢浮宫首任馆长,engraving of Voltaire portrait,,371
"Nordiall, John",E21 Person,,,,,,344n
"Novaroli, P. Octavio",E21 Person,,,,,,67n
"Novelli, Francesco",E53 Place,,,,,,371
"Novelli, Pietro ('il Monrealese')",E21 Person,,,,,,210
"Novelli, Pietro Antonio",E21 Person,,Venice,威尼斯画家/版画家,,,"254, 255n, 260, 298, 336"
"Novelli, Pietro Antonio",E21 Person,,Venice,威尼斯画家/版画家,Creusa imploring Aeneas to rescue his father Anchises,,298
"Novelli, Pietro Antonio",E21 Person,,Venice,威尼斯画家/版画家,illustrations for Pasquali edition of Goldoni,,338
"Novelli, Pietro Antonio",E21 Person,,Venice,威尼斯画家/版画家,illustrations for Zatta edition of Goldoni,,339
"Novelli, Pietro Antonio",E21 Person,,Venice,威尼斯画家/版画家,Perseus and the Head of Medusa,,337
"Noyelle, Charles de",E21 Person,,,,,,91
"Noyers, François Sublet de",E21 Person,,,,,,112
"Nuzzi, Mario (Mario de' Fiori)",E21 Person,,,,,,"8n, 20, 143"
