Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"Odazzi, Giovanni",E21 Person,,,,,,"xviii, 12"
"Oderisi, Roberto",E21 Person,,,,,,107
"Odescalchi, Benedetto (Pope Innocent XI)",E21 Person,,Rome,教皇英诺森十一世,,,"162, 163"
"Odescalchi, Livio",E21 Person,,Rome,罗马亲王，克里斯蒂娜女王藏品继承者,,,98
"Olina, P.",E21 Person,,,,Uccelliera,,104n
"Oliva, Gian Paolo",E21 Person,,Rome,耶稣会总会长,,,"64, 78, 79, 80, 81, 82, 83, 84, 85, 86, 153"
"Oliva, Gian Paolo",E21 Person,,Rome,耶稣会总会长,and Bernini,,"85, 86"
"Oliva, Gian Paolo",E21 Person,,Rome,耶稣会总会长,and Borgognone,,"78, 79"
"Oliva, Gian Paolo",E21 Person,,Rome,耶稣会总会长,and Duke of Parma,,"79, 80, 81"
"Oliva, Gian Paolo",E21 Person,,Rome,耶稣会总会长,and Gaulli,,"80, 81"
"Oliva, Gian Paolo",E21 Person,,Rome,耶稣会总会长,and Cardinal Negroni,,"84, 85"
"Olivarez, Count Duke",E21 Person,,,,,,171
"Olivieri, Monsignor",E21 Person,,,,,,129
"Olivieri, Pietro Paolo",E21 Person,,,,,,71
Opera in Rome,E53 Place,,,,,,"56, 57, 58, 164"
"Oppenord, Gilles-Marie",E21 Person,,,,,,285
Oratorians,E74 Group,Rome,Rome,奥拉托利会 (天主教修会),,,"64, 68, 69, 70, 71, 75, 76, 77, 78, 400"
Oratorians,E74 Group,Venice,Rome,奥拉托利会 (天主教修会),,,271
Oratorio,E28 Conceptual Object,Rome,Rome,清唱剧,,,"75, 76"
"Orleans, Margherite d'",E21 Person,,,,,,229
"Orleans, Philippe d', Regent",E21 Person,,Paris,法国摄政王,,,"200n, 341, 370"
"Orleans, Philippe d', Regent",E21 Person,,Paris,法国摄政王,illustrations for Daphnis and Chloe,,"341, 370, 384"
"Orsini, Alessandro",E21 Person,,,,,,99
"Orsini, Paolo Giordano",E21 Person,,,,see under Bracciano,,
"Ortes, Abate Giuseppe Maria",E21 Person,,,,,,"321n, 375"
"Osimo, Don Cesare Leopardi di",E21 Person,,,,,,169n
Osservatore Veneto,E22 Man-Made Object,,Venice,威尼斯刊物 (Gozzi),,,323
"Ottini, Andrea",E21 Person,,,,,,122
"Ottley, William Young",E21 Person,,,,,,377n
"Ottoboni, Pietro (Pope Alexander VIII)",E21 Person,,,,,,7
"Ottoboni, Cardinal Pietro (nephew to Pope Alexander VIII)",E21 Person,,Rome,罗马红衣主教，重要艺术/音乐赞助人,,,"88, 129, 164, 165, 166"
"Ottoboni, Cardinal Pietro (nephew to Pope Alexander VIII)",E21 Person,,Rome,罗马红衣主教，重要艺术/音乐赞助人,effect of patronage on painters,,"164, 165"
"Ottoboni, Cardinal Pietro (nephew to Pope Alexander VIII)",E21 Person,,Rome,罗马红衣主教，重要艺术/音乐赞助人,failure to attract painters to Rome,,165
"Ottoboni, Cardinal Pietro (nephew to Pope Alexander VIII)",E21 Person,,Rome,罗马红衣主教，重要艺术/音乐赞助人,patronage of Francesco Trevisani,,164
"Ottoboni, Cardinal Pietro (nephew to Pope Alexander VIII)",E21 Person,,Rome,罗马红衣主教，重要艺术/音乐赞助人,theatre,,164
"Ottonelli, Padre",E21 Person,,,,,,"64, 400"
"Oxford, Robert Harley, Earl of",E21 Person,,,,,,288
