Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"Paciaudi, Abate Paolo Maria",E21 Person,,,,,,360n
Padovanino,E21 Person,,,,"see under Varotari, Alessandro",,
Padua,E53 Place,,Padua,意大利城市,,,
Padua,E53 Place,,Padua,意大利城市,Prà della Valle,,"365, 366, 367, 368"
"Painting, social significance of",E21 Person,,,,as discussed in Italy in mid 18th century,,"328, 329"
Palazzo Ducale,E22 Man-Made Object,Venice,,,,,248
"Palladio, Andrea",E21 Person,,Vicenza/Venice,文艺复兴建筑大师,,,"103, 278, 348, 356, 357, 407"
"Palladio, Andrea",E21 Person,,Vicenza/Venice,文艺复兴建筑大师,"Palazzo Chiericati, Vicenza",,357
"Pallavicini, Marchese Niccolò Maria",E22 Man-Made Object,,,,,,"8n, 166n"
"Pallavicino, Sforza",E21 Person,,,,,,397
"Palma, Jacopo (il Giovane)",E21 Person,,,,,,"231, 340"
"Palmerston, Lady",E21 Person,,,,,,375
"Paltronieri, Pietro ('il Mirandolese')",E21 Person,,,,,,289n
"Pamfili, Prince Camillo (nephew to Pope Innocent X)",E21 Person,,Rome,帕姆菲利家族亲王,,,"6n, 7n, 9, 13, 80, 86, 87, 88, 116, 147, 148, 149, 150, 182"
"Pamfili, Prince Camillo (nephew to Pope Innocent X)",E21 Person,,Rome,帕姆菲利家族亲王,meanness and occasional generosity,,"86, 87, 149, 150"
"Pamfili, Prince Camillo (nephew to Pope Innocent X)",E21 Person,,Rome,帕姆菲利家族亲王,palace,,148
"Pamfili, Prince Camillo (nephew to Pope Innocent X)",E21 Person,,Rome,帕姆菲利家族亲王,villa built by Algardi,,148
"Pamfili (Astalli), Camillo",E21 Person,,,,,,148
"Pamfili, Gianbattista (Pope Innocent X)",E21 Person,,Rome,教皇英诺森十世,,,"19, 59, 77, 78, 86, 95, 112, 115, 116, 122, 139, 146, 147, 148, 149, 150, 182n, 401"
"Pamfili, Gianbattista (Pope Innocent X)",E21 Person,,Rome,教皇英诺森十世,conservative nature of patronage,,"147, 148"
"Pamfili, Gianbattista (Pope Innocent X)",E21 Person,,Rome,教皇英诺森十世,dispute over burial of,,150
"Pamfili, Gianbattista (Pope Innocent X)",E21 Person,,Rome,教皇英诺森十世,effect of economic retrenchment on artists,,122
"Pamfili, Giulia",E21 Person,,,,,,95
Pamfili palace (Piazza Navona),E22 Man-Made Object,,,,,,"147, 148, 149"
