Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"Sacchetti, Giovanni Francesco",E53 Place,,,,,,180
"Sacchetti, Giulio",E21 Person,,,,,,"38, 39, 45, 59, 179"
"Sacchetti, Marcello",E21 Person,,Rome,罗马银行家/赞助人,,,"7, 38n, 44, 45, 46, 98, 104, 111, 127, 179, 403"
"Sacchetti, Marcello",E21 Person,,Rome,罗马银行家/赞助人,country house at Castel Fusano,,39
"Sacchetti, Marcello",E21 Person,,Rome,罗马银行家/赞助人,patronage of Pietro da Cortona,,"38, 39"
"Sacchetti, Marcello",E21 Person,,Rome,罗马银行家/赞助人,taste in painting,,39
"Sacchi, Andrea",E21 Person,,Rome,罗马巴洛克古典主义画家,,,"7, 12n, 29, 39, 41, 43, 45, 46, 55, 56, 60, 62, 64, 104, 141, 159, 207, 210, 397"
"Sacchi, Andrea",E21 Person,,Rome,罗马巴洛克古典主义画家,admiration for Raphael,,55
"Sacchi, Andrea",E21 Person,,Rome,罗马巴洛克古典主义画家,Divine Wisdom,,"50, 51"
"Sacchi, Andrea",E21 Person,,Rome,罗马巴洛克古典主义画家,hostility to Bamboccianti,,141
"Sacchi, Andrea",E21 Person,,Rome,罗马巴洛克古典主义画家,modelli,,"12n, 55, 104"
"Sacchi, Andrea",E21 Person,,Rome,罗马巴洛克古典主义画家,special relationship with Cardinal Antonio Barberini,,"7, 51, 54, 55, 56, 60"
"Sacchi, Andrea",E21 Person,,Rome,罗马巴洛克古典主义画家,work in Barberini palace,,"50, 51, 53, 54"
"Sacconi, Marco",E21 Person,,,,,,"233, 240"
"Sagredo, Gherardo",E21 Person,,,,,,263
"Sagredo, Niccolò",E21 Person,,,,,,"152, 263, 264"
"Sagredo, Stefano",E21 Person,,,,,,263n
"Sagredo, Zaccaria",E21 Person,,Venice,威尼斯收藏家,,,"263, 264, 265, 266, 267, 343n, 346, 361"
"Sagredo, Zaccaria",E21 Person,,Venice,威尼斯收藏家,and Canaletto,,265
"Sagredo, Zaccaria",E21 Person,,Venice,威尼斯收藏家,and Piazzetta,,265
"Sagredo, Zaccaria",E21 Person,,Venice,威尼斯收藏家,Carracci drawings,,"263n, 266"
"Sagredo, Zaccaria",E21 Person,,Venice,威尼斯收藏家,Castiglione drawings,,"266, 267"
"Sagredo, Zaccaria",E21 Person,,Venice,威尼斯收藏家,collection of prints and drawings,,266
"Sagredo, Zaccaria",E21 Person,,Venice,威尼斯收藏家,commissions to Crespi,,263n
"Sagredo, Zaccaria",E21 Person,,Venice,威尼斯收藏家,dispersal of collection,,264
"Sagredo, Zaccaria",E21 Person,,Venice,威尼斯收藏家,inventories of collection,,264
"Sagredo, Zaccaria",E21 Person,,Venice,威尼斯收藏家,nervous disposition,,263
"Sagredo, Zaccaria",E21 Person,,Venice,威尼斯收藏家,patronage of younger generation of Venetian artists,,"264, 265"
"Sagrestani, Giovan Camillo",E21 Person,,,,,,233
"Saint-Non, Abbé de",E21 Person,,Paris,法国版画家/旅行家,,,
"Saint-Non, Abbé de",E21 Person,,Paris,法国版画家/旅行家,Voyage Pittoresque de la Grèce et de la Sicile,,371
"St Petersburg, Venetian artists in",E21 Person,,,,,,"297, 298"
"Saint-Sauveur, Monsieur de",E21 Person,,,,,,107n
"Salimbeni, Felice",E21 Person,,,,,,409
"Saluzzi, Alessandro",E21 Person,,,,,,236n
"Salvi, Nicola",E21 Person,,,,,,223
Salviati family,E74 Group,Florence,,,,,142
"San Giovanni, Giovanni da",E21 Person,,Florence,佛罗伦萨壁画家,,,"49, 95"
"San Giovanni, Giovanni da",E21 Person,,Florence,佛罗伦萨壁画家,frescoes for Cardinal Bentivoglio,,49n
"San Rocco, Scuola di",E74 Group,Venice,,,,,334
Sandi palace,E22 Man-Made Object,Venice,,,,,256
"Sandrart, Joachim von",E21 Person,,Rome/Nuremberg,德国画家/传记作家,,,29
"Sansovino, Jacopo",E21 Person,,Venice,威尼斯建筑师/雕塑家,,,251
"Sansovino, Jacopo",E21 Person,,Venice,威尼斯建筑师/雕塑家,Bacchus,,362
"Santi, Giovan Gioseffo",E21 Person,,,,,,237n
"Santi, Tommaso de'",E21 Person,,,,,,263
"Saraceni, Carlo",E21 Person,,Rome/Venice,卡拉瓦乔派画家,,,206
"Saracini, Gherardo",E21 Person,,,,,,109
"Sardi, Giuseppe",E21 Person,,,,,,"248, 269"
"Sarto, Andrea del",E21 Person,,Florence,文艺复兴盛期画家,,,"30, 251"
"Sarto, Andrea del",E21 Person,,Florence,文艺复兴盛期画家,Madonna delle Arpie,,"231, 235"
"Sartori, Felicita",E21 Person,,,,,,"295, 344n"
"Sasso, Giuseppe Maria",E21 Person,,Venice,威尼斯艺术商/修复师,,,"266n, 268n, 373, 374, 375, 376, 380, 410"
"Sasso, Giuseppe Maria",E21 Person,,Venice,威尼斯艺术商/修复师,A. Longhi portrait,,373n
"Sasso, Giuseppe Maria",E21 Person,,Venice,威尼斯艺术商/修复师,Osservazioni sopra i lavori di niello,,373n
"Sasso, Giuseppe Maria",E21 Person,,Venice,威尼斯艺术商/修复师,purchases of Venetian paintings for J. Strange,,"373, 374"
"Sasso, Giuseppe Maria",E21 Person,,Venice,威尼斯艺术商/修复师,taste in art,,"374, 375"
Sassoferrato (Giovan Battista Salvi),E21 Person,,Rome,以圣母像著称的画家,,,"130, 131"
Sassoferrato (Giovan Battista Salvi),E21 Person,,Rome,以圣母像著称的画家,painting of S. Francesco da Paola,,131
Sassoferrato (Giovan Battista Salvi),E21 Person,,Rome,以圣母像著称的画家,portrait of Monsignor Ottaviano Prati,,131n
Sassoferrato (Giovan Battista Salvi),E21 Person,,Rome,以圣母像著称的画家,style,,131
Sassoferrato (Giovan Battista Salvi),E21 Person,,Rome,以圣母像著称的画家,Virgin and Child holding Rosaries,,131
Sassoferrato (Giovan Battista Salvi),E21 Person,,Rome,以圣母像著称的画家,Virgin and Child holding Rosaries with Saints Catherine and Dominic,,131
"Savelli, Cardinal",E21 Person,,,,,,91
"Savelli, Prince Giulio",E21 Person,,,,,,92
"Savini, Saverio",E21 Person,,,,,,9n
"Savorgnan, Faustina",E21 Person,,,,,,254
Savoy,E53 Place,,,,,,"202, 296, 297"
"Savoy, Adelaide Enrichetta of",E21 Person,,,,,,193n
"Savoy, Anne Marie of",E21 Person,,,,,,341n
"Savoy, Carlo Emmanuele III of",E21 Person,,,,,,201n
"Savoy, Duchess of",E21 Person,,,,,,65
"Savoy, Prince Eugene of",E21 Person,,Vienna,奥地利元帅/大收藏家,,,"311, 341, 403"
"Savoy, Prince Eugene of",E21 Person,,Vienna,奥地利元帅/大收藏家,patronage of Italian artists,,201
"Savoy, Prince Eugene of",E21 Person,,Vienna,奥地利元帅/大收藏家,taste,,201
"Savoy, Cardinal Maurizio of",E21 Person,,,,,,6n
"Savoy, Vittorio Amedeo II, Duke of",E21 Person,,,,,,"89, 200, 202"
Scalzi,E74 Group,Venice,,,,,"269, 270"
"Scaramuccia, Luigi",E21 Person,,Perugia/Milan,巴洛克画家/传记作家,,,
"Scaramuccia, Luigi",E21 Person,,Perugia/Milan,巴洛克画家/传记作家,print of Venus and Adonis dedicated to Niccolò Simonelli,,124
"Scarselli, Abate",E21 Person,,,,,,357n
"Scarlatti, Alessandro",E21 Person,,Rome/Naples,巴洛克作曲家,,,"230, 278"
"Schedoni, Bartolommeo",E21 Person,,,,,,241
"Schiavone, Andrea",E21 Person,,,,,,"241, 262"
"Schmidt, Georg Friedrich",E21 Person,,,,,,409
"Schönborn, Friedrich Karl",E21 Person,,,,,,"293n, 296"
"Schönborn, Johann Philip Franz",E21 Person,,,,,,293n
"Schönborn, Lothar Franz von",E21 Person,,,,,,195
Schönborn family,E74 Group,,,,,,"163, 194"
