Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"Tacca, Pietro",E21 Person,,Florence,雕塑家,,,"97, 174, 178"
"Tacca, Pietro",E21 Person,,Florence,雕塑家,"documents relating to commissions from Paolo Giordano Orsini, Duke of Bracciano",,"387, 389"
"Talbot, Bruno",E21 Person,,,,,,197
"Tankerville, Lord",E21 Person,,,,,,286
"Tarso, Archbishop of",E22 Man-Made Object,,,,,,113
"Tassi, Agostino",E21 Person,,Rome,罗马风景/海景画家 (Claude的老师),,,"49, 56"
"Tassis, Count",E21 Person,,,,,,273
"Tasso, Torquato",E21 Person,,Ferrara,《被解放的耶路撒冷》作者,,,"103, 318, 339"
"Tasso, Torquato",E21 Person,,Ferrara,《被解放的耶路撒冷》作者,Gerusalemme Liberata,,"335, 336"
"Temanza, Tommaso",E21 Person,,Venice,新古典主义建筑师/作家,,,361n
"Temanza, Tommaso",E21 Person,,Venice,新古典主义建筑师/作家,Zibaldone,,165n
"Tencala, Cristoforo",E21 Person,,,,,,219
"Teniers, David",E21 Person,,,,,,358
"Teodoli, Marchese",E22 Man-Made Object,,,,,,143
"Tesi, Mauro",E21 Person,,,,,,"358, 359, 360, 409"
"Tessin, Count Carl Gustav",E21 Person,,Stockholm,瑞典外交官/收藏家,,,"292, 293, 304"
"Tessin, Count Carl Gustav",E21 Person,,Stockholm,瑞典外交官/收藏家,and Tiepolo,,"293, 342"
"Tessin, Count Carl Gustav",E21 Person,,Stockholm,瑞典外交官/收藏家,and A. M. Zanetti the Elder,,"341, 342"
"Tessin, Nicodemus, the Younger",E21 Person,,,,,,"56n, 406"
"Testa, Pietro",E21 Person,,Rome,罗马画家/版画家,,,"95, 100n, 101n, 110, 111, 112, 114, 124, 135"
"Testa, Pietro",E21 Person,,Rome,罗马画家/版画家,and Cassiano dal Pozzo,,"110, 111, 112"
"Testa, Pietro",E21 Person,,Rome,罗马画家/版画家,and Niccolò Simonelli,,124n
"Testa, Pietro",E21 Person,,Rome,罗马画家/版画家,Trattato di Pittura,,112
