QID,数据来源,统一英文全名
Q3712960,wikidata,Domenico Cerato
Q15733678,wikidata,Secondo Lancellotti
Q113774991,wikidata,Luigi Celotti
Q16830739,wikidata,Michele Giustiniani
Q545098,wikidata,Giammaria Ortes
Q54854824,wikidata,Flaminio Scarselli
Q3766086,wikidata,Giovanni Battista Pacichelli
Q84562933,wikidata,Denis-Xavier Clément
Q21166348,wikidata,Gabriel-Fran?ois Coyer
Q979496,wikidata,Ferdinando Galiani
Q2821500,wikidata,Abel Desjardins
Q2258999,wikidata,Abel-Fran?ois Poisson de Vandières
Q4416778,wikidata,Abigail
Q1824525,wikidata,Abraham Brueghel
Q2667383,wikidata,Abraham Nicolas Amelot de la Houssaye
Q20488569,wikidata,Achille Neri
Q78785,wikidata,Adam Bartsch
Q242928,wikidata,Princess Henriette Adelaide of Savoy
Q95766,wikidata,Gustav Adolf Michaelis
Q77518121,wikidata,Adolf Salvatore Cavallo
Q2824734,wikidata,Adolfo Venturi
Q163920,wikidata,Adonis
Q368053,wikidata,Adriaen van der Werff
Q82732,wikidata,Aeneas
Q255150,wikidata,Aeneas de Caprara
Q83223,wikidata,Asclepius
Q128176,wikidata,Agamemnon
Q127691377,wikidata,Agnolo Galli
Q395578,wikidata,Agostino Barelli
Q395635,wikidata,Agostino Andrea Chigi
Q1061864,wikidata,Agostino Ciampelli
Q3606791,wikidata,Agostino Mascardi
Q395680,wikidata,Agostino Masucci
Q1427142,wikidata,Agostino Mitelli
Q3606820,wikidata,Agostino Sagredo
Q395741,wikidata,Agostino Tassi
Q3607762,wikidata,Alan Noel Latimer Munby
Q18934833,wikidata,A. C. Sewter
Q86432,wikidata,Albert Ilg
Q5601360,wikidata,Alberto Cametti
Q5580,wikidata,Albrecht Dürer
Q818100,wikidata,Beno?t Audran the Elder
Q47551,wikidata,Titian
Q51529772,wikidata,Aldo De Rinaldis
Q105102298,wikidata,Aldo Ravà
Q540338,wikidata,Alessandro Albani
Q336798,wikidata,Alessandro Algardi
Q52157623,wikidata,Alessandro Baudi di Vesme
Q59527613,wikidata,Alessandro Bettagno
Q3609880,wikidata,Alessandro Borgia
Q378232,wikidata,Alessandro de' Medici
Q248459,wikidata,Alessandro Farnese (cardinal)
Q312903,wikidata,"Alessandro Farnese, Duke of Parma"
Q176742,wikidata,Alessandro Galilei
Q327785,wikidata,Alessandro Gherardini
Q1727824,wikidata,Alessandro Varotari
Q1855242,wikidata,Alessandro Longhi
Q132692,wikidata,Alessandro Ludovisi
Q3610091,wikidata,Alessandro Luzio
Q516941,wikidata,Alessandro Magnasco
Q19753755,wikidata,Alessandro Marabottini
Q3460024,wikidata,Alessandro Marchesini
Q2832804,wikidata,Alessandro Orsini
Q82659,wikidata,Alessandro Peretti di Montalto
Q183087,wikidata,Alessandro Scarlatti
Q953878,wikidata,Alessandro Sforza
Q507279,wikidata,Alessandro Turchi
Q4716445,wikidata,Alessandro Vittrici
Q1341237,wikidata,Alexander Sauli
Q336657,wikidata,"Alexander Hamilton, 10th Duke of Hamilton"
Q8409,wikidata,Alexander the Great
Q137947,wikidata,St. Alexis
Q1186153,wikidata,Alfonso Pérez Sánchez
Q1373399,wikidata,Alfonso Gesualdo
Q2835445,wikidata,Alfred Sensier
Q455438,wikidata,Allan Hume
Q5454,wikidata,Isabella Teotochi Albrizzi
Q310307,wikidata,Aloysius Gonzaga
Q3613470,wikidata,Alvise Mocenigo
Q449469,wikidata,Alvise Pisani
Q116770583,wikidata,Amalia Mezzetti
Q3766382,wikidata,Giovanni Ambrogio Mazenta
Q2415583,wikidata,Ambroise Dubois
Q3614269,wikidata,Amico Ricci
Q2845613,wikidata,Anatole de Montaiglon
Q3615560,wikidata,Andrea Brustolon
Q3615565,wikidata,Andrea Camassei
Q1065524,wikidata,Andrea Celesti
Q5571,wikidata,Andrea del Sarto
Q156521,wikidata,Andrea Doria
Q18217670,wikidata,Andrea Ferreri
Q44635166,wikidata,Andrea Gerini
Q3106991,wikidata,Giovanni Andrea Lazzarini
Q494275,wikidata,Andrea Locatelli
Q5681,wikidata,Andrea Mantegna
Q1052776,wikidata,Andrea Memmo
Q177692,wikidata,Andrea Palladio
Q982011,wikidata,Giambattista Pittoni
Q4755099,wikidata,Andrea Giacomo Podestà
Q380103,wikidata,Andrea Pozzo
Q2846401,wikidata,Andrea Procaccini
Q62056063,wikidata,Andrea Querini
Q495008,wikidata,Andrea Sacchi
Q495060,wikidata,Andrea Schiavone
Q23011967,wikidata,Andrea Tessier
Q4755304,wikidata,Andrea Toresani
Q110224729,wikidata,Andrea Tron
Q2707224,wikidata,Andrea Vaccaro
Q30250990,wikidata,Andrea Zucchi
Q500372,wikidata,Andreas Scherber
Q93253370,wikidata,Andreina Griseri
Q4760227,wikidata,Andrés Marzo
Q4756994,wikidata,Andrew Fountaine
Q43399,wikidata,Andrew the Apostle
Q518705,wikidata,André Félibien
Q61472867,wikidata,Angelo Borzelli
Q3616914,wikidata,Angelo Calogerà
Q1414382,wikidata,Angelo Caroselli
Q28109298,wikidata,Angelo Cesi
Q536015,wikidata,Angelo Giori
Q3616942,wikidata,Angelo Crespi
Q536170,wikidata,Angelo Maria Querini
Q2312606,wikidata,Angelo Michele Colonna
Q125962639,wikidata,Angelo Pinetti
Q536447,wikidata,Angelo Querini
Q3617231,wikidata,Angelo Solerti
Q536726,wikidata,Angelo Trevisani
Q546528,wikidata,Aniello Falcone
Q18934849,wikidata,Ann Sutherland Harris
Q470147,wikidata,Anna Banti
Q4766932,wikidata,Anna Colonna
Q233181,wikidata,Anna Maria Luisa de' Medici
Q2734012,wikidata,Anne Claude de Caylus
Q2850913,wikidata,Anne-Marie du Boccage
Q151209,wikidata,Anne d’Autriche
Q119702,wikidata,Anne of Great Britain
Q566861,wikidata,Annibale Gonzaga
Q7824,wikidata,Annibale Carracci
Q571969,wikidata,Antenor
Q333294,wikidata,"Anthony Ashley-Cooper, 7th Earl of Shaftesbury"
Q508392,wikidata,Anthony Blunt
Q19753768,wikidata,Anthony Morris Clark
Q59529289,wikidata,Anthony Radcliffe
Q150679,wikidata,Anthony van Dyck
Q171876,wikidata,Antinous
Q585926,wikidata,Antoine Coypel
Q2853900,wikidata,Antoine Dumesnil
Q203758,wikidata,Antoine Pesne
Q586987,wikidata,Antoine Seilern
Q585422,wikidata,Antoine Joseph
Q1083096,wikidata,Anton Domenico Gabbiani
Q589374,wikidata,Anton Florian
Q944948,wikidata,Antonio Maria Zanetti
Q76718,wikidata,Anton Raphael Mengs
Q5594,wikidata,Antonello da Messina
Q5574490,wikidata,Antonino Bertolotti
Q124986217,wikidata,Antonino Santangelo
Q647434,wikidata,Anthony Baldinucci
Q386500,wikidata,Antonio Balestra
Q711845,wikidata,Marcantonio Barbaro
Q599744,wikidata,Antonio Barberini
Q61472533,wikidata,Antonio Battistella
Q64779121,wikidata,Antonio Beccari
Q302062,wikidata,Antonio Bellucci
Q3619246,wikidata,Antonio Beni
Q182664,wikidata,Antonio Canal
Q5547,wikidata,Antonio Canova
Q15731838,wikidata,Antonio Cappello
Q3766629,wikidata,Giovanni Battista Cimaroli
Q2087202,wikidata,Antonio Schinella Conti
Q601707,wikidata,Antonio Corradini
Q8457,wikidata,Antonio da Correggio
Q2261335,wikidata,Antonio Maria Marini
Q2857256,wikidata,Antonio Dardani
Q3619519,wikidata,Antonio Del Grande
Q778529,wikidata,Antonio Francesco Gori
Q602053,wikidata,Antonio Franchi
Q15378563,wikidata,Antonio Gai
Q602201,wikidata,Antonio Genovesi
Q131945,wikidata,Pius V
Q104662012,wikidata,Antonio Giussani
Q65548253,wikidata,Antonio Grimani
Q2404265,wikidata,Antonio Joli
Q18352661,wikidata,Antonio Longo
Q106473817,wikidata,Antonio Loredan
Q4776748,wikidata,Antonio Lorenzini
Q18507790,wikidata,Anton Maria Zanetti
Q3619823,wikidata,Antonio Maria Antoniazzi
Q2857352,wikidata,Antonio Maria Vassallo
Q3619844,wikidata,Antonio Maria Marini
Q603707,wikidata,Antonio Molinari
Q19997480,wikidata,Antonio Morassi
Q104052748,wikidata,Anton Neumayr von Flessen Seilbitz
Q604011,wikidata,Antonio Palomino
Q23913628,wikidata,Giuseppe Antonio Patrignani
Q3620034,wikidata,Antonio Petito
Q311082,wikidata,Antonio Pisanello
Q88949215,wikidata,Antonio Ruffo
Q599457,wikidata,Antonio Abbondi
Q461670,wikidata,Antonio Triva
Q2662898,wikidata,Antonio Vallisneri
Q2305594,wikidata,Antonio Verrio
Q605690,wikidata,Antonio Visentini
Q605785,wikidata,Antonio Zanchi
Q3313574,wikidata,Antonio Zatta
Q374111,wikidata,Antonio Zucchi
Q216822,wikidata,Apelles
Q37340,wikidata,Apollo
Q349507,wikidata,Apostolo Zeno
Q164475,wikidata,Arcangelo Corelli
Q868,wikidata,Aristotle
Q2861762,wikidata,Armand Baschet
Q26702,wikidata,Armand Jean du Plessis
Q27499745,wikidata,Arnauld Brejon de Lavergnée
Q365852,wikidata,Arnold Hauser
Q61472319,wikidata,Orazio Arrighi Landini
Q212657,wikidata,Artemisia Gentileschi
Q709195,wikidata,Arthur Ewart Popham
Q52305974,wikidata,Arthur Stanley Turberville
Q93429126,wikidata,Arturo Jahn Rusconi
Q2556618,wikidata,Ascanio Filomarino
Q36724,wikidata,Attila
Q1700818,wikidata,Wilhelm Richter
Q2871607,wikidata,Augustin Lehmann
Q43256028,wikidata,Augusto Bazzoni
Q769588,wikidata,Augusto Pierantoni
Q53437,wikidata,Augustus II the Strong
Q53438,wikidata,Augustus III of Poland
Q16529961,wikidata,Aurelio Gotti
Q16262732,wikidata,Aurelio Lepre
Q3803992,wikidata,Francesco d'Este
Q5608903,wikidata,Baccio Ciarpi
Q358348,wikidata,Baccio Bandinelli
Q2403504,wikidata,Baldassare Franceschini
Q2262911,wikidata,Balthasar de Monconys
Q61349,wikidata,Johann Balthasar Neumann
Q494782,wikidata,Balthasar Permoser
Q124847240,wikidata,Barbara Mazza
Q43982,wikidata,Bartholomew the Apostle
Q809507,wikidata,Bartolomeo Montagna
Q465240,wikidata,Bartolomeo Nazari
Q809486,wikidata,Bartolomeo Bassante
Q629419,wikidata,Bartolomeo Schedoni
Q7799,wikidata,Bramantino
Q456971,wikidata,Bartolomeo Vivarini
Q4865512,wikidata,Bartolomeo Letterini
Q272277,wikidata,Bathsheba
Q320152,wikidata,Benedict Nicolson
Q192348,wikidata,Benedetto Croce
Q580482,wikidata,Benedetto Gennari
Q816847,wikidata,Benedetto Luti
Q3638090,wikidata,Benedetto Menzini
Q101286,wikidata,Pope Innocent XI
Q2896227,wikidata,Benjamin Seebohm Rowntree
Q190116,wikidata,Benvenuto Cellini
Q2897287,wikidata,Berlinghiero Gessi
Q62415539,wikidata,Bernard Aikema
Q310309,wikidata,Bernard Le Bovier de Fontenelle
Q559929,wikidata,Bernard Picart
Q3638702,wikidata,Bernardino Castelli
Q3638707,wikidata,Bernardino Feliciangeli
Q4893845,wikidata,Bernardino Gagliardi
Q472391,wikidata,Bernardino Mei
Q164688,wikidata,Bernardo Bellotto
Q103980500,wikidata,Bernardo Bizoni
Q822982,wikidata,Bernardo Cavallino
Q1152363,wikidata,Bernardo de' Dominici
Q55915804,wikidata,Bernardo Sansone Sgrilli
Q437724,wikidata,Bernardo Strozzi
Q465314,wikidata,Bernhard Rode
Q982691,wikidata,Blessed Felice da Cantalice
Q124754142,wikidata,Bonifazio Gozzadini
Q52158592,wikidata,Gustavo Brigante Colonna Angelini
Q214949,wikidata,Heinrich von Brühl
Q83135337,wikidata,Bruce Boucher
Q59524453,wikidata,Bruno Brunelli
Q114913443,wikidata,Bruno Talbot
Q2589323,wikidata,John Byam Lister Shaw
Q1133464,wikidata,Francesco Cozza
Q2935133,wikidata,Camillo Astalli
Q132711,wikidata,Camillo Borghese
Q1081418,wikidata,Carlo Camillo II Massimo
Q2935138,wikidata,Camillo Francesco Maria Pamphili
Q43288825,wikidata,Camillo Rospigliosi
Q2259012,wikidata,Bandinello Sauli
Q374572,wikidata,Fran?ois-Joachim de Pierre de Bernis
Q1079973,wikidata,Giovanni Garzia Millini
Q3428643,wikidata,Karel van Mander III
Q1038496,wikidata,Carl Gustaf Tessin
Q2070822,wikidata,Carl Bildt
Q126923746,wikidata,Carlo Ademollo
Q602863,wikidata,Antonio Lombardo
Q3659007,wikidata,Carlo Antonio dal Pozzo
Q3659008,wikidata,Carlo Antonio Marin
Q3658875,wikidata,Carlantonio Pilati
Q5041450,wikidata,Carlo Antonio Rambaldi
Q97571806,wikidata,Marco Sacconi
Q1186836,wikidata,Carlo Barberini
Q55225999,wikidata,Carlo Bricarelli
Q1041995,wikidata,Carlo Carlone
Q1144354,wikidata,Carlo Ceresa
Q1160847,wikidata,Carlo Cesare Malvasia
Q239980,wikidata,Carlo Cignani
Q3659787,wikidata,Carlo Roberto Dati
Q699662,wikidata,Giovanni Battista de Rossi
Q556342,wikidata,Carlo Denina
Q503322,wikidata,Carlo Dolci
Q55224989,wikidata,Giuseppe Angelo Maria Carron di San Tommaso marchese di Aigueblanche
Q355755,wikidata,Charles Emmanuel II
Q704356,wikidata,Carlo Fontana
Q2939201,wikidata,Carlo Giuseppe Ratti
Q165534,wikidata,Carlo Goldoni
Q263270,wikidata,Carlo Gozzi
Q601642,wikidata,Carlo Lodoli
Q670135,wikidata,Johann Carl Loth
Q454036,wikidata,Carlo M. Cipolla
Q122328,wikidata,Carlo Maderno
Q538998,wikidata,Carlo Maratti
Q372066,wikidata,Carlo Rainaldi
Q133121,wikidata,Carlo Rezzonico
Q776990,wikidata,Carlo Ridolfi
Q938607,wikidata,Carlo Saraceni
Q52934,wikidata,Carl XII
Q1048333,wikidata,Cassiano dal Pozzo
Q40823,wikidata,Benedetto Castiglione
Q14942558,wikidata,Caterina Sagredo Barbarigo
Q3663500,wikidata,Caterina Dolfin
Q131552,wikidata,Catherine de' Medici
Q36450,wikidata,Sophie Friederike Auguste von Anhalt-Zerbst
Q2636964,wikidata,Giovanni Domenico Cerrini
Q965144,wikidata,Cebes
Q2943694,wikidata,Cecil Gould
Q32102,wikidata,Ceres
