QID,统一英文全名,P31|标签|实例英文
Q21725334,Coast View with Apollo and the Cumaean Sibyl,painting
Q125396571,Coast View with Perseus and the Origin of Coral,painting
Q124218016,Portrait of Three Musicians of the Medici Court,painting
Q2336984,The Music Lesson,painting
Q28026269,The Sea Triumph of Charles II,painting
Q102961376,A storm at sea,print
Q28027599,The Adoration of the Magi,painting
Q26492606,Esther before Ahasuerus,painting
Q3610098,Pallas Athena,painting
Q29651135,,painting
Q111821593,Allegory of Divine Wisdom,painting
Q23699891,Rehearsal of an opera,painting
Q15181138,Angel with the Superscription,statue
Q118877400,Daphne and Apollo,painting
Q106298157,Apollo Chasing Daphne,painting
Q733893,Chair of Saint Peter,sculpture
Q23949083,Apotheosis of the Pisani,painting
Q2404992,Aristotle with a Bust of Homer,painting
Q4803790,Ascanius Shooting the Stag of Sylvia,painting
Q117379114,Assumption of the Virgin,painting
Q72671544,The Emperor Augustus Closes the Doors of the Temple of Janus,painting
Q77923656,Aurora,painting
Q108741948,Aurora,drawing
Q18688231,Cephalus and Aurora,painting
Q3632485,The Bacchanal of the Andrians,painting
Q29384647,Bacchanal,drawing
Q3632505,Bacchus,statue
Q1206860,Bacchus and Ariadne,painting
Q20881588,Bacchus and Ariadne,painting
Q18689344,Bacchus and Ariadne,painting
Q26699491,The Banquet of Cleopatra,painting
Q47004843,The Banquet of Cleopatra,painting
Q18574628,The Beheading of St John the Baptist,painting
Q2439030,Bronze Baldachin of St. Peter's Basilica,sculpture|baldachin
Q15378957,Statue of Pope Urban VIII,statue
Q125809381,Bust of Epicurus,bust
Q2928781,Bust of Louis XIV,bust
Q5002075,Bust of Thomas Baker,sculpture
Q17175813,Caesar Giving Cleopatra the Throne of Egypt,painting
Q2935136,Portrait of Cardinal Camillo Massimi,painting
Q18572435,Camille Delivers the Schoolmaster of Falerii to His Pupils,painting
Q118984608,Cardinal Antonio Barberini,painting
Q118877581,Cardinal Bentivoglio,painting
Q116374056,Cardinal Scipione Borghese,bust
Q123358078,Portrait of the architectural theorist Carlo Lodoli,painting
Q54647365,Triumph of the Name of Jesus,painting
Q26700487,Apotheosis of the Medici,painting
Q11747763,Landscape with Cephalus and Procris reunited by Diana,painting
Q28113784,Christ on the Mount of Olives,painting
Q1192577,Sant'Agnese in Agone,church building
Q1354667,Church of Sant'Andrea al Quirinale,Jesuit church|church building
Q124102335,Cleopatra showing Octavius the bust of Julius Caesar,painting
Q7772874,The Vision of Constantine,sculpture
Q20083777,Crucifixion,painting
Q766487,David,sculpture
Q12899375,The Death of Cleopatra,painting
Q597114,Death of the Virgin,painting
Q50986222,Barak before Deborah,painting
Q2500226,The Deposition,painting
Q116912713,The Fair at Poggio a Caiano,painting
Q976734,Ceiling fresco in the staircase of the Würzburg Residence,fresco
Q19660357,The Vigilia di Santa Marta,painting
Q104445112,Diana and Actaeon at Bagnoli,painting
Q28093447,The Royal Hunt of Dido and Aeneas,painting
Q75194631,Diogenes Searching for an Honest Man,etching print
Q113753132,Divine Love Conquering Earthly Love,literary work
Q19930515,Imaginary Tomb of the Duke of Devonshire,painting
Q474024,Amor Vincit Omnia,painting
Q1333433,Ecstasy of Saint Teresa,group of sculptures
Q19898046,Emperor Henry IV Kneeling Before Pope Gregory VII,tombstone
Q19574562,Landscape with Psyche Outside the Palace of Cupid,painting
Q5977784,Arrival of the French Ambassador in Venice,painting
Q115105709,"Statue of Schulenburg, Kerkyra",portrait statue
Q3497625,Equestrian Statue of Louis XIV,sculpture
Q20087469,Allegory of Fortune,painting
Q29350431,"A study for the Fountain of the Four Rivers, Piazza Navona, Rome",drawing
Q27970986,Triumph of Galatea,painting
Q4731387,Allegory of Divine Providence and Barberini Power,fresco
Q15805858,Et in Arcadia ego,group of paintings
Q126267268,Statue of Hercules restored as killing the Hydra of Lerna,statue
Q427390,The Holy Family,painting
Q24249,Madonna of the Rabbit,painting
Q20185296,The Miracle of the Holy House of Loreto,painting
Q26038063,Diana and her Nymphs,painting
