Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
Accademia Albrizziana,E74 Group,Venice,Venice,威尼斯阿尔布里齐亚纳学院,,,334
Accademia degli Umoristi,E74 Group,Rome,Rome,罗马幽默学院,,,118
Accademia dei Lincei,E74 Group,Rome,Rome,罗马林琴学院,,,"33, 99"
Accademia del Disegno,E74 Group,Florence,Florence,佛罗伦萨迪塞诺学院,,,241
Accademia di Pittura e Scultura,E74 Group,Venice,Rome,通常指罗马的法国学院或圣卢卡学院,,,"329, 330, 363"
Accademia di Pittura e Scultura,E74 Group,Venice,Rome,通常指罗马的法国学院或圣卢卡学院,art exhibitions,,331
Accademia di S. Luca,E74 Group,Rome,Rome,罗马圣卢卡学院,,,"17, 18, 53, 121, 126, 141, 142, 150, 158, 160, 191"
Accademia di S. Luca,E74 Group,Rome,Rome,罗马圣卢卡学院,Cardinal Francesco Barberini as protector of,,17
Accademia di S. Luca,E74 Group,Rome,Rome,罗马圣卢卡学院,powers of taxation,,"17, 18, 20, 121"
"Acqua, Cristoforo dall'",E21 Person,,Venice,威尼斯作家,,,327
"Adam, James",E21 Person,,London/Rome,英国新古典主义建筑师,,,"302, 310, 392"
"Adam, Robert",E21 Person,,London/Rome,英国新古典主义建筑师,,,"301, 310n, 392"
"Adam, Robert",E21 Person,,London/Rome,英国新古典主义建筑师,and G. Albrizzi,,336
"Adami, Luigi",E21 Person,,Rome,罗马画商,,,
"Adami, Luigi",E21 Person,,Rome,罗马画商,collection of portraits of distinguished men,,158
"Adamo, Giovanni",E21 Person,,Rome,活跃于罗马的艺术家,,,10
"Adda, Cardinal d'",E21 Person,,Rome,罗马红衣主教,,,166n
"Agucchi, Giovanni Battista",E21 Person,,Rome,博洛尼亚教士，活跃于罗马的艺术理论家,,,"28, 159, 397-398"
"Aix-la-Chapelle, Peace of",E5 Event,,Aachen,亚琛和约 (1748),,,318
"Albani, Cardinal Annibale",E21 Person,,Rome,罗马红衣主教，艺术赞助人,,,166n
"Albani, Francesco",E53 Place,,Bologna,博洛尼亚画派画家,,,"131, 141, 169, 178"
"Albani, Gianfrancesco (Pope Clement XI)",E21 Person,,Rome,教皇克莱门特十一世,,,"xviii, 19, 129, 163, 222"
"Albergati-Capacelli, Francesco",E53 Place,,Bologna,博洛尼亚侯爵，剧作家,,,336
"Albrizzi, Almor¨°",E21 Person,,Venice,威尼斯贵族 (Almorò Albrizzi),,,334
"Albrizzi, Giambattista",E21 Person,,Venice,威尼斯出版商,,,"334, 335, 336, 343, 345"
"Albrizzi, Giambattista",E21 Person,,Venice,威尼斯出版商,edition of works of Bossuet,,"334, 335"
"Albrizzi, Giambattista",E21 Person,,Venice,威尼斯出版商,employment of Piazzetta,,"334, 335, 336"
"Albrizzi, Giambattista",E21 Person,,Venice,威尼斯出版商,Il Forestiere Illuminato,,334
"Albrizzi, Giambattista",E21 Person,,Venice,威尼斯出版商,private collection,,336
"Albrizzi, Giambattista",E21 Person,,Venice,威尼斯出版商,publication of gems in A. M. Zanetti's collection,,"337, 344"
"Aldobrandini, Ippolito (Pope Clement VIII)",E21 Person,,Rome,教皇克莱门特八世,,,"25, 26, 67"
"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",E21 Person,,Rome,罗马红衣主教,,,"25, 27, 39, 398"
"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",E21 Person,,Rome,罗马红衣主教,Titian Bacchanal and Worship of Venus,,"25, 160, 171"
Alexander VII,E21 Person,,Rome,教皇亚历山大七世 (Chigi),"see under Chigi, Fabio",,
