Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
'Baciccio',E21 Person,,Rome,活跃于罗马 (Gaulli),"see under Gaulli, Giovanni Battista",,
Bernardine Baccinelli,E21 Person,,Rome,疑似 Baciccio 变体/相关,Susanna,,195
"Bacon, Sir Francis",E21 Person,,London,英国哲学家/政治家,,,"107n, 320, 370"
"Baglione, Giovanni",E21 Person,,Rome,罗马巴洛克画家/传记作家,,,"66, 84, 127, 159, 175"
"Baglione, Giovanni",E21 Person,,Rome,罗马巴洛克画家/传记作家,Divine Love,,127
"Baglione, Giovanni",E21 Person,,Rome,罗马巴洛克画家/传记作家,Resurrection,,66
Baglioni collection,E22 Man-Made Object,Venice,Perugia/Rome,巴利奥尼家族收藏,,,"214, 260n"
"Bagnara, Duchess of",E21 Person,,Rome,罗马贵族,,,209
"Bagutti, Pietro Martire",E21 Person,,Bologna,活跃于博洛尼亚的灰泥艺术家,,,281
"Baines, Sir Thomas",E21 Person,,Cambridge/Constantinople,英国医生/旅行家,,,197
"Baker, Thomas",E21 Person,,London,英国古董商/收藏家,,,"17, 37, 179"
"Balbi, Paolo Battista",E21 Person,,Genoa,热那亚贵族,,,203
"Baldi, Lazzaro",E21 Person,,Rome,罗马巴洛克画家 (Pietro da Cortona学生),,,60
"Baldinucci, Filippo",E21 Person,,Florence,佛罗伦萨艺术史学家,,,"17, 23, 102, 154, 158"
"Baldoini, Giovanni Gasparo",E21 Person,,Rome,罗马赞助人,,,6n
"Balestra, Antonio",E21 Person,,Verona/Venice,维罗纳画家,,,"194, 221n, 225, 227, 251, 271, 282, 351"
"Balestra, Antonio",E21 Person,,Verona/Venice,维罗纳画家,Monument to William III (McSwiny's British Worthies),,289n
"Balestrieri, Gabriele",E21 Person,,Rome,罗马艺术家,,,177n
"Bambini, Niccolò",E21 Person,,Venice,威尼斯画家,,,"247, 249, 251, 252, 270"
"Bambini, Niccolò",E21 Person,,Venice,威尼斯画家,Triumph of Venice,,249
Bamboccianti,E74 Group,,Rome,活跃于罗马的风俗画家群体,,,"132, 133, 134, 135, 136, 137, 138, 140, 384"
Bamboccianti,E74 Group,,Rome,活跃于罗马的风俗画家群体,attacks on,,"132, 140, 141, 142, 143, 150"
Bamboccianti,E74 Group,,Rome,活跃于罗马的风俗画家群体,contrast of content of paintings with actual social conditions,,"133, 134"
Bamboccianti,E74 Group,,Rome,活跃于罗马的风俗画家群体,political and social implications of,,"133, 134, 137, 138, 139, 140"
Bamboccianti,E74 Group,,Rome,活跃于罗马的风俗画家群体,prices for pictures,,141
Bamboccianti,E74 Group,,Rome,活跃于罗马的风俗画家群体,relations with Spanish party in Rome,,"136, 137"
"Bandinelli, Baccio",E21 Person,,Florence,佛罗伦萨雕塑家,,,103
"Bandino, Cardinal",E21 Person,,Rome,罗马红衣主教,,,86
"Baratta, Francesco",E53 Place,,Rome,罗马巴洛克雕塑家,,,149
"Barbarigo, Caterina",E21 Person,,Venice,威尼斯贵族,,,333
"Barbarigo, Pietro",E21 Person,,Venice,威尼斯贵族,,,254
"Barbaro, Antonio",E21 Person,,Venice,威尼斯贵族,,,"248, 249, 253"
"Barbaro, Antonio",E21 Person,,Venice,威尼斯贵族,and S. Maria del Giglio,,"248, 249"
"Barberini, Cardinal Antonio (brother to Urban VIII) (Cardinal di S. Onofrio)",E21 Person,,Rome,罗马红衣主教,,,"31, 42, 43, 52"
"Barberini, Cardinal Antonio (nephew to Urban VIII)",E21 Person,,Rome,罗马红衣主教,,,"7, 31, 43, 51, 54, 55, 56, 59, 60, 62, 64, 104, 131, 180"
"Barberini, Cardinal Antonio (nephew to Urban VIII)",E21 Person,,Rome,罗马红衣主教,contributions to Jesuit church of S. Andrea al Quirinale,,60
"Barberini, Cardinal Antonio (nephew to Urban VIII)",E21 Person,,Rome,罗马红衣主教,despoiling of Urbino,,54
"Barberini, Cardinal Antonio (nephew to Urban VIII)",E21 Person,,Rome,罗马红衣主教,Maratta portraits,,60
"Barberini, Cardinal Antonio (nephew to Urban VIII)",E21 Person,,Rome,罗马红衣主教,'medieval joust',,"55, 56"
"Barberini, Cardinal Antonio (nephew to Urban VIII)",E21 Person,,Rome,罗马红衣主教,patronage of Andrea Sacchi,,"54, 55, 56"
"Barberini, Cardinal Antonio (nephew to Urban VIII)",E21 Person,,Rome,罗马红衣主教,relations with France,,"59, 60"
"Barberini, Carlo (brother to Urban VIII)",E21 Person,,Rome,罗马贵族,,,"26, 31"
"Barberini, Carlo (brother to Urban VIII)",E21 Person,,Rome,罗马贵族,monuments to,,41
"Barberini, Carlo (brother to Urban VIII)",E21 Person,,Rome,罗马贵族,purchase of Orsini and Colonna estates,,31
"Barberini, Carlo (brother to Urban VIII)",E21 Person,,Rome,罗马贵族,synopsis of Machiavelli's Prince,,41
Barberini family,E74 Group,,Rome,罗马显赫家族 (教皇乌尔班八世),,,"396, 403"
"Barberini, Cardinal Francesco (nephew to Urban VIII)",E53 Place,,Rome,罗马红衣主教,,,"11, 17, 31, 43, 44, 45, 46, 50, 51, 53, 54, 57, 59, 60, 61, 62, 99, 100, 108, 109, 112, 116, 164, 181, 397"
"Barberini, Cardinal Francesco (nephew to Urban VIII)",E53 Place,,Rome,罗马红衣主教,admiration for French culture,,44
"Barberini, Cardinal Francesco (nephew to Urban VIII)",E53 Place,,Rome,罗马红衣主教,altarpieces for St. Peter's,,"44, 45"
"Barberini, Cardinal Francesco (nephew to Urban VIII)",E53 Place,,Rome,罗马红衣主教,and Poussin,,"44, 45, 46"
"Barberini, Cardinal Francesco (nephew to Urban VIII)",E53 Place,,Rome,罗马红衣主教,employment of Giovan Francesco Romanelli,,"53, 54"
"Barberini, Cardinal Francesco (nephew to Urban VIII)",E53 Place,,Rome,罗马红衣主教,flight to France,,"59, 181"
"Barberini, Cardinal Francesco (nephew to Urban VIII)",E53 Place,,Rome,罗马红衣主教,love of literature,,"43, 44, 56, 61"
"Barberini, Cardinal Francesco (nephew to Urban VIII)",E53 Place,,Rome,罗马红衣主教,purchase of Sforza palace and donation of it to Taddeo Barberini,,46
"Barberini, Cardinal Francesco (nephew to Urban VIII)",E53 Place,,Rome,罗马红衣主教,visits to Paris and Madrid,,"43, 44"
"Barberini, Monsignor Francesco (uncle to Urban VIII)",E53 Place,,Rome,罗马教士,,,"24, 25"
"Barberini, Maffeo (Pope Urban VIII)",E21 Person,,Rome,教皇乌尔班八世,,,"3, 4, 10, 13n, 17, 19, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 72, 96, 98, 112, 146, 149, 176, 177, 179, 181, 184, 396, 397"
"Barberini, Maffeo (Pope Urban VIII)",E21 Person,,Rome,教皇乌尔班八世,alliance with France,,33
"Barberini, Maffeo (Pope Urban VIII)",E21 Person,,Rome,教皇乌尔班八世,and devolution of Urbino,,"54, 55"
"Barberini, Maffeo (Pope Urban VIII)",E21 Person,,Rome,教皇乌尔班八世,and Jesuits,,64
"Barberini, Maffeo (Pope Urban VIII)",E21 Person,,Rome,教皇乌尔班八世,and S. Maria della Concezione,,"42, 43"
"Barberini, Maffeo (Pope Urban VIII)",E21 Person,,Rome,教皇乌尔班八世,and St Peter's,,"26, 34, 35, 36"
"Barberini, Maffeo (Pope Urban VIII)",E21 Person,,Rome,教皇乌尔班八世,appointment as Apostolic Nunzio in Paris,,26
"Barberini, Maffeo (Pope Urban VIII)",E21 Person,,Rome,教皇乌尔班八世,appointment as Cardinal,,26
"Barberini, Maffeo (Pope Urban VIII)",E21 Person,,Rome,教皇乌尔班八世,as Bishop of Spoleto,,27
"Barberini, Maffeo (Pope Urban VIII)",E21 Person,,Rome,教皇乌尔班八世,as Legate to Bologna,,27
"Barberini, Maffeo (Pope Urban VIII)",E21 Person,,Rome,教皇乌尔班八世,chapel in S. Andrea della Valle,,"25, 26, 30"
