Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"Damini, Vincenzo",E21 Person,,,,,,281
"Dandini, Pietro",E21 Person,,,,,,233n
Dante,E21 Person,,,,,,339
Daphnis and Chloe,E28 Conceptual Object,,,,,,"341, 370"
"Dardani, Antonio",E21 Person,,Bologna,博洛尼亚画家,,,224
"Dardani, Antonio",E21 Person,,Bologna,博洛尼亚画家,Apotheosis of Aeneas (with Rambaldi),,224
"Dartmouth, Lord",E21 Person,,,,,,276n
"Dati, Carlo",E21 Person,,,,,,"100n, 108"
"Daun, Count",E21 Person,,Naples/Vienna,奥地利驻那不勒斯总督,,,
"Daun, Count",E21 Person,,Naples/Vienna,奥地利驻那不勒斯总督,introduction of Neapolitan painting into Central Europe,,200
"Daun, Count",E21 Person,,Naples/Vienna,奥地利驻那不勒斯总督,palace in Vienna,,200
"David, Ludovico",E21 Person,,Rome/Venice,卢加诺画家/理论家,,,"88, 220"
"David, Ludovico",E21 Person,,Rome/Venice,卢加诺画家/理论家,Adoration of the Magi,,88
"David, Ludovico",E21 Person,,Rome/Venice,卢加诺画家/理论家,"and S. Maria Maggiore, Bergamo",,220
"David, Ludovico",E21 Person,,Rome/Venice,卢加诺画家/理论家,Flight into Egypt,,88
"David, Ludovico",E21 Person,,Rome/Venice,卢加诺画家/理论家,Nativity,,88
"den Einden, Ferdinand van",E21 Person,,,,,,"207n, 208"
"den Einden, Jan van",E21 Person,,,,,,"207n, 208"
"den Hecke, Jan van",E21 Person,,,,,,97
"der Bos, Gerard van",E21 Person,,,,,,206
"Devonshire, Duke of",E21 Person,,London,英国贵族 (Chatsworth),,,343n
"Diderot, Denis",E21 Person,,Paris,百科全书派哲学家/艺术评论家,,,"356, 409"
"Dietrich, Christian",E21 Person,,,,,,342
"Dingley, Robert",E21 Person,,,,,,303
"Diziani, Gaspare",E21 Person,,Venice,威尼斯洛可可画家,,,"165, 266, 270, 278, 294"
"Dolci, Carlo",E21 Person,,Florence,佛罗伦萨巴洛克画家,,,"197, 212, 268"
"Dolci, Carlo",E21 Person,,Florence,佛罗伦萨巴洛克画家,Flight into Egypt,,211
"Dolfin, Caterina",E21 Person,,,,,,"245n, 318"
"Dolfin, Daniele (Archbishop of Udine)",E22 Man-Made Object,,,,,,253n
"Dolfin, Daniele III",E21 Person,,,,,,"252, 253"
"Dolfin, Daniele IV",E21 Person,,,,,,252
"Dolfin, Dionisio",E21 Person,,,,,,"252, 253"
Dolfin family,E74 Group,Venice,Venice,威尼斯多尔芬家族,,,
Dolfin family,E74 Group,Venice,Venice,威尼斯多尔芬家族,patronage of Tiepolo,,"252, 253"
Domenichino (Domenico Zampieri),E21 Person,,Rome/Bologna,博洛尼亚画派，活跃于罗马,,,"4, 13, 27, 28, 39, 43, 53, 72, 73, 74, 78, 131n, 158, 159, 171, 172, 234, 348"
Domenichino (Domenico Zampieri),E21 Person,,Rome/Bologna,博洛尼亚画派，活跃于罗马,and Cardinal Scipione Borghese,,"4, 27"
Domenichino (Domenico Zampieri),E21 Person,,Rome/Bologna,博洛尼亚画派，活跃于罗马,and Cardinal Ludovisi,,"4, 28, 72, 73, 74"
