Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"Haen, David de",E21 Person,,,,,,206
"Halifax, Earl of",E21 Person,,,,,,286
"Hamen, Juan van der",E21 Person,,,,,,400
"Handel, George Frederick",E21 Person,,,,,,281
Hapsburg collections from Prague,E22 Man-Made Object,,,,,,"97, 98, 193"
Hapsburg patronage of Venetian artists,E28 Conceptual Object,,,,,,278
"Harley, Robert",E21 Person,,,,"see under Oxford, Earl of",,
"Harrach, Count",E21 Person,,,,,,200
"Harris, Enriqueta",E21 Person,,,,,,190n
"Helmbrecker, Theodor",E21 Person,,,,,,158
Henri III of France,E53 Place,,,,,,255
Henri IV of France,E53 Place,,Paris,法国国王,,,"26, 33, 53, 173, 174"
"Henrietta Maria, Queen of England",E21 Person,,,,,,179
"Hervey, Sir Robert",E21 Person,,,,,,305
"Hervey, Lord",E21 Person,,,,,,349
"Hildebrandt, Lucas von",E21 Person,,,,,,201
"Hill, Samuel",E21 Person,,,,,,"290n, 304n"
"Hogarth, William",E21 Person,,London,英国画家/版画家,,,279
"Honthorst, Gerrit van",E21 Person,,Utrecht/Rome,荷兰卡拉瓦乔派画家,,,95
Horace,E21 Person,,Rome,古罗马诗人,,,360
"Houdon, Jean-Antoine",E21 Person,,Paris,法国新古典主义雕塑家,,,
"Houdon, Jean-Antoine",E21 Person,,Paris,法国新古典主义雕塑家,busts of Voltaire and Rousseau,,369
"Huber, Jean",E21 Person,,Geneva,瑞士画家/剪影艺术家,,,
"Huber, Jean",E21 Person,,Geneva,瑞士画家/剪影艺术家,engraving of head of Voltaire,,370
"Hume, A.",E21 Person,,,,,,375n
