Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"Maccarani, Paolo",E21 Person,,,,,,183
Machiavelli,E21 Person,,Florence,政治哲学家,,,
Machiavelli,E21 Person,,Florence,政治哲学家,Prince,,41
"McSwiny, Owen",E21 Person,,Venice/London,爱尔兰剧院经理/艺术经纪人,,,"287, 288, 289, 290, 291, 292, 405, 406"
"McSwiny, Owen",E21 Person,,Venice/London,爱尔兰剧院经理/艺术经纪人,and Canaletto,,"291, 292"
"McSwiny, Owen",E21 Person,,Venice/London,爱尔兰剧院经理/艺术经纪人,and Joseph Smith,,291
"McSwiny, Owen",E21 Person,,Venice/London,爱尔兰剧院经理/艺术经纪人,plan for engraving of Van Dyck portraits,,287
"McSwiny, Owen",E21 Person,,Venice/London,爱尔兰剧院经理/艺术经纪人,series of commemorative paintings of British worthies,,"287, 288, 289, 290, 291"
"McSwiny, Owen",E21 Person,,Venice/London,爱尔兰剧院经理/艺术经纪人,series of commemorative paintings of British worthies,artists employed,"288, 289, 290, 291"
"McSwiny, Owen",E21 Person,,Venice/London,爱尔兰剧院经理/艺术经纪人,series of commemorative paintings of British worthies,Venetian artists,289n
"McSwiny, Owen",E21 Person,,Venice/London,爱尔兰剧院经理/艺术经纪人,To the Ladies and Gentlemen of Taste,,288n
"McSwiny, Owen",E21 Person,,Venice/London,爱尔兰剧院经理/艺术经纪人,Tombeaux des Princes,,"289n, 290, 291"
Macerata,E53 Place,,Macerata,意大利城市,,,"223, 224, 225"
Macerata,E53 Place,,Macerata,意大利城市,Buonaccorsi palace,,"223, 224, 225"
"Maderno, Carlo",E21 Person,,Rome,罗马巴洛克早期建筑师,,,"27, 34, 47, 48, 71, 74, 75, 396"
"Maderno, Carlo",E21 Person,,Rome,罗马巴洛克早期建筑师,facade of St Peter's,,34
"Maderno, Carlo",E21 Person,,Rome,罗马巴洛克早期建筑师,plans for Barberini palace,,"47, 48"
"Maderno, Carlo",E21 Person,,Rome,罗马巴洛克早期建筑师,work on S. Andrea della Valle,,71
Madrid,E53 Place,,Madrid,西班牙首都,,,
Madrid,E53 Place,,Madrid,西班牙首都,Palace of the Alcazar,,190
Madrid,E53 Place,,Madrid,西班牙首都,Palace of Buen Retiro,,"172, 173"
Madrid,E53 Place,,Madrid,西班牙首都,Royal Palace,,297
"Madrid, Venetian artists in",E21 Person,,,,,,297
"Maffei, Francesco",E53 Place,,Vicenza,巴洛克画家,,,"232, 248"
"Maffei, Scipione",E21 Person,,Verona,维罗纳学者/作家,,,"230, 272, 320"
"Magalotti, Cardinal Lorenzo",E21 Person,,,,,,"31, 42"
"Maggiotto, Francesco",E53 Place,,Venice,威尼斯画家,,,"325, 340, 408, 409"
"Maggiotto, Francesco",E53 Place,,Venice,威尼斯画家,Considerazioni elettriche,,325n
"Maggiotto, Francesco",E53 Place,,Venice,威尼斯画家,Good Inclinations leading a Youth to Knowledge,,340
"Magnasco, Alessandro",E21 Person,,Genoa/Milan,热那亚画家，以怪诞风格著称,,,404
"Magni, Pietro",E21 Person,,,,,,216
"Mahon, Denis",E21 Person,,,,,,392
"Maidalchini, Francesco",E53 Place,,,,,,147
"Maidalchini, Donna Olimpia",E21 Person,,Rome,英诺森十世的嫂子/权贵,,,"78, 147, 150, 122"
"Maidalchini, Donna Olimpia",E21 Person,,Rome,英诺森十世的嫂子/权贵,Algardi bust,,148
"Maidalchini, Donna Olimpia",E21 Person,,Rome,英诺森十世的嫂子/权贵,Velasquez portrait,,116
"Malebranche, Nicolas de",E21 Person,,,,,,318
"Malpighi, Marcello",E21 Person,,,,,,203
"Malvasia, Carlo Cesare",E21 Person,,Bologna,博洛尼亚艺术传记作家,,,"16, 21, 141, 189"
"Malvasia, Carlo Cesare",E21 Person,,Bologna,博洛尼亚艺术传记作家,Felsina Pittrice,,189
"Manaigo, Silvestro",E21 Person,,,,,,266
"Manchester, Lord",E21 Person,,London,英国贵族,,,"276, 278"
"Manchester, Lord",E21 Person,,London,英国贵族,mansions in Arlington Street and at Kimbolton,,279
"Mancini, Francesco",E53 Place,,,,,,351
"Mancini, Giulio",E21 Person,,Rome,医生/鉴赏家/作家,,,"14, 123, 124, 396"
"Mancini, Giulio",E21 Person,,Rome,医生/鉴赏家/作家,Considerazioni sulla Pittura,,"124, 130"
"Mancini, Maria",E21 Person,,Rome/Paris,Mazarin侄女，Colonna夫人,,,155
"Mander, Carel van",E21 Person,,,,,,170
"Manfredi, Eustachio",E21 Person,,,,,,347
"Manfrin, Girolamo",E21 Person,,Venice,威尼斯烟草商/大收藏家,,,"379, 380, 381, 410"
"Manfrin, Girolamo",E21 Person,,Venice,威尼斯烟草商/大收藏家,collection,,"380, 381"
"Manfrin, Girolamo",E21 Person,,Venice,威尼斯烟草商/大收藏家,competitions for painters,,381
