Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"Quaini, Luigi",E21 Person,,,,,,189
"Querini, Andrea",E21 Person,,,,,,245n
"Querini, Angelo",E21 Person,,Venice,威尼斯参议员/改革家,,,"258, 259, 320, 322, 325, 336, 368, 369, 370, 371, 372, 373"
"Querini, Angelo",E21 Person,,Venice,威尼斯参议员/改革家,and De Non,,371
"Querini, Angelo",E21 Person,,Venice,威尼斯参议员/改革家,and Enlightenment,,369
"Querini, Angelo",E21 Person,,Venice,威尼斯参议员/改革家,and Carlo Lodoli,,368
"Querini, Angelo",E21 Person,,Venice,威尼斯参议员/改革家,arrest and detention,,369
"Querini, Angelo",E21 Person,,Venice,威尼斯参议员/改革家,country house at Alticchiero,,"369, 370, 371, 372"
"Querini, Angelo",E21 Person,,Venice,威尼斯参议员/改革家,garden,,370
"Querini, Angelo",E21 Person,,Venice,威尼斯参议员/改革家,influence of Rousseau,,372
"Querini, Angelo",E21 Person,,Venice,威尼斯参议员/改革家,opposition of Marco Foscarini to,,"258, 259"
"Querini, Angelo",E21 Person,,Venice,威尼斯参议员/改革家,"romantic, 'pagan, and Manichean' soul",,"370, 371"
"Querini, Angelo",E21 Person,,Venice,威尼斯参议员/改革家,taste for antique,,"371, 372"
"Querini, Angelo",E21 Person,,Venice,威尼斯参议员/改革家,visit to Voltaire,,369
"Querini, Giacomo",E21 Person,,,,,,152
Quirinal,E53 Place,Rome,,,,,"151, 152"
"Radicchio, Don Vincenzo",E21 Person,,,,,,366
"Raggi, Ferdinando",E21 Person,,,,,,140n
"Raggi, Monsignor",E21 Person,,,,,,137
"Rainaldi, Carlo",E21 Person,,Rome,巴洛克建筑师,,,187
"Rainaldi, Girolamo",E21 Person,,,,,,"147, 148"
"Rambaldi, Carlo Antonio",E21 Person,,Bologna,博洛尼亚画家,,,224
"Rambaldi, Carlo Antonio",E21 Person,,Bologna,博洛尼亚画家,Apotheosis of Aeneas (with Dardani),,224
"Ranuzzi, Vincenzo",E21 Person,,,,,,"390, 391"
"Rapaccioli, Cardinal",E21 Person,,,,,,137
Raphael,E21 Person,,Rome,文艺复兴三杰之一,,,"27, 28, 30, 38, 39, 54n, 98, 128, 131, 150, 159, 160, 165, 197, 222, 283, 312, 354, 362n"
Raphael,E21 Person,,Rome,文艺复兴三杰之一,Deposition,,27
Raphael,E21 Person,,Rome,文艺复兴三杰之一,Galatea,,38
Raphael,E21 Person,,Rome,文艺复兴三杰之一,Holy Family,,131
Raphael,E21 Person,,Rome,文艺复兴三杰之一,Madonna del Baldacchino,,231
Raphael,E21 Person,,Rome,文艺复兴三杰之一,St Cecilia,,348
Raphael,E21 Person,,Rome,文艺复兴三杰之一,St George,,185
Raphael,E21 Person,,Rome,文艺复兴三杰之一,St John the Baptist,,348
Raphael,E21 Person,,Rome,文艺复兴三杰之一,St Michael,,185
"Rapparini, Giorgio Maria",E21 Person,,Bologna/Dusseldorf,宫廷秘书/歌剧词作者,,,"282, 283"
"Rapparini, Giorgio Maria",E21 Person,,Bologna/Dusseldorf,宫廷秘书/歌剧词作者,Portrait du Vrai Mérite dans la personne serenissime de Monseigneur l'Electeur Palatin,,282n
"Rastatt, Treaty of",E5 Event,,,,,,200
Reason and fantasy,E28 Conceptual Object,,Europe,理性与幻想 (启蒙运动主题),18th century discussion of roles in creation,,"318, 320"
"Recurti, Giovanni Battista",E21 Person,,,,,,335
"Redi, Francesco",E53 Place,,Florence,科学家/诗人,,,"229, 230"
"Religious orders, patronage by",E28 Conceptual Object,,Europe,宗教修会赞助,(see also under individual orders),,
"Religious orders, patronage by",E28 Conceptual Object,Rome,Europe,宗教修会赞助,,,63-93
"Religious orders, patronage by",E28 Conceptual Object,Rome,Europe,宗教修会赞助,effect of legal and financial power of Roman aristocracy,,"64, 65"
"Religious orders, patronage by",E28 Conceptual Object,Venice,Europe,宗教修会赞助,,,267-274
Rembrandt,E21 Person,,Amsterdam,荷兰黄金时代大师,,,"17, 209, 210, 266, 283, 314, 316, 343, 371, 384"
Rembrandt,E21 Person,,Amsterdam,荷兰黄金时代大师,Alexander the Great,,210
