Index_Main Entry,CIDOC_Type,Index_Location,Proposed Location,备注/来源,Index_Sub-entry,Index_Detail,Index_Page Numbers
"Uccelli, Ferdinando",E21 Person,,,,,,391
Udine,E53 Place,,Udine,意大利城市,,,"252, 253, 268"
"Udine, Giovanni da",E21 Person,,Rome,拉斐尔助手 (装饰画),,,251
"Udney, John",E21 Person,,,,,,264
Urban VIII,E21 Person,,Rome,教皇乌尔班八世 (Barberini),"see under Barberini, Maffeo",,
"Urbino, devolution to Papacy",E21 Person,,Urbino,乌尔比诺归入教皇国,,,"25, 54"
"Urbino, devolution to Papacy",E21 Person,,Urbino,乌尔比诺归入教皇国,pictures taken over by Papacy,,"54, 55n"
"Urbino, Francesco Maria della Rovere, Duke of",E21 Person,,,,,,54
"Utrecht, Treaty of",E5 Event,,,,,,200
"Vaccaro, Andrea",E21 Person,,Naples,那不勒斯画家,,,210
"Vacchelli, Giuliano",E21 Person,,,,,,328n
Vaduz,E53 Place,,,,,,194
"Valentin, art dealer",E21 Person,,,,,,120
Valentin de Boulogne,E21 Person,,Rome,活跃于罗马的法国卡拉瓦乔派画家,,,"11, 46, 206"
Valentin de Boulogne,E21 Person,,Rome,活跃于罗马的法国卡拉瓦乔派画家,Allegory of Rome,,46
"Valeriani, Domenico and Giuseppe",E21 Person,,Venice,威尼斯透视画家兄弟,,,406
"Valeriani, Domenico and Giuseppe",E21 Person,,Venice,威尼斯透视画家兄弟,Monuments to (McSwiny's British Worthies),,
"Valeriani, Domenico and Giuseppe",E21 Person,,Venice,威尼斯透视画家兄弟,Monuments to (McSwiny's British Worthies),Isaac Newton,289n
"Valeriani, Domenico and Giuseppe",E21 Person,,Venice,威尼斯透视画家兄弟,Monuments to (McSwiny's British Worthies),William III,289n
"Valeriano, Padre",E21 Person,,,,,,66
"Valguarnera, Don Fabrizio",E21 Person,,,,,,"15, 121n, 123"
"Valle, Filippo della",E21 Person,,,,,,93n
"Valletta, Giuseppe",E21 Person,,,,,,204
"Vallisnieri, Antonio",E21 Person,,,,,,363n
Valmarana family,E74 Group,,,,,,405
"Valmarana, Leonardo",E21 Person,,,,,,258
"Vanbrugh, Sir John",E21 Person,,,,,,"278, 279, 309"
"Vandeneynde, Jan",E21 Person,,,,,,206
"Vandières, Marquis de (later Marquis de Marigny)",E21 Person,,,,,,257
"Vanetti, Valerio",E21 Person,,,,,,37n
"Vannini, Ottavio",E21 Person,,Florence,佛罗伦萨画家,,,
