Entity_Name,Type,Source,Original_File,QID,Page_Numbers
Accademia Albrizziana,E74 Group,Index,A_refined.csv,,334
Accademia degli Umoristi,E74 Group,Index,A_refined.csv,,118
Accademia dei Lincei,E74 Group,Index,A_refined.csv,,"33, 99"
Accademia del Disegno,E74 Group,Index,A_refined.csv,,241
Accademia di Pittura e Scultura,E74 Group,Index,A_refined.csv,,"329, 330, 363"
Accademia di Pittura e Scultura,E74 Group,Index,A_refined.csv,,331
Accademia di S. Luca,E74 Group,Index,A_refined.csv,,"17, 18, 53, 121, 126, 141, 142, 150, 158, 160, 191"
Accademia di S. Luca,E74 Group,Index,A_refined.csv,,17
Accademia di S. Luca,E74 Group,Index,A_refined.csv,,"17, 18, 20, 121"
"Acqua, Cristoforo dall'",E21 Person,Index,A_refined.csv,,327
"Adam, James",E21 Person,Index,A_refined.csv,,"302, 310, 392"
"Adam, Robert",E21 Person,Index,A_refined.csv,,"301, 310n, 392"
"Adam, Robert",E21 Person,Index,A_refined.csv,,336
"Adami, Luigi",E21 Person,Index,A_refined.csv,,
"Adami, Luigi",E21 Person,Index,A_refined.csv,,158
"Adamo, Giovanni",E21 Person,Index,A_refined.csv,,10
"Adda, Cardinal d'",E21 Person,Index,A_refined.csv,,166n
"Agucchi, Giovanni Battista",E21 Person,Index,A_refined.csv,,"28, 159, 397-398"
"Aix-la-Chapelle, Peace of",E5 Event,Index,A_refined.csv,,318
"Albani, Cardinal Annibale",E21 Person,Index,A_refined.csv,,166n
"Albani, Francesco",E53 Place,Index,A_refined.csv,,"131, 141, 169, 178"
"Albani, Gianfrancesco (Pope Clement XI)",E21 Person,Index,A_refined.csv,,"xviii, 19, 129, 163, 222"
"Albergati-Capacelli, Francesco",E53 Place,Index,A_refined.csv,,336
"Albrizzi, Almor¨°",E21 Person,Index,A_refined.csv,,334
"Albrizzi, Giambattista",E21 Person,Index,A_refined.csv,,"334, 335, 336, 343, 345"
"Albrizzi, Giambattista",E21 Person,Index,A_refined.csv,,"334, 335"
"Albrizzi, Giambattista",E21 Person,Index,A_refined.csv,,"334, 335, 336"
"Albrizzi, Giambattista",E21 Person,Index,A_refined.csv,,334
"Albrizzi, Giambattista",E21 Person,Index,A_refined.csv,,336
"Albrizzi, Giambattista",E21 Person,Index,A_refined.csv,,"337, 344"
"Aldobrandini, Ippolito (Pope Clement VIII)",E21 Person,Index,A_refined.csv,,"25, 26, 67"
"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",E21 Person,Index,A_refined.csv,,"25, 27, 39, 398"
"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",E21 Person,Index,A_refined.csv,,"25, 160, 171"
Alexander VII,E21 Person,Index,A_refined.csv,,
Alexander VIII,E21 Person,Index,A_refined.csv,,
"Algardi, Alessandro",E21 Person,Index,A_refined.csv,,"59, 71, 91, 148, 159, 176, 182, 183, 190"
"Algardi, Alessandro",E21 Person,Index,A_refined.csv,,148
"Algardi, Alessandro",E21 Person,Index,A_refined.csv,,148
"Algardi, Alessandro",E21 Person,Index,A_refined.csv,,371
"Algardi, Alessandro",E21 Person,Index,A_refined.csv,,"182, 183"
"Algardi, Alessandro",E21 Person,Index,A_refined.csv,,148
"Algarotti, Bonomo",E21 Person,Index,A_refined.csv,,"293, 347, 348, 350n, 355, 356, 357, 361"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"256n, 264, 266, 267, 293n, 300, 303, 307, 309, 330, 331, 343, 363, 373, 407, 408, 409"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,363
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"347, 349, 357"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,357
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,353
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"319, 320"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"349, 356, 357"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,321
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"356, 357, 358"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"348, 358"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,355
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"347, 349, 351, 352, 353, 354, 355, 357, 359, 360"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,354
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"354, 359"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,359
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"350, 351"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,356
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"357, 358, 359"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"354, 355, 359"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,361
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,348
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,354
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,356
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,355
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"349, 356, 357"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,358
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,354
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,348
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,360
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"349, 350, 355"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"350, 351, 352"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"350, 351, 352"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"294, 295, 298, 349, 356"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,354n
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,350
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"358, 359"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,360
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,360n
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"359, 360"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,349
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,349
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,"352, 353, 354, 355, 356"
"Algarotti, Francesco",E53 Place,Index,A_refined.csv,,357
"Allegrini, Francesco",E53 Place,Index,A_refined.csv,,157
"Altham, James",E21 Person,Index,A_refined.csv,,197
Alticchiero (Querini villa),E22 Man-Made Object,Index,A_refined.csv,,"369, 370, 371, 372"
"Altieri, Emilio (Pope Clement X)",E21 Person,Index,A_refined.csv,,"118, 161, 162"
"Altieri, Emilio (Pope Clement X)",E21 Person,Index,A_refined.csv,,162
"Altieri, Don Gasparo",E21 Person,Index,A_refined.csv,,161
Altieri palace,E22 Man-Made Object,Index,A_refined.csv,,"118, 156, 161"
"Amelot de la Houssaye, A. N.",E21 Person,Index,A_refined.csv,,247n
"Ameyden, Dirk",E21 Person,Index,A_refined.csv,,"41, 94, 137n"
"Ameyden, Dirk",E21 Person,Index,A_refined.csv,,"4n, 137n"
"Amigoni, Jacopo",E21 Person,Index,A_refined.csv,,"251, 271, 286, 295, 297, 340, 351, 405"
"Amigoni, Jacopo",E21 Person,Index,A_refined.csv,,316
"Amigoni, Jacopo",E21 Person,Index,A_refined.csv,,287
"Amigoni, Jacopo",E21 Person,Index,A_refined.csv,,316
"Amigoni, Jacopo",E21 Person,Index,A_refined.csv,,393
"Amigoni, Jacopo",E21 Person,Index,A_refined.csv,,315
"Amigoni, Jacopo",E21 Person,Index,A_refined.csv,,316
"Amigoni, Jacopo",E21 Person,Index,A_refined.csv,,316
"Amigoni, Jacopo",E21 Person,Index,A_refined.csv,,"286, 287, 292"
"Andreosi, Francesco",E53 Place,Index,A_refined.csv,,
"Andreosi, Francesco",E53 Place,Index,A_refined.csv,,366
"Angeli, Filippo d' (Napoletano)",E21 Person,Index,A_refined.csv,,"29, 50, 95"
"Angeli, Giuseppe",E21 Person,Index,A_refined.csv,,274
"Angeloni, Francesco",E53 Place,Index,A_refined.csv,,"53n, 114, 158"
"Animuccia, Giovanni",E21 Person,Index,A_refined.csv,,70
"Anne of Austria, Regent of France",E53 Place,Index,A_refined.csv,,182
"Anne, Queen of England",E21 Person,Index,A_refined.csv,,"196, 197"
Anti-papal satire in reign of Alexander VII,E28 Conceptual Object,Index,A_refined.csv,,"153, 154"
"Antonazzi, Antonio Maria",E21 Person,Index,A_refined.csv,,116n
"Aquaviva, Claudio",E21 Person,Index,A_refined.csv,,67
"Arcadia, Society of",E74 Group,Index,A_refined.csv,,"19, 161, 317, 318"
"Arconato, Galeazzo",E21 Person,Index,A_refined.csv,,106
Ariosto,E21 Person,Index,A_refined.csv,,339
Ariosto,E21 Person,Index,A_refined.csv,,"103, 336"
"Arlington, Lord",E21 Person,Index,A_refined.csv,,195
