QID,序号,数据来源,原文英文全名,统一英文全名,章节,页码,词频,P138|标签|得名自英文,P17|标签|国家英文,T131|标签|类别英文,P571|创作年（1具体到年）,P793|标签|重要事件,P625|标签|坐标位置,P18|标签|图片,P131|标签|位于城市英文,P149|标签|建筑风格英文,P859|标签|委托人/赞助人英文,P708|标签|教区英文,P140|标签|宗教或世界观英文,P84|标签|建筑师英文,P825|标签|服务于英文,P112|标签|创造者英文,T103|标签|重要艺术家英文,P31|标签|实例英文
Q338523,1,wikidata,Accademia di S. Luca,Accademia di San Luca,,"17,18,20,",,Luke the Evangelist,Italy,academy|art collection|Guild of Saint Luke|artist collective|national academy|archive|art museum|museum of modern art|private museum,1577,,"{'latitude': 41.90166, 'longitude': 12.483586, 'altitude': None, 'precision': 1e05, 'globe': 'http://www.wikidata.org/entity/Q2'}",Acc.San Luca Rop.jpg,Rome,,,,,,,,,geographic entity
Q620456,2,wikidata,Barnabites,Barnabites,,5,,,Belgium,Catholic order|organization,1530,,,Barnabites.svg,Milan,,,,,,,Anthony Maria Zaccaria,,geographic entity
Q19984587,3,wikidata,Basilica di Sant'Antonio,Basilica di Sant'Antonio,,,,Anthony of Padua,Italy,minor basilica|convent,1898,,"{'latitude': 44.48594, 'longitude': 11.35894, 'altitude': None, 'precision': 0.00012591632267830254, 'globe': 'http://www.wikidata.org/entity/Q2'}，{'latitude': 44.486, 'longitude': 11.358952, 'altitude': None, 'precision': 1e06, 'globe': 'http://www.wikidata.org/entity/Q2'}",Basilica di S. Antonio da Padova a Bologna. Facciata.jpg,Bologna,Romanesque Revival architecture,,Roman Catholic Archdiocese of Bologna,Catholicism,,Anthony of Padua,,,geographic entity
Q573881,4,wikidata,Basilica of San Lorenzo,Basilica of San Lorenzo,,,,Lawrence of Rome,Italy,parish church|minor basilica|former cathedral|museum|church building,400,,"{'latitude': 43.774888888889, 'longitude': 11.253863888889, 'altitude': None, 'precision': 2.7777777777778e06, 'globe': 'http://www.wikidata.org/entity/Q2'}","Florencia, Italia  panoramio (2).jpg",Florence,Renaissance architecture,Medici family,Roman Catholic Archdiocese of Florence,Catholicism,Filippo Brunelleschi,Lawrence of Rome,Cosimo de' Medici,Brunelleschi,geographic entity
Q3639560,5,wikidata,Biblioteca Augusta,Biblioteca comunale Augusta,,"192,685,106",,,Italy,conservation library|archive|library of an Italian territorial body,,,"{'latitude': 43.11361111, 'longitude': 12.39055556, 'altitude': None, 'precision': 1e05, 'globe': 'http://www.wikidata.org/entity/Q2'}",Augusta Sala Conestabile.jpg,Perugia,,,,,,,,,geographic entity
Q124862,6,wikidata,Capuchins,Order of Friars Minor Capuchin,,6,,,Italy,mendicant order|organization|First Order of Saint Francis,1520,,,Capuchinos de Paraguay.JPG,,,,,Catholic Church,,,Matteo Bassi,,geographic entity
Q866192,7,wikidata,Church of the Annunciation,piazza della Santissima Annunziata,,,,Mary,Italy,square,,,"{'latitude': 43.7764, 'longitude': 11.2607, 'altitude': None, 'precision': 0.01, 'globe': 'http://www.wikidata.org/entity/Q2'}",Piazza SS Annunziata Firenze Apr 2008.jpg,Florence,,,,,,,,Andrea del Sarto,geographic entity
Q324782,8,wikidata,Fabbrica d'Armi Pietro Beretta,Beretta,,19,,,Italy,commercial organization,1526,,,,,,,,,,,Beretta,,geographic entity
Q5457016,9,wikidata,Flagstaff Glacier,Flagstaff Glacier,,2,,,,glacier,,,"{'latitude': 62.0833, 'longitude': 58.4333, 'altitude': None, 'precision': 0.0001, 'globe': 'http://www.wikidata.org/entity/Q2'}",,Antarctic Treaty area,,,,,,,,,geographic entity
Q161806,10,wikidata,French Academy,Académie Fran?aise,,9,,,France,learned society|national academy|language regulator,1635,,,Institut de France  Académie fran?aise et pont des Arts.jpg,Rome,,Louis XIV,,,,,ArmandJean du Plessis| duc de Richelieu,,geographic entity
Q2604876,11,wikidata,Keller Peninsula,Keller Peninsula,,2,,,,mountain,,,"{'latitude': 62.0833, 'longitude': 58.4333, 'altitude': None, 'precision': 0.0001, 'globe': 'http://www.wikidata.org/entity/Q2'}，{'latitude': 62.073, 'longitude': 58.40606, 'altitude': None, 'precision': 1e06, 'globe': 'http://www.wikidata.org/entity/Q2'}",,Antarctic Treaty area,,,,,,,,,geographic entity
Q859440,12,wikidata,King George Island,King George Island,,2,,,,island,,,"{'latitude': 62.033333333333, 'longitude': 58.35, 'altitude': None, 'precision': 0.016666666666667, 'globe': 'http://www.wikidata.org/entity/Q2'}",Kgeorge map.png，Windy Glacier Face King George Island.JPG，00 1401 Antarctic Glacier (Southern Shetland Islands).jpg,Antarctic Treaty area,,,,,,,,,geographic entity
Q924289,13,wikidata,King's College,King's College,,5,,,United Kingdom,college of the University of Cambridge|university building,,,,,Cambridge,,,,,,,,,geographic entity
Q848394,14,wikidata,Lateran Palace,Lateran Palace,,24,,,Italy,palazzo|city palace,,,"{'latitude': 41.88666666666667, 'longitude': 12.505277777777778, 'altitude': None, 'precision': 0.0002777777777777778, 'globe': 'http://www.wikidata.org/entity/Q2'}",Western facade Palazzo del Laterano 20060907.jpg,Monti,,,,,Domenico Fontana,,,,geographic entity
Q1035634,15,wikidata,Mamertine prison,Mamertine Prison,,19,,,Italy,prison|archaeological site,,,"{'latitude': 41.893333333333, 'longitude': 12.484444444444, 'altitude': None, 'precision': None, 'globe': 'http://www.wikidata.org/entity/Q2'}，{'latitude': 41.892456, 'longitude': 12.485367, 'altitude': None, 'precision': 1e05, 'globe': 'http://www.wikidata.org/entity/Q2'}",San Giuseppe dei Falegnami (Roma)  Facciata (Mamertinum).jpg,Rome,,,,,,,,,geographic entity
Q7045727,16,wikidata,Noble Glacier,Noble Glacier,,2,,,,glacier,,,"{'latitude': 62.0667, 'longitude': 58.4333, 'altitude': None, 'precision': 0.0001, 'globe': 'http://www.wikidata.org/entity/Q2'}",,Antarctic Treaty area,,,,,,,,,geographic entity
Q247132,17,wikidata,Oratorians,Oratory of Saint Philip Neri,,6,,Philip Neri,Vatican City,society of apostolic life,1564,,,,Rome,,,,,,,Philip Neri,,geographic entity
Q1136614,18,wikidata,Palazzo Barberini,Palazzo Barberini,第二章,"19,265",,Francesco Barberini|Taddeo Barberini,Italy,palazzo|city palace|museum building,1627,construction|renovation|underdrawing,"{'latitude': 41.90332420919847, 'longitude': 12.48985606990967, 'altitude': None, 'precision': 1e08, 'globe': 'http://www.wikidata.org/entity/Q2'}",PalaisBarberiniFacade avant du palais.JPG,Municipio I,baroque architecture,Francesco Barberini|Taddeo Barberini,,,Carlo Maderno|Gian Lorenzo Bernini|Francesco Borromini,,,,geographic entity
Q1203458,19,wikidata,Palazzo DoriaPamfili,Galleria Doria Pamphilj,,19,,,Italy,art museum|museum|private museum,,,"{'latitude': 41.897669, 'longitude': 12.481145, 'altitude': None, 'precision': 2.77777777778e06, 'globe': 'http://www.wikidata.org/entity/Q2'}，{'latitude': 41.897915, 'longitude': 12.481639, 'altitude': None, 'precision': 1e05, 'globe': 'http://www.wikidata.org/entity/Q2'}，{'latitude': 41.897985, 'longitude': 12.481562, 'altitude': None, 'precision': 1e06, 'globe': 'http://www.wikidata.org/entity/Q2'}",Romapalazzodoriapamphili.jpg,Rome,,Pamphili family,,,,,,,geographic entity
Q189883,20,wikidata,Palazzo Ducale,Doge's Palace,第二章,23,,Doge of Venice,Italy,palace|tourist attraction|art museum|museum of a public entity,1340,,"{'latitude': 45.43366666666667, 'longitude': 12.340416666666666, 'altitude': None, 'precision': 2.777777777777778e05, 'globe': 'http://www.wikidata.org/entity/Q2'}",(Venice) Doge's Palace facing the sea.jpg,Venice,Gothic architecture,Republic of Venice,,,Nicolò Barattieri,,,,geographic entity
Q29286,21,wikidata,Palazzo Pitti,Palazzo Pitti,第二章,252,,,Italy,art museum|museum of modern art|Italian national museum|mansion|Museum of the Italian Ministry of Culture,1458,,"{'latitude': 43.765153, 'longitude': 11.250008, 'altitude': None, 'precision': 1e06, 'globe': 'http://www.wikidata.org/entity/Q2'}","FlorencePalaisPitti.jpg，Southern facade of Palazzo Pitti.jpg，3073  Firenze  Palazzo Pitti  Foto Giovanni Dall'Orto, 28Oct2007.jpg",Florence,Renaissance architecture,Medici family,,,Filippo Brunelleschi|Luca Fancelli,,,,geographic entity
Q15124814,22,wikidata,Piazza di Spagna,Piazza di Spagna,,22,,Embassy of Spain to the Holy See|Spain,Italy,square|tourist attraction,,,"{'latitude': 41.90595, 'longitude': 12.48205833, 'altitude': None, 'precision': 2.77777777778e06, 'globe': 'http://www.wikidata.org/entity/Q2'}",Scalinata della Trinità dei Monti.jpg,Rome,,,,,,,,,geographic entity
Q463400,23,wikidata,Piazza Navona,Piazza Navona,,21,,,Italy,square|tourist attraction,,,"{'latitude': 41.898981604263895, 'longitude': 12.473143934794237, 'altitude': None, 'precision': 1e08, 'globe': 'http://www.wikidata.org/entity/Q2'}","Paolo Monti  Servizio fotografico (Roma, 1966)  BEIC 6329173.jpg，PiazzaNavonaPanoramicaVerticale.jpg",Ponte,baroque architecture,,,,,,,,geographic entity
Q1631593,24,wikidata,S. Andrea della Valle,Sant'Andrea della Valle,第二章,"9,45",,,Italy,cardinal title|minor basilica|church building,,,"{'latitude': 41.895833333333, 'longitude': 12.474444444444, 'altitude': None, 'precision': 0.00027777777777778, 'globe': 'http://www.wikidata.org/entity/Q2'}",Basilique Sant Andrea Valle  Rome (IT62)  20210829  3.jpg,Rome,baroque architecture|Renaissance architecture,,Diocese of Rome,Catholicism,Francesco Maria Grimaldi,Andrew the Apostle,,,geographic entity
Q1670729,25,wikidata,S. Antonino,Basilica di Sant'Antonino,,19,,,Italy,minor basilica|museum building,1850,,"{'latitude': 45.049627, 'longitude': 9.694845, 'altitude': None, 'precision': 1e06, 'globe': 'http://www.wikidata.org/entity/Q2'}","Basilica di Sant'Antonino (Piacenza)  facciata, transetto nord, atrio del Paradiso e campanile 20220808.jpg",Piacenza,Romanesque architecture,,Roman Catholic Diocese of PiacenzaBobbio,Catholicism,,Antoninus of Piacenza,,,geographic entity
Q385910,26,wikidata,S. Clemente,Basilica of San Clemente,,13,,Clement I,Italy,minor basilica,1084,,"{'latitude': 41.889444444444, 'longitude': 12.4975, 'altitude': None, 'precision': None, 'globe': 'http://www.wikidata.org/entity/Q2'}",Basilica di San Clemente al Laterano  esterno.jpg,Rome,Romanesque architecture,Pope Clement XI,Diocese of Rome,Catholicism,Carlo Fontana,Clement I,,,geographic entity
Q3673484,27,wikidata,S. Maria Maggiore,Santa Maria Maggiore,第二章,3,,Mary,Italy,former church,1500,,"{'latitude': 45.43501, 'longitude': 12.31693, 'altitude': None, 'precision': 1e05, 'globe': 'http://www.wikidata.org/entity/Q2'}",Chiesa di Santa Maria Maggiore Venezia.jpg,Venice,Renaissance architecture,,Patriarchate of Venice,Catholicism,Tullio Lombardo,Mary,,,geographic entity
Q823685,28,wikidata,S. Maria Sopra Minerva,Santa Maria sopra Minerva,,3,,Mary,Italy,Catholic church building|minor basilica|tourist attraction|cultural property,1370,,"{'latitude': 41.898055555556, 'longitude': 12.478333333333, 'altitude': None, 'precision': None, 'globe': 'http://www.wikidata.org/entity/Q2'}",Santa Maria sopra Minerva.jpg,Rome,Gothic architecture,,Diocese of Rome,Catholicism,Carlo Maderno,,,,geographic entity
Q713558,29,wikidata,San Giorgio Maggiore,Church of San Giorgio Maggiore,,,,Saint George,Italy,,1566,,"{'latitude': 45.4293, 'longitude': 12.3433, 'altitude': None, 'precision': 0.00027777777777778, 'globe': 'http://www.wikidata.org/entity/Q2'}",Basilica di San Giorgio Maggiore (Venice).jpg,Venice,Renaissance architecture,,Patriarchate of Venice,Catholicism,Andrea Palladio|Vincenzo Scamozzi,Saint George,,Palladio,geographic entity
Q1192577,30,wikidata,Sant'Agnese in Agone,Sant'Agnese in Agone,,"21,55",,Agnes of Rome,Italy,church building,1650,,"{'latitude': 41.89877, 'longitude': 12.4726, 'altitude': None, 'precision': 1e08, 'globe': 'http://www.wikidata.org/entity/Q2'}",Sant'Agnese in Agone (Rome) esterno.jpg,Rome,baroque architecture,Pamphili family,Diocese of Rome,Catholicism,Carlo Rainaldi|Francesco Borromini,Agnes of Rome,Innocent X,,geographic entity
