QID,序号,数据来源,部分,原始页码,章节,校对词频,原文英文全名,统一英文全名,别称英文,Unnamed: 0,P19|标签|出生地英文,校对出生地英文,P31|标签|人物属性,P569|标签|出生日期,P570|标签|死亡日期,P20|标签|死亡地英文,P106|标签|职业英文,P27|标签|国籍英文,P101|标签|工作领域英文,P937|标签|工作地点英文,P97|标签|贵族头衔英文,P21|标签|性别英文,P611|标签|所属宗教(合并)#P1416|标签|所属机构#P463|标签|属于...机构成员英文,P119|标签|埋葬地点英文,P140|标签|宗教或世界观英文,P69|标签|受教育于英文,P53|标签|家族英文,P1830|标签|拥有财产英文,P166|标签|获奖英文,P800|标签|著名作品英文,P135|标签|风格英文,P136|标签|创作类型英文,P18|标签|图像,P22|标签|父亲英文,P25|标签|母亲英文,P3373|标签|兄弟姐妹英文,P26|标签|配偶英文,P40|标签|孩子英文,P1038|标签|亲属英文,P451|标签|未婚伴侣英文,P737|标签|受…影响英文,P108|标签|雇主英文,P1066|标签|老师#P184|标签|博士导师英文,P802|标签|学生#P185|标签|博士学生英文,P3342|标签|重要人物英文,P1049|标签|崇拜者英文,P1365|标签|继任者英文,P1366|标签|接任者英文,P859|标签|赞助人英文
Q3712960,1,wikidata,第三部分,"XVI,363,365",第十五章,3,Abate Cerato,Domenico Cerato,,0,Mason Vicentino,Mason Vicentino,human,1715,1792,Padua,architect,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15733678,2,wikidata,第一部分,"3,19",第一章,2,Abate Lancelloti,Secondo Lancellotti,,1,Perugia,Perugia,human,1583,1643,Paris,writer,,,,,male,Olivetans#Accademia degli Umoristi,,Catholicism,,,,,,,,,,,,,,,,,,Marco Antonio Bonciari,,,,,,
Q113774991,3,wikidata,第三部分,377,第十六章,1,Abate Luigi Celotti,Luigi Celotti,,2,,,human,1765,1846,,art dealer,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16830739,4,wikidata,第一部分,"31,94,115,116,118,158,156",第六章,7,Abate Michele Giustiniani,Michele Giustiniani,,3,Genoa,Genoa,human,1612,1680,Rome,historian,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q545098,5,wikidata,第三部分,"321,322,288,375",第十二章,4,Abate Ortes,Giammaria Ortes,,4,Venice,Venice,human,1713,1790,Venice,philosopher|mathematician|economist|composer,Republic of Venice,economics,,,male,Camaldolese,,,,,,,,,,,,,,,,,,,,,,Johann Adolf Hasse,,,,
Q54854824,6,wikidata,第三部分,357,第十四章,1,Abate Scarselli,Flaminio Scarselli,Diomede Egeriaco|Locresio Tegeo|Flaminius Scarsellius,5,,,human,1705,1776,,writer,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3766086,7,wikidata,第二部分,191,第七章,1,Abbate Gio Pacichelli,Giovanni Battista Pacichelli,Giovanni Battista Pacichelli|Giambattista Pacichelli,6,Rome,Rome,human,1641,1695,Rome,historian|cartographer,,,,,male,Royal Society,,,,,,,,,,,,,,,,,,,,,,,,,,
Q84562933,8,wikidata,第三部分,344,第十三章,1,Abbe Clement,Denis-Xavier Clément,,7,,,human,1706,1771,,preacher,France,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21166348,9,wikidata,第三部分,246,第九章,1,Abbe Coyer,Gabriel-François Coyer,,8,Baume-les-Dames,Baume-les-Dames,human,1707,1782,Paris,translator|Hofmeister|Catholic priest,France,,,,male,Society of Jesus#Royal Society|Académie de Stanislas,,,,,,,,French philosophism,,,,,,,,,,,Godefroy de La Tour d'Auvergne,,,,,,,
Q979496,10,wikidata,第三部分,318,第十二章,1,Abbé Galiani,Ferdinando Galiani,,9,Chieti,Chieti,human,1728,1787,Naples,economist|writer|philosopher,,,,,male,Saint Petersburg Academy of Sciences|Russian Academy of Sciences,,,,,,,Dialogues sur le commerce des bleds|Della Moneta,,,,,,,,,,,,,,,,,,,
