QID,序号,章节,原文英文全名,统一英文全名,P170|标签|创建者英文,P31|标签|实例英文,P571|标签|创作年,P17|标签|国家英文,P495|标签|原产国英文,P2048|标签|高度,P2049|标签|宽度,P195|标签|收藏英文,P276|标签|位置英文,P18|标签|图片英文,P921|标签|主要主题英文,P135|标签|运动英文,P1071|标签|创作地点英文,P88|标签|委托英文,P84|标签|建筑师英文,P149|标签|建筑风格英文,词频,页码,P859|标签|委托人/赞助人英文,P608|标签|展示地英文,T195|标签|收藏方英文,T9|标签|作者国籍英文,T6|标签|现存城市英文,T8|标签|作品属性英文
Q21725334,2,第四章,A Coast View with Apollo and Cumaean Sibyl,Coast View with Apollo and the Cumaean Sibyl,Claude Lorrain,painting,1645,,,99.5 cm,127 cm,Hermitage Museum|Walpole collection,Hermitage Museum,Claude Lorrain - C?te vue avec Apollon et la Sibylle de Cumes.jpg,,,France,,,,1,116,Camillo Massimi,,,French,,Mythology (Roman mythology)
Q125396571,3,第四章,A Coast View with Perseus and the Origin of Coral,Coast View with Perseus and the Origin of Coral,Claude Lorrain,painting,1673,United Kingdom,,100 cm,127 cm,Holkham Hall,Holkham Hall,Marina con Perseo y el origen del coral.jpg,,,,,,,1,118,Camillo Massimi,,,French,Holkham,Mythology (Roman mythology)
Q124218016,4,图版目录,A Group of Musicians,Portrait of Three Musicians of the Medici Court,Anton Domenico Gabbiani,painting,1685,Italy,,,,Palazzo Pitti,,AD Gabbiani Músicos de la corte de los Medici P Pitti.jpg,,,,,,,1,XIV,House of Medici,,,Italian,Florence,Daily life (Genre painting)
Q2336984,5,第十一章,A Lady at the Virginals with a Gentleman,The Music Lesson,Johannes Vermeer,painting,1662,United Kingdom,,74.1 cm,64.6 cm,Royal Collection,Buckingham Palace,"Johannes Vermeer - Lady at the Virginal with a Gentleman, 'The Music Lesson' - Google Art Project.jpg",,Dutch Golden Age painting,,,,,1,307,,,Joseph Smith,Dutch,London,Daily life (Interior scenes)
Q28026269,7,第七章,A Sea triumph,The Sea Triumph of Charles II,Antonio Verrio,painting,1674,,,224.5 cm,231.0 cm,Royal Collection,King's Gallery,Antonio Verrio (c. 1639-1707) - The Sea Triumph of Charles II - RCIN 406173 - Royal Collection.jpg,,,,,,,1,195,Charles II of England,,Royal Collection,Italian,,Fable
Q102961376,8,第四章,A storm at sea,A storm at sea,Richard Earlom,print,1807,United Kingdom,England,6.5 inch,9.25 inch,Vanderbilt Museum of Art,Vanderbilt Museum of Art,A Storm at Sea after Claude Lorrain - Vanderbilt Fine Arts Gallery - 1975.054.tif,,,,,,,1,97,Paolo Giordano II Orsini,,,French,,Landscape
Q28027599,13,第十三章,Adoration of the Magi,The Adoration of the Magi,Sebastiano Ricci,painting,1726,,,325.5 cm,291.5 cm,Royal Collection,,Sebastiano Ricci (Belluno 1659-Venice 1734) - The Adoration of the Kings - RCIN 405743 - Royal Collection.jpg,adoration of the Magi,,,,,,1,345,,,Don Pietro Antonio Toni,Italian,,Religious themes
Q26492606,18,第十三章,Ahasuerus,Esther before Ahasuerus,Sebastiano Ricci,painting,1733,,,47 cm,33 cm,National Gallery,National Gallery,Sebastiano Ricci 025.jpg,Esther before Ahasuerus,,,,,,1,342,,,,Italian,,Religious themes
Q3610098,20,第八章,Alexander the Great|King  Alexander,Pallas Athena,Rembrandt,painting,1655,,,118 cm,91 cm,Calouste Gulbenkian Museum|Hermitage Museum,Calouste Gulbenkian Museum,Pallas Athena by Rembrandt Museu Calouste Gulbenkian 1488.jpg,,Dutch Golden Age painting,,,,,1,210,Antonio Ruffo,,,Dutch,,Portrait
Q29651135,24,图版目录,Allegorical Tomb to the memory of Archbishop Tillotson,,Giambattista Pittoni,painting,1726,United Kingdom,,79 cm,52 cm,Department of Paintings of the Louvre,Italian paintings room 724,,,,,,,,1,XV,Peter Moores,,,Italian,Liverpool,Fable
Q111821593,29,图版目录,Allegory of Divine Wisdom,Allegory of Divine Wisdom,Andrea Sacchi,painting,1650,Italy,Italy,,,,,"Andrea sacchi, allegoria della divina sapienza, 1629-33, 01.JPG",,,,,,,4,"XII,52,53,87",Antonio Barberini,Palazzo Barberini,,Italian,Rome,Religious themes (Religious allegory)
Q23699891,51,图版目录,An Operatic Rehearsal,Rehearsal of an opera,Marco Ricci,painting,1709,United Kingdom,Italy,46.4 cm,57.8 cm,Yale Center for British Art,Yale Center for British Art,Marco Ricci - Rehearsal of an opera - Google Art Project.jpg,,,,,,,1,XV,Charles III of Spain,,Sir Watkin Williams-Wynn,Italian,St. Asaph,Daily life (Interior scenes)
Q15181138,55,第六章,Angel Statues on Ponte Sant'Angelo,Angel with the Superscription,Gian Lorenzo Bernini,statue,1667,Italy,,,,,Sant'Andrea delle Fratte,Angel with the inscription by Giovanni Lorenzo Bernini.jpg,,Baroque,,Clement IX,,,,157,Pope Clement IX,Ponte Sant'Angelo,,Italian,Rome,Sculpture
