Source_Side,Status,File_Code,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type
Index,Matched,A,Accademia Albrizziana,E74 Group,Accademia Albrizziana,G32,Direct Match
Index,Matched,A,Accademia di S. Luca,E74 Group,Accademia di San Luca,Q338523,Direct Match
Index,Matched,A,Accademia di S. Luca,E74 Group,Accademia di San Luca,Q338523,Direct Match
Index,Matched,A,Accademia di S. Luca,E74 Group,Accademia di San Luca,Q338523,Direct Match
Index,Matched,A,"Adam, James",E21 Person,James Adam,Q2618073,Direct Match
Index,Matched,A,"Adam, Robert",E21 Person,Robert Adam,Q312635,Direct Match
Index,Matched,A,"Adam, Robert",E21 Person,Robert Adam,Q312635,Direct Match
Index,Matched,A,"Adami, Luigi",E21 Person,Luigi Adami,R131,Direct Match
Index,Matched,A,"Adami, Luigi",E21 Person,Luigi Adami,R131,Direct Match
Index,Matched,A,"Adamo, Giovanni",E21 Person,Giovanni Adamo,Q581481,Direct Match
Index,Matched,A,"Agucchi, Giovanni Battista",E21 Person,Giovanni Battista Agucchi,Q3766546,Direct Match
Index,Matched,A,Alexander VII,E21 Person,Pope Alexander VII,Q127254,Direct Match
Index,Matched,A,Alexander VIII,E21 Person,Pope Alexander VIII,Q101294,Direct Match
Index,Matched,A,"Algardi, Alessandro",E21 Person,Alessandro Algardi,Q336798,Direct Match
Index,Matched,A,"Algardi, Alessandro",E21 Person,Alessandro Algardi,Q336798,Direct Match
Index,Matched,A,"Algardi, Alessandro",E21 Person,Alessandro Algardi,Q336798,Direct Match
Index,Matched,A,"Algardi, Alessandro",E21 Person,Alessandro Algardi,Q336798,Direct Match
Index,Matched,A,"Algardi, Alessandro",E21 Person,Alessandro Algardi,Q336798,Direct Match
Index,Matched,A,"Algardi, Alessandro",E21 Person,Alessandro Algardi,Q336798,Direct Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match
Index,Matched,A,"Allegrini, Francesco",E53 Place,Francesco Allegrini,Q44101021,Cross-Category Match
Index,Matched,A,"Altham, James",E21 Person,James Altham,R105,Direct Match
Index,Matched,A,"Ameyden, Dirk",E21 Person,Dirk Ameyden,Q3983865,Direct Match
Index,Matched,A,"Ameyden, Dirk",E21 Person,Dirk Ameyden,Q3983865,Direct Match
Index,Matched,A,"Amigoni, Jacopo",E21 Person,Jacopo Amigoni,Q380897,Direct Match
Index,Matched,A,"Amigoni, Jacopo",E21 Person,Jacopo Amigoni,Q380897,Direct Match
Index,Matched,A,"Amigoni, Jacopo",E21 Person,Jacopo Amigoni,Q380897,Direct Match
Index,Matched,A,"Amigoni, Jacopo",E21 Person,Jacopo Amigoni,Q380897,Direct Match
Index,Matched,A,"Amigoni, Jacopo",E21 Person,Jacopo Amigoni,Q380897,Direct Match
Index,Matched,A,"Amigoni, Jacopo",E21 Person,Jacopo Amigoni,Q380897,Direct Match
Index,Matched,A,"Amigoni, Jacopo",E21 Person,Jacopo Amigoni,Q380897,Direct Match
Index,Matched,A,"Amigoni, Jacopo",E21 Person,Jacopo Amigoni,Q380897,Direct Match
Index,Matched,A,"Amigoni, Jacopo",E21 Person,Jacopo Amigoni,Q380897,Direct Match
Index,Matched,A,"Andreosi, Francesco",E53 Place,Francesco Andreosi,R54,Cross-Category Match
