Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code
Index,Matched,Accademia Albrizziana,E74 Group,Accademia Albrizziana,G32,Direct Match,A
Index,Matched,Accademia di S. Luca,E74 Group,Accademia di San Luca,Q338523,Direct Match,A
Index,Matched,"Adam, James",E21 Person,James Adam,Q2618073,Direct Match,A
Index,Matched,"Adam, Robert",E21 Person,Robert Adam,Q312635,Direct Match,A
Index,Matched,"Adami, Luigi",E21 Person,Luigi Adami,R131,Direct Match,A
Index,Matched,"Adamo, Giovanni",E21 Person,Giovanni Adamo,Q581481,Direct Match,A
Index,Matched,"Agucchi, Giovanni Battista",E21 Person,Giovanni Battista Agucchi,Q3766546,Direct Match,A
Index,Matched,Alexander VII,E21 Person,Pope Alexander VII,Q127254,Direct Match,A
Index,Matched,Alexander VIII,E21 Person,Pope Alexander VIII,Q101294,Direct Match,A
Index,Matched,"Algardi, Alessandro",E21 Person,Alessandro Algardi,Q336798,Direct Match,A
Index,Matched,"Algarotti, Francesco",E53 Place,Francesco Algarotti,Q439081,Cross-Category Match,A
Index,Matched,"Allegrini, Francesco",E53 Place,Francesco Allegrini,Q44101021,Cross-Category Match,A
Index,Matched,"Altham, James",E21 Person,James Altham,R105,Direct Match,A
Index,Matched,"Ameyden, Dirk",E21 Person,Dirk Ameyden,Q3983865,Direct Match,A
Index,Matched,"Amigoni, Jacopo",E21 Person,Jacopo Amigoni,Q380897,Direct Match,A
Index,Matched,"Andreosi, Francesco",E53 Place,Francesco Andreosi,R54,Cross-Category Match,A
Index,Matched,"Angeli, Giuseppe",E21 Person,Giuseppe Angeli,Q378182,Direct Match,A
Index,Matched,"Angeloni, Francesco",E53 Place,Francesco Angeloni,Q1102576,Cross-Category Match,A
Index,Matched,"Animuccia, Giovanni",E21 Person,Giovanni Animuccia,Q500507,Direct Match,A
Index,Matched,"Armanni, Vincenzo",E21 Person,Vincenzo Armanni,Q87700122,Direct Match,A
Index,Matched,"Assereto, Gioacchino",E21 Person,Gioacchino Assereto,Q2701986,Direct Match,A
Index,Matched,"Bacon, Sir Francis",E21 Person,Francis Bacon,Q37388,Direct Match,B
Index,Matched,"Baglione, Giovanni",E21 Person,Giovanni Baglione,Q983332,Direct Match,B
Index,Matched,"Baker, Thomas",E21 Person,Thomas Baker,Q7787323,Direct Match,B
Index,Matched,"Balbi, Paolo Battista",E21 Person,Paolo Battista Balbi,Q105635223,Direct Match,B
Index,Matched,"Baldi, Lazzaro",E21 Person,Lazzaro Baldi,Q3220072,Direct Match,B
Index,Matched,"Baldinucci, Filippo",E21 Person,Filippo Baldinucci,Q979574,Direct Match,B
Index,Matched,"Balestra, Antonio",E21 Person,Antonio Balestra,Q386500,Direct Match,B
Index,Matched,"Balestrieri, Gabriele",E21 Person,Gabriele Balestrieri,R64,Direct Match,B
Index,Matched,"Bambini, Niccolò",E21 Person,Niccolò Bambini,Q1111424,Direct Match,B
Index,Matched,"Bandinelli, Baccio",E21 Person,Baccio Bandinelli,Q358348,Direct Match,B
Index,Matched,"Barbarigo, Pietro",E21 Person,Pietro Barbarigo,Q107565971,Direct Match,B
Index,Matched,"Barelli, Agostino",E21 Person,Agostino Barelli,Q395578,Direct Match,B
Index,Matched,"Barocci, Federico",E21 Person,Federico Barocci,Q316731,Direct Match,B
Index,Matched,"Baroni, Leonora",E21 Person,Leonora Baroni,Q2625057,Direct Match,B
Index,Matched,"Basadonna, Cardinal Pietro",E21 Person,Pietro Basadonna,Q3388084,Direct Match,B
Index,Matched,"Beccaria, Cesare",E21 Person,Cesare Beccaria,Q223723,Direct Match,B
Index,Matched,"Bella, Stefano della",E21 Person,Stefano della Bella,Q921242,Direct Match,B
Index,Matched,"Bellini, Gentile",E21 Person,Gentile Bellini,Q290407,Direct Match,B
Index,Matched,"Bellini, Giovanni",E21 Person,Giovanni Bellini,Q17169,Direct Match,B
Index,Matched,"Belloni, Giovanni Antonio",E21 Person,Giovanni Antonio Belloni,R77,Direct Match,B
Index,Matched,"Bellotti, Pietro",E21 Person,Pietro Bellotti,Q1111180,Direct Match,B
Index,Matched,"Bellotto, Bernardo",E21 Person,Bernardo Bellotto,Q164688,Direct Match,B
Index,Matched,"Bellucci, Antonio",E21 Person,Antonio Bellucci,Q302062,Direct Match,B
Index,Matched,Benedictines,E74 Group,Benedictines,Q131132,Direct Match,B
Index,Matched,"Benefial, Marco",E21 Person,Marco Benefial,Q466471,Direct Match,B
Index,Matched,"Bentinck, William",E21 Person,William Bentinck,Q336463,Direct Match,B
Index,Matched,"Bentivoglio, Cardinal Guido",E21 Person,Guido Bentivoglio,Q1364155,Direct Match,B
Index,Matched,"Bentivoglio, Enzo",E21 Person,Enzo Bentivoglio,Q21548348,Direct Match,B
Index,Matched,Bernardo Strozzi,E21 Person,Bernardo Strozzi,Q437724,Direct Match,S
Index,Matched,"Bernini, Domenico",E21 Person,Domenico Bernini,Q2338440,Direct Match,B
Index,Matched,"Bernini, Gian Lorenzo",E21 Person,Gian Lorenzo Bernini,Q256580,Direct Match,B
Index,Matched,"Bernini, Pietro",E21 Person,Pietro Bernini,Q712397,Direct Match,B
Index,Matched,"Berrettoni, Niccolò",E21 Person,Niccolò Berrettoni,Q2406864,Direct Match,B
Index,Matched,"Bertos, Francesco",E53 Place,Francesco Bertos,Q1440918,Cross-Category Match,B
Index,Matched,"Bettinelli, Saverio",E21 Person,Saverio Bettinelli,Q1152092,Direct Match,B
Index,Matched,"Bianchi, Isidoro",E21 Person,Isidoro Bianchi,Q3155339,Direct Match,B
Index,Matched,"Bigari, Vittorio",E21 Person,Vittorio Bigari,Q514645,Direct Match,B
Index,Matched,"Bizoni, Bernardo",E21 Person,Bernardo Bizoni,Q103980500,Direct Match,B
Index,Matched,"Blunt, Sir Anthony",E21 Person,Anthony Blunt,Q508392,Direct Match,B
Index,Matched,"Bordone, Paris",E53 Place,Paris Bordone,Q366081,Cross-Category Match,B
Index,Matched,"Bordoni, Francesco",E53 Place,Francesco Bordoni,Q13408027,Cross-Category Match,B
Index,Matched,"Borghese, Cardinal Scipione",E21 Person,Scipione Borghese,Q452570,Direct Match,B
Index,Matched,"Borromeo, Cardinal Federico",E53 Place,Federico Borromeo,Q469171,Cross-Category Match,B
Index,Matched,"Borromini, Francesco",E53 Place,Francesco Borromini,Q123150,Cross-Category Match,B
Index,Matched,"Borzone, Francesco",E53 Place,Francesco Borzone,Q3080999,Cross-Category Match,B
Index,Matched,"Boschini, Marco",E21 Person,Marco Boschini,Q662866,Direct Match,B
Index,Matched,"Both, Jan",E21 Person,Jan Both,Q981631,Direct Match,B
Index,Matched,"Botti, Francesco",E53 Place,Francesco Botti,Q3749660,Cross-Category Match,B
Index,Matched,"Bouchard, Jean-Jacques",E21 Person,Jean-Jacques Bouchard,Q3166189,Direct Match,B
Index,Matched,"Bracciolini, Francesco",E53 Place,Francesco Bracciolini,Q322022,Cross-Category Match,B
Index,Matched,"Brandi, Giacinto",E21 Person,Giacinto Brandi,Q1748199,Direct Match,B
Index,Matched,"Brill, Paul",E21 Person,Paul Brill,Q540753,Direct Match,B
Index,Matched,"Brosse, Salomon de",E21 Person,Salomon de Brosse,Q725816,Direct Match,B
Index,Matched,"Brunelleschi, Filippo",E21 Person,Filippo Brunelleschi,Q174330,Direct Match,B
Index,Matched,"Brusoni, Girolamo",E21 Person,Girolamo Brusoni,Q3768903,Direct Match,B
Index,Matched,"Brustolon, Andrea",E21 Person,Andrea Brustolon,Q3615560,Direct Match,B
Index,Matched,"Buonaccorsi, Cardinal Simone",E21 Person,Simone Buonaccorsi,Q3484548,Direct Match,B
Index,Matched,"Buonaccorsi, Count Orlando",E21 Person,Orlando Buonaccorsi,Q111738040,Direct Match,B
Index,Matched,"Buonaccorsi, Raimondo",E21 Person,Raimondo Buonaccorsi,Q109805360,Direct Match,B
