Entity_Name,Type,Source,QID,Page_Numbers,Original_Files,Original_Count
"'Artistic temperament', development of concept",E28 Conceptual Object,Index,,"21, 22, 23",A_refined.csv,1
'Baciccio',E21 Person,Index,,,B_refined.csv,1
'Monsù Desiderio',E21 Person,Index,,,M_refined.csv,1
'Rosichino',E21 Person,Index,,52n,Q-R_refined.csv,1
'Status-seeking' by artists in 17th-century Rome,E28 Conceptual Object,Index,,"18, 19, 20, 21, 220",S_refined.csv,1
A Dance to the Music of Time,E22 Man-Made Object,Handmade,Q2513438,,work-English_table.csv,1
A Donor Presented to the Virgin,E22 Man-Made Object,Handmade,Q123597533,,work-English_table.csv,1
A Seaport,E22 Man-Made Object,Handmade,Q52242065,,work-English_table.csv,1
A storm at sea,E22 Man-Made Object,Handmade,Q102961376,,work-English_table.csv,1
"A study for the Fountain of the Four Rivers, Piazza Navona, Rome",E22 Man-Made Object,Handmade,Q29350431,,work-English_table.csv,1
A. C. Sewter,E21 Person,Handmade,Q18934833,,name-English_table.csv,1
A.M. Zanetti the Elder with Marchese Gerini,E22 Man-Made Object,Handmade,A2,,work-English_table.csv,1
Abbey of Monte Cassino,E53 Place,Handmade,Q334051,,gio-English_table.csv,1
Abbey of Santa Giustina,E53 Place,Handmade,Q219502,,gio-English_table.csv,1
Abel Desjardins,E21 Person,Handmade,Q2821500,,name-English_table.csv,1
Abel-Fran?ois Poisson de Vandières,E21 Person,Handmade,Q2258999,,name-English_table.csv,1
Abigail,E21 Person,Handmade,Q4416778,,name-English_table.csv,1
Abigail giving Presents to David,E22 Man-Made Object,Handmade,A3,,work-English_table.csv,1
Abraham Brueghel,E21 Person,Handmade,Q1824525,,name-English_table.csv,1
Abraham Nicolas Amelot de la Houssaye,E21 Person,Handmade,Q2667383,,name-English_table.csv,1
Abruzzo,E53 Place,Handmade,Q1284,,gio-English_table.csv,1
Academy at Parma,E53 Place,Handmade,G35,,gio-English_table.csv,1
Académie Fran?aise,E53 Place,Handmade,Q161806,,gio-English_table.csv,1
Accademia Albrizziana,E74 Group,Handmade + Index,G32,334,A_refined.csv; gio-English_table.csv,2
Accademia Carrara,E53 Place,Handmade,Q338367,,gio-English_table.csv,1
Accademia degli Umoristi,E74 Group,Index,,118,A_refined.csv,1
Accademia dei Cacadubbi,E53 Place,Handmade,G33,,gio-English_table.csv,1
Accademia dei Concordi di Rovigo,E53 Place,Handmade,Q3603991,,gio-English_table.csv,1
Accademia dei Lincei,E74 Group,Index,,"33, 99",A_refined.csv,1
Accademia del Disegno,E74 Group,Index,,241,A_refined.csv,1
Accademia di Belle Arti di Venezia,E53 Place,Handmade,Q338505,,gio-English_table.csv,1
Accademia di Firenze,E53 Place,Handmade,Q3604020,,gio-English_table.csv,1
Accademia di Pittura e Scultura,E74 Group,Index,,"329, 330, 363; 331",A_refined.csv,2
Accademia di San Luca,E74 Group,Handmade + Index,Q338523,"17; 17, 18, 20, 121; 17, 18, 53, 121, 126, 141, 142, 150, 158, 160, 191",A_refined.csv; gio-English_table.csv,4
Accbremia Albrizziana,E53 Place,Handmade,G94,,gio-English_table.csv,1
Achille Bosisio,E21 Person,Handmade,R1,,name-English_table.csv,1
Achille Neri,E21 Person,Handmade,Q20488569,,name-English_table.csv,1
"Acqua, Cristoforo dall'",E21 Person,Index,,327,A_refined.csv,1
Adam Bartsch,E21 Person,Handmade,Q78785,,name-English_table.csv,1
"Adda, Cardinal d'",E21 Person,Index,,166n,A_refined.csv,1
Addison,E22 Man-Made Object,Handmade,A4,,work-English_table.csv,1
Adolf Salvatore Cavallo,E21 Person,Handmade,Q77518121,,name-English_table.csv,1
Adolfo Venturi,E21 Person,Handmade,Q2824734,,name-English_table.csv,1
Adonis,E21 Person,Handmade,Q163920,,name-English_table.csv,1
Adoration of the Magi,E22 Man-Made Object,Handmade,A5,,work-English_table.csv,1
Adriaen van der Werff,E21 Person,Handmade,Q368053,,name-English_table.csv,1
Adriatic Sea,E53 Place,Handmade,Q13924,,gio-English_table.csv,1
Aedes Barberina ad Quirinalem,E22 Man-Made Object,Handmade,A7,,work-English_table.csv,1
Aeneas,E21 Person,Handmade,Q82732,,name-English_table.csv,1
Aeneas de Caprara,E21 Person,Handmade,Q255150,,name-English_table.csv,1
Aeneid,E22 Man-Made Object,Handmade,A416,,work-English_table.csv,1
Agamemnon,E21 Person,Handmade,Q128176,,name-English_table.csv,1
Agnolo Galli,E21 Person,Handmade + Index,Q127691377,105n,G_refined.csv; name-English_table.csv,2
Agostino Andrea Chigi,E21 Person,Handmade,Q395635,,name-English_table.csv,1
Agostino Barelli,E21 Person,Handmade + Index,Q395578,193,B_refined.csv; name-English_table.csv,4
Agostino Ciampelli,E21 Person,Handmade + Index,Q1061864,"38, 39, 66",C_refined.csv; name-English_table.csv,2
Agostino Mascardi,E21 Person,Handmade + Index,Q3606791,157,M_refined.csv; name-English_table.csv,2
Agostino Masucci,E21 Person,Handmade,Q395680,,name-English_table.csv,1
Agostino Mitelli,E21 Person,Handmade + Index,Q1427142,190,M_refined.csv; name-English_table.csv,2
Agostino Sagredo,E21 Person,Handmade,Q3606820,,name-English_table.csv,1
Agostino Tassi,E21 Person,Handmade + Index,Q395741,"49, 56",T_refined.csv; name-English_table.csv,2
"Aix-la-Chapelle, Peace of",E5 Event,Index,,318,A_refined.csv,1
Alan Noel Latimer Munby,E21 Person,Handmade,Q3607762,,name-English_table.csv,1
"Albani, Cardinal Annibale",E21 Person,Index,,166n,A_refined.csv,1
"Albani, Francesco",E53 Place,Index,,"131, 141, 169, 178",A_refined.csv,1
"Albani, Gianfrancesco (Pope Clement XI)",E21 Person,Index,,"xviii, 19, 129, 163, 222",A_refined.csv,1
"Albergati-Capacelli, Francesco",E53 Place,Index,,336,A_refined.csv,1
Albergo del Moretto,E53 Place,Handmade,G8,,gio-English_table.csv,1
Albert Ilg,E21 Person,Handmade,Q86432,,name-English_table.csv,1
Alberto Cametti,E21 Person,Handmade,Q5601360,,name-English_table.csv,1
Alberto Vecchi,E21 Person,Handmade,R2,,name-English_table.csv,1
Albrecht Dürer,E21 Person,Handmade + Index,Q5580,"98, 211",D_refined.csv; name-English_table.csv,2
"Albrizzi, Almor¨°",E21 Person,Index,,334,A_refined.csv,1
"Albrizzi, Giambattista",E21 Person,Index,,"334; 334, 335; 334, 335, 336; 334, 335, 336, 343, 345; 336; 337, 344",A_refined.csv,6
Aldo De Rinaldis,E21 Person,Handmade,Q51529772,,name-English_table.csv,1
Aldo Ravà,E21 Person,Handmade,Q105102298,,name-English_table.csv,1
"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",E21 Person,Index,,"25, 160, 171; 25, 27, 39, 398",A_refined.csv,2
"Aldobrandini, Ippolito (Pope Clement VIII)",E21 Person,Index,,"25, 26, 67",A_refined.csv,1
