ID,Original Entity Name,Type,Original_Files
1,"'Artistic temperament', development of concept",E28 Conceptual Object,A_refined.csv
2,'Baciccio',E21 Person,B_refined.csv
3,'Monsù Desiderio',E21 Person,M_refined.csv
4,'Rosichino',E21 Person,Q-R_refined.csv
5,'Status-seeking' by artists in 17th-century Rome,E28 Conceptual Object,S_refined.csv
6,A Dance to the Music of Time,E22 Man-Made Object,work-English_table.csv
7,A Donor Presented to the Virgin,E22 Man-Made Object,work-English_table.csv
8,A Seaport,E22 Man-Made Object,work-English_table.csv
9,A storm at sea,E22 Man-Made Object,work-English_table.csv
10,"A study for the Fountain of the Four Rivers, Piazza Navona, Rome",E22 Man-Made Object,work-English_table.csv
11,A. C. Sewter,E21 Person,name-English_table.csv
12,A.M. Zanetti the Elder with Marchese Gerini,E22 Man-Made Object,work-English_table.csv
13,Abbey of Monte Cassino,E53 Place,gio-English_table.csv
14,Abbey of Santa Giustina,E53 Place,gio-English_table.csv
15,Abel Desjardins,E21 Person,name-English_table.csv
16,Abel-Fran?ois Poisson de Vandières,E21 Person,name-English_table.csv
17,Abigail,E21 Person,name-English_table.csv
18,Abigail giving Presents to David,E22 Man-Made Object,work-English_table.csv
19,Abraham Brueghel,E21 Person,name-English_table.csv
20,Abraham Nicolas Amelot de la Houssaye,E21 Person,name-English_table.csv
21,Abruzzo,E53 Place,gio-English_table.csv
22,Academy at Parma,E53 Place,gio-English_table.csv
23,Académie Fran?aise,E53 Place,gio-English_table.csv
24,Accademia Albrizziana,E74 Group,A_refined.csv; gio-English_table.csv
25,Accademia Carrara,E53 Place,gio-English_table.csv
26,Accademia degli Umoristi,E74 Group,A_refined.csv
27,Accademia dei Cacadubbi,E53 Place,gio-English_table.csv
28,Accademia dei Concordi di Rovigo,E53 Place,gio-English_table.csv
29,Accademia dei Lincei,E74 Group,A_refined.csv
30,Accademia del Disegno,E74 Group,A_refined.csv
31,Accademia di Belle Arti di Venezia,E53 Place,gio-English_table.csv
32,Accademia di Firenze,E53 Place,gio-English_table.csv
33,Accademia di Pittura e Scultura,E74 Group,A_refined.csv
34,Accademia di San Luca,E74 Group,A_refined.csv; gio-English_table.csv
35,Accbremia Albrizziana,E53 Place,gio-English_table.csv
36,Achille Bosisio,E21 Person,name-English_table.csv
37,Achille Neri,E21 Person,name-English_table.csv
38,"Acqua, Cristoforo dall'",E21 Person,A_refined.csv
39,Adam Bartsch,E21 Person,name-English_table.csv
40,"Adda, Cardinal d'",E21 Person,A_refined.csv
41,Addison,E22 Man-Made Object,work-English_table.csv
42,Adolf Salvatore Cavallo,E21 Person,name-English_table.csv
43,Adolfo Venturi,E21 Person,name-English_table.csv
44,Adonis,E21 Person,name-English_table.csv
45,Adoration of the Magi,E22 Man-Made Object,work-English_table.csv
46,Adriaen van der Werff,E21 Person,name-English_table.csv
47,Adriatic Sea,E53 Place,gio-English_table.csv
48,Aedes Barberina ad Quirinalem,E22 Man-Made Object,work-English_table.csv
49,Aeneas,E21 Person,name-English_table.csv
50,Aeneas de Caprara,E21 Person,name-English_table.csv
51,Aeneid,E22 Man-Made Object,work-English_table.csv
52,Agamemnon,E21 Person,name-English_table.csv
53,Agnolo Galli,E21 Person,G_refined.csv; name-English_table.csv
54,Agostino Andrea Chigi,E21 Person,name-English_table.csv
55,Agostino Barelli,E21 Person,B_refined.csv; name-English_table.csv
56,Agostino Ciampelli,E21 Person,C_refined.csv; name-English_table.csv
57,Agostino Mascardi,E21 Person,M_refined.csv; name-English_table.csv
58,Agostino Masucci,E21 Person,name-English_table.csv
59,Agostino Mitelli,E21 Person,M_refined.csv; name-English_table.csv
60,Agostino Sagredo,E21 Person,name-English_table.csv
61,Agostino Tassi,E21 Person,T_refined.csv; name-English_table.csv
62,"Aix-la-Chapelle, Peace of",E5 Event,A_refined.csv
63,Alan Noel Latimer Munby,E21 Person,name-English_table.csv
64,"Albani, Cardinal Annibale",E21 Person,A_refined.csv
65,"Albani, Francesco",E53 Place,A_refined.csv
66,"Albani, Gianfrancesco (Pope Clement XI)",E21 Person,A_refined.csv
67,"Albergati-Capacelli, Francesco",E53 Place,A_refined.csv
68,Albergo del Moretto,E53 Place,gio-English_table.csv
69,Albert Ilg,E21 Person,name-English_table.csv
70,Alberto Cametti,E21 Person,name-English_table.csv
71,Alberto Vecchi,E21 Person,name-English_table.csv
72,Albrecht Dürer,E21 Person,D_refined.csv; name-English_table.csv
73,"Albrizzi, Almor¨°",E21 Person,A_refined.csv
74,"Albrizzi, Giambattista",E21 Person,A_refined.csv
75,Aldo De Rinaldis,E21 Person,name-English_table.csv
76,Aldo Ravà,E21 Person,name-English_table.csv
77,"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",E21 Person,A_refined.csv
78,"Aldobrandini, Ippolito (Pope Clement VIII)",E21 Person,A_refined.csv
79,Alessandro Albani,E21 Person,name-English_table.csv
80,Alessandro Algardi,E21 Person,A_refined.csv; name-English_table.csv
81,Alessandro Baudi di Vesme,E21 Person,name-English_table.csv
82,Alessandro Bettagno,E21 Person,name-English_table.csv
83,Alessandro Borgia,E21 Person,name-English_table.csv
84,Alessandro Farnese (cardinal),E21 Person,name-English_table.csv
85,"Alessandro Farnese, Duke of Parma",E21 Person,name-English_table.csv
86,Alessandro Galilei,E21 Person,G_refined.csv; name-English_table.csv
87,Alessandro Gherardini,E21 Person,G_refined.csv; name-English_table.csv
88,Alessandro Longhi,E21 Person,L_refined.csv; name-English_table.csv
89,Alessandro Ludovisi,E21 Person,name-English_table.csv
90,Alessandro Luzio,E21 Person,name-English_table.csv
91,Alessandro Magnasco,E21 Person,M_refined.csv; name-English_table.csv
92,Alessandro Marabottini,E21 Person,name-English_table.csv
93,Alessandro Marchesini,E21 Person,name-English_table.csv
94,Alessandro Orsini,E21 Person,O_refined.csv; name-English_table.csv
95,Alessandro Peretti di Montalto,E21 Person,name-English_table.csv
96,Alessandro Scarlatti,E21 Person,S_refined.csv; name-English_table.csv
97,Alessandro Sforza,E21 Person,name-English_table.csv
98,Alessandro Turchi,E21 Person,T_refined.csv; name-English_table.csv
99,Alessandro Varotari,E21 Person,name-English_table.csv
100,Alessandro Vasalli,E21 Person,name-English_table.csv
101,Alessandro Vittrici,E21 Person,name-English_table.csv
102,Alessandro Zen,E21 Person,name-English_table.csv
103,Alessandro de' Medici,E21 Person,name-English_table.csv
104,"Alexander Hamilton, 10th Duke of Hamilton",E21 Person,name-English_table.csv
105,Alexander III,E21 Person,name-English_table.csv
106,Alexander Sauli,E21 Person,name-English_table.csv
107,Alexander the Great,E21 Person,name-English_table.csv
108,Alfonso Gesualdo,E21 Person,name-English_table.csv
109,Alfonso I d'Este,E21 Person,name-English_table.csv
110,Alfonso Pérez Sánchez,E21 Person,name-English_table.csv
111,Alfred Sensier,E21 Person,name-English_table.csv
112,Alfredo Bardella,E21 Person,name-English_table.csv
113,"Algarotti, Bonomo",E21 Person,A_refined.csv
114,Alice Binion,E21 Person,name-English_table.csv
115,Allan Hume,E21 Person,name-English_table.csv
116,Allegory of Clemency,E22 Man-Made Object,work-English_table.csv
