Refined_Formal_Name,Original_Entry,Refined_Category,Status/Notes
A Dance to the Music of Time (Poussin),A Dance to the Music of Time,Work,[Validation] 普桑画作。
A Donor Presented to the Virgin,A Donor Presented to the Virgin,Work,[Validation] 画作主题/标题。
A Scene from the Aeneid,una favola d'Enea,Work,[Category Fix] 埃涅阿斯纪的故事场景（fable/story）。
A Seaport,A Seaport,Work,[Validation] 画作标题（可能是克劳德·洛兰）。
A storm at sea,A storm at sea,Work,[Validation] 画作标题。
A. E. Popham,Arthur Ewart Popham,Person,[Validation] 大英博物馆策展人。
A. N. L. Munby,Alan Noel Latimer Munby,Person,[Validation] 图书馆学家。
A. S. Turberville,Arthur Stanley Turberville,Person,[Validation] 历史学家。
A.M. Zanetti the Elder with Marchese Gerini,A.M. Zanetti the Elder with Marchese Gerini,Work,[Category Fix] 这是一个讽刺画作品标题 (Caricature)，非单纯人名列表。
Abate Scarselli,"Scarselli, Abate",Person,可能是 Flaminio Scarselli (文学家)。
Abbey of Monte Cassino,Abbey of Monte Cassino,Place,[Validation] 地点（修道院）。
Abbey of Santa Giustina,Abbey of Santa Giustina,Place,[Validation] 地点（帕多瓦修道院）。
Abbé Clément,"Clement, Abbé",Person,[Validation] 18世纪法国作家 (Denis Xavier Clément 或 chanoine de Saint-Louis du Louvre)。
Abbé Richard,"Richard, Abb谷",Person,"[OCR Fix] ""Abb谷"" -> ""Abbé""。Jérôme Richard，法国旅行作家 (Description de l'Italie)。"
Abel Desjardins,Abel Desjardins,Person,[Validation] 雕塑家/灰泥艺术家。
"Abel-François Poisson, marquis de Marigny","Abel-Fran?ois Poisson de Vandières | Marigny, Marquis de | Vandi豕res, Marquis de...",Person,"[OCR Fix] ""Vandi豕res"" -> ""Vandières""。Marigny侯爵。 | [OCR Fix] 修正 ""?"" 为 ""ç""。庞巴杜夫人的弟弟，艺术总监。 | 蓬帕杜夫人的弟弟，法国皇家建筑总监。"
Abigail,Abigail,Person,[Validation] 圣经人物。
Abigail giving Presents to David,Abigail giving Presents to David,Work,[Validation] 画作主题。
Abraham Brueghel,"Abraham Brueghel | Breughel, Abram",Person,[Disambiguation] 佛兰芒静物画家。 | [Validation] 佛兰芒画家。
Abraham Hume,"Hume, A.",Person,[Reconstruction] 收藏家/鉴赏家。
Abraham Nicolas Amelot de la Houssaye,"Abraham Nicolas Amelot de la Houssaye | Amelot de la Houssaye, A. N.",Person,[Reconstruction] 名字倒装复原。 | [Validation] 历史学家。
Abruzzo,Abruzzo,Place,[Validation] 意大利大区。
Academy of Fine Arts of Parma,"Parma, Academy",Organization,[Category Fix] 帕尔马美术学院。
Académie Française,Académie Fran?aise,Organization,"[OCR Fix] 修正 ""?"" 为 ""ç""。法兰西学术院。"
Accademia Albrizziana,Accademia Albrizziana | Accbremia Albrizziana,Organization,"[OCR Fix] 修正 ""Accbremia"" 为 ""Accademia""。同 Row 23。 | [Validation] 威尼斯文学学会 (Albrizzi)。"
Accademia Carrara,Accademia Carrara,Place/Organization,[Validation] 贝加莫的美术馆/学院。
Accademia degli Umoristi,Accademia degli Umoristi | Umoristi,Group,[Validation] 罗马文学学会。 | 罗马文学学院。
Accademia dei Cacadubbi,Accademia dei Cacadubbi,Organization,[Validation] 戏谑性学会 (Humorous Academy)。
Accademia dei Concordi (Rovigo),Accademia dei Concordi di Rovigo,Organization,[Validation] 罗维戈的学会。
Accademia dei Lincei,Accademia dei Lincei | Lincean Academy,Organization,[Category Fix] 原文误标为 Place。 | [Validation] 猞猁之眼国家科学院。
Accademia dell'Arcadia,"Arcadia, Society of | Society of Arcadia",Group,[Category Fix] 阿卡迪亚学院。 | [Disambiguation] 阿卡迪亚学院。
Accademia delle Arti del Disegno,Accademia del Disegno,Organization,[Disambiguation] 佛罗伦萨迪亚诺学院。
Accademia di Belle Arti di Brera,Brera Academy,Organization,[Validation] 布雷拉美术学院。
Accademia di Belle Arti di Firenze,Accademia di Firenze,Organization,[Disambiguation] 佛罗伦萨美术学院。
Accademia di Belle Arti di Parma,Academy at Parma,Organization,[Disambiguation] 帕尔马美术学院。
Accademia di Belle Arti di Venezia,Accademia di Belle Arti di Venezia,Organization,[Validation] 威尼斯美术学院。
Accademia di San Luca,Accademia di San Luca,Organization,[Validation] 罗马圣路卡学院。
Accademia di San Luca / Académie Royale,Accademia di Pittura e Scultura,Organization,[Context] 可能是指罗马圣路卡学院或巴黎皇家绘画雕塑学院（通用名）。
Achille Bosisio,Achille Bosisio,Person,[Validation] 威尼斯历史作家。
Achille Neri,Achille Neri,Person,[Validation] 人物。
Adam von Bartsch,Adam Bartsch,Person,[Full Name] 奥地利学者/版画家。
