Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Girolamo Forabosco,Girolamo Forabosco,Person,[Validation] 威尼斯/帕多瓦画家。
Girolamo Francesco Maria Mazzola,Parmigianino,Person,[Disambiguation] 帕尔米贾尼诺。
Girolamo Frescobaldi,Girolamo Frescobaldi,Person,[Validation] 巴洛克作曲家。
Girolamo Manfrin,Girolamo Manfrin,Person,[Validation] 威尼斯烟草商/收藏家。
Girolamo Muziano,Girolamo Muziano,Person,[Validation] 风格主义画家。
Girolamo Rainaldi,Girolamo Rainaldi,Person,[Validation] 罗马建筑师。
Girolamo Teti,Girolamo Teti,Person,[Validation] 耶稣会作家 (Aedes Barberinae)。
Girolamo Zanetti,Girolamo Zanetti,Person,[Validation] 威尼斯历史学家。
Girolamo de Rinaldis,Girolamo de Rinaldis,Person,[Validation] 艺术写作者。
Girolamo di Giovanni di Camerino,Girolamo di Giovanni,Person,[Validation] 15世纪画家。
Giuho Pisano,Giulio Pisano,Person,"[OCR Fix] ""Giuho"" -> ""Giulio"" (可能是现代学者 Giulio Pisano)。"
Giuliano Briganti,Giuliano Briganti,Person,[Validation] 现代艺术史学家。
Giuliano Colonna di Stigliano,Giuliano Colonna (Prince of Stigliano),Person,[Validation] 贵族。
Giuliano Finelli,Giuliano Finelli,Person,[Validation] 巴洛克雕塑家 (Bernini 助手)。
Giuliano Giampiccoli,Giuliano Giampiccoli,Person,[Validation] 威尼斯版画家。
Giuliano della Rovere,Julius II,Person,[Disambiguation] 教皇尤利乌斯二世。
Giulio Cantalamessa,Giulio Cantalamessa,Person,[Validation] 艺术史学家/博物馆馆长。
Giulio Cesare Maffci,Giulio Cesare Maffei,Person,"[OCR Fix] ""Maffci"" -> ""Maffei"" (17世纪作家)。"
Giulio Lorenzetti,Giulio Lorenzetti,Person,[Validation] 威尼斯艺术史学家。
Giulio Mancini,Giulio Mancini,Person,[Validation] 医生/艺术鉴赏家 (Considerazioni sulla pittura)。
Giulio Natali,Giulio Natali,Person,[Validation] 20世纪文学史学家 (Il Settecento)。
Giulio Parigi,Giulio Parigi,Person,[Validation] 佛罗伦萨建筑师/舞台设计师。
Giulio Romano,Giulio Romano,Person,[Validation] 拉斐尔学生/风格主义大师。
Giulio Sacchetti,Giulio Sacchetti,Person,[Validation] 枢机主教。
Giulio Savelli,Giulio Savelli,Person,[Validation] 枢机主教。
Giulio della Greca,Giulio della Greca,Person,[Validation] 可能是版画家/画家 (较小众)。
Giuseppe Agnello,Giuseppe Agnello,Person,[Validation] 历史学家/考古学家 (西西里)。
Giuseppe Angeli,Giuseppe Angeli,Person,[Validation] 威尼斯画家 (Piazzetta 学生)。
Giuseppe Angelo Maria Carron di San Tommaso marchese di Aigueblanche,Giuseppe Angelo Maria Carron (Marquis of Aigueblanche),Person,[Validation] 萨伏伊外交官。
Giuseppe Antonio Lotti,Giuseppe Antonio Lotti,Person,[Validation] 18世纪佛罗伦萨人物? 需区分 Antonio Lotti (作曲家)。
Giuseppe Antonio Patrignani,Giuseppe Antonio Patrignani,Person,[Validation] 耶稣会作家。
Giuseppe Arighini,Giuseppe Arighini,Person,[Validation] 人物。
Giuseppe Bartolomeo Chiari,Giuseppe Bartolomeo Chiari,Person,[Validation] 罗马画家。
Giuseppe Bencivenni Pelli,Giuseppe Pelli Bencivenni,Person,[Standardization] 乌菲兹美术馆馆长/作家。
Giuseppe Bianchini,Giuseppe Bianchini,Person,[Validation] 奥拉托利会学者。
Giuseppe Campori,Giuseppe Campori,Person,[Validation] 摩德纳艺术史学家/收藏家。
Giuseppe Ceccarelli,Giuseppe Ceccarelli (Ceccarius),Person,[Validation] 罗马学家 (Romanist)。
Giuseppe Cesari,Giuseppe Cesari (Cavaliere d'Arpino),Person,[Validation] 罗马画家。
Giuseppe Cugnoni,Giuseppe Cugnoni,Person,[Validation] 19世纪图书馆员 (Chigi Archive)。
Giuseppe Delogu,Giuseppe Delogu,Person,[Validation] 艺术史学家。
Giuseppe Felici,Giuseppe Felici,Person,[Validation] 历史学家 (Villa Ludovisi)。
Giuseppe Fochessati,Giuseppe Fochessati,Person,[Validation] 曼图亚艺术写作者 (Gonzaga)。
Giuseppe Fossati,Giuseppe Fossati,Person,[Validation] 建筑师/档案学家。
Giuseppe Gabrieli,Giuseppe Gabrieli,Person,[Validation] 图书馆学家 (Accademia dei Lincei)。
Giuseppe Gambari,Giuseppe Gambari,Person,[Validation] 博洛尼亚版画家。
Giuseppe Gennari,Giuseppe Gennari,Person,[Validation] 帕多瓦历史学家。
Giuseppe Ghezzi,Giuseppe Ghezzi,Person,[Validation] 罗马画家/秘书 (Accademia di San Luca)。
Giuseppe Guido Ferrero,Giuseppe Guido Ferrero,Person,[Validation] 文学史学家。
Giuseppe Lorenzo Moncallero,Giuseppe Lorenzo Moncallero,Person,[Validation] 历史学家。
Giuseppe Manini,Giuseppe Manini,Person,[Validation] 克雷莫纳作家/建筑师。
Giuseppe Marc'Antonio Baretti,Giuseppe Marc'Antonio Baretti,Person,[Validation] 著名文学评论家。
Giuseppe Maria Crespi,Giuseppe Maria Crespi (Lo Spagnuolo),Person,[Validation] 博洛尼亚画家。
Giuseppe Maria Martelli,Giuseppe Maria Martelli,Person,[Validation] 佛罗伦萨大主教。
Giuseppe Maria Mazza,Giuseppe Maria Mazza,Person,[Validation] 博洛尼亚雕塑家。
Giuseppe Maria Sasso,Giovanni Maria Sasso,Person,[Correction] 威尼斯画商 Sasso 通常名为 Giovanni Maria。可能是误记。
Giuseppe Mazzotti,Giuseppe Mazzotti,Person,[Validation] 特雷维索作家 (Ville Venete)。
Giuseppe Morazzoni,Giuseppe Morazzoni,Person,[Validation] 艺术史学家 (Ceramics/Furniture)。
Giuseppe Nicoletti,Giuseppe Nicoletti,Person,[Validation] 学者。
Giuseppe Nogari,Giuseppe Nogari,Person,[Validation] 威尼斯画家 (Character heads)。
Giuseppe Ortolani,Giuseppe Ortolani,Person,[Validation] 威尼斯文学史学家。
Giuseppe Pinacci,Giuseppe Pinacci,Person,[Validation] 17世纪画家。
Giuseppe Richa,Giuseppe Richa,Person,[Validation] 耶稣会士/佛罗伦萨教堂史学家。
Giuseppe Sardi,Giuseppe Sardi,Person,[Validation] 威尼斯巴洛克建筑师。
Giuseppe Subleyras,Pierre Subleyras,Person,[Correction] Subleyras 是 Pierre。Giuseppe 可能是误记或指其子 Luigi? 倾向于 Pierre。
Giuseppe Tassini,Giuseppe Tassini,Person,[Validation] 威尼斯历史学家。
Giuseppe Toninotto,Giuseppe Toninotto,Person,[Validation] 18世纪威尼斯出版商?。
Giuseppe Urbani de Gheltof,Giuseppe Urbani de Gheltof,Person,[Validation] 威尼斯历史学家。
Giuseppe Valeriano,Giuseppe Valeriano,Person,[Validation] 耶稣会建筑师/画家。
Giuseppe Valeriano Vannetti,Giuseppe Valeriano Vannetti,Person,[Validation] 罗韦雷托建筑师/学者。
Giuseppe Valletta,Giuseppe Valletta,Person,[Validation] 那不勒斯哲学家/收藏家。
Giuseppe Zais,Giuseppe Zais,Person,[Validation] 威尼斯风景画家。
Giuseppe Zocchi,Giuseppe Zocchi,Person,[Validation] 佛罗伦萨画家 (Vedute)。
Giuseppe de Rossi,Giuseppe de Rossi,Person,[Validation] 罗马版画家/出版商。
Giustiniana Wynne Rosenberg-Orsini,Giustiniana Wynne,Person,[Validation] 威尼斯女作家。
Giustiniani family,Giustiniani (Family),Group,[Validation] 贵族家族。
"Giustiniani, Abbate Michele",Michele Giustiniani,Person,[Reconstruction] 历史学家/作家。
"Giustiniani, Andrea",Andrea Giustiniani,Person,[Validation] 贵族 (Prince of Bassano)。
"Giustiniani, Benedetto",Benedetto Giustiniani,Person,[Validation] 枢机主教 (Caravaggio 赞助人)。
"Giustiniani, Marchese Vincenzo",Vincenzo Giustiniani,Person,[Category Fix] 原文误标为 Man-Made Object。著名收藏家/侯爵。
Giustino Valmarana,Giustino Valmarana,Person,[Validation] 维琴察贵族 (Tiepolo 赞助人)。
Glasgow,Glasgow,Place,[Validation] 城市。
Gloria Chiarini de Anna,Gloria Chiarini de Anna,Person,[Validation] 现代学者。
Glorification of the Pisani family,Glorification of the Pisani Family,Work,[Validation] 提埃坡罗壁画 (Villa Pisani)。
Glory of Venice,Glory of Venice,Concept/Work,[Validation] 展览标题或概念 (Gory of Venice: Art in the Eighteenth Century)。
"Gloucester, William Henry, 1st Duke of","William Henry, Duke of Gloucester and Edinburgh",Person,[Validation] 英国王子。
God creating the Angels and Parnassus with Apollo and the Muses,God creating the Angels / Parnassus,Work,[Validation] 拉斐尔签字厅壁画 (The Parnassus 和天顶画)。
Godfridus Johannes Hoogewerff,G. J. Hoogewerff,Person,[Validation] 荷兰艺术史学家。
Godolphin,Godolphin,Person/Work,[Ambiguity] 可能是 Godolphin Arabian (画作) 或 Earl of Godolphin (人)。结合 E22，可能是画作。
Goffredo Wals,Goffredo Wals,Person,[Validation] 风景画家 (Agostino Tassi 的学生)。
Goliath,Goliath,Person,[Validation] 圣经人物。
"Gomer Berry, 1st Viscount Kemsley","Gomer Berry, 1st Viscount Kemsley",Person,[Validation] 英国报业大亨/收藏家。
Gondi palace,Palazzo Gondi,Place,[Validation] 佛罗伦萨宫殿。
Gonzaga,Gonzaga (Family),Group,[Validation] 曼图亚统治家族。
"Gonzalez, Tirso",Tirso González de Santalla,Person,[Reconstruction] 耶稣会总会长。
Gordon Albion,Gordon Albion,Person,[Validation] 历史学家。
"Gori, A. F.",Antonio Francesco Gori,Person,[Reconstruction] 佛罗伦萨古物学家 (Museum Florentinum)。
Goschwin Nickel,Goschwin Nickel,Person,[Validation] 耶稣会总会长。
"Gozadini, Bonisezio",Bonisezio Gozzadini,Person,[Validation] 博洛尼亚历史人物。
"Gozzadini, Cardinal",Ulisse Gozzadini,Person,[Disambiguation] 枢机主教。
Gran Tempio Antico,Gran Tempio Antico,Work,[Validation] 可能是画作标题 (The Great Ancient Temple) 或描述。
