Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
"Artistic temperament', development of concept",Artistic temperament (Concept),Concept,[Validation] 艺术理论概念。
Baciccio',Giovanni Battista Gaulli,Person,"[Disambiguation] ""Baciccio"" 是 Giovanni Battista Gaulli 的昵称。"
Monsù Desiderio',Monsù Desiderio (François de Nomé / Didier Barra),Person,[Disambiguation] 17世纪那不勒斯画派化名，主要指 François de Nomé。
Rosichino',Francesco Rosichino,Person,[Disambiguation] 17世纪罗马礼仪官 (Master of Ceremonies)。
Status-seeking' by artists in 17th-century Rome,Status-seeking (Concept),Concept,[Validation] 社会学/艺术史概念。
A Dance to the Music of Time,A Dance to the Music of Time (Poussin),Work,[Validation] 普桑画作。
A Donor Presented to the Virgin,A Donor Presented to the Virgin,Work,[Validation] 画作主题/标题。
A Seaport,A Seaport,Work,[Validation] 画作标题（可能是克劳德·洛兰）。
A storm at sea,A storm at sea,Work,[Validation] 画作标题。
"A study for the Fountain of the Four Rivers, Piazza Navona, Rome",Study for the Fountain of the Four Rivers,Work,[Validation] 贝尼尼作品草图。
A. C. Sewter,Albert Charles Sewter,Person,[Full Name] 20世纪艺术史学家。
A.M. Zanetti the Elder with Marchese Gerini,A.M. Zanetti the Elder with Marchese Gerini,Work,[Category Fix] 这是一个讽刺画作品标题 (Caricature)，非单纯人名列表。
Abbey of Monte Cassino,Abbey of Monte Cassino,Place,[Validation] 地点（修道院）。
Abbey of Santa Giustina,Abbey of Santa Giustina,Place,[Validation] 地点（帕多瓦修道院）。
Abel Desjardins,Abel Desjardins,Person,[Validation] 雕塑家/灰泥艺术家。
Abel-Fran?ois Poisson de Vandières,"Abel-François Poisson, marquis de Marigny",Person,"[OCR Fix] 修正 ""?"" 为 ""ç""。庞巴杜夫人的弟弟，艺术总监。"
Abigail,Abigail,Person,[Validation] 圣经人物。
Abigail giving Presents to David,Abigail giving Presents to David,Work,[Validation] 画作主题。
Abraham Brueghel,Abraham Brueghel,Person,[Validation] 佛兰芒画家。
Abraham Nicolas Amelot de la Houssaye,Abraham Nicolas Amelot de la Houssaye,Person,[Validation] 历史学家。
Abruzzo,Abruzzo,Place,[Validation] 意大利大区。
Academy at Parma,Accademia di Belle Arti di Parma,Organization,[Disambiguation] 帕尔马美术学院。
Académie Fran?aise,Académie Française,Organization,"[OCR Fix] 修正 ""?"" 为 ""ç""。法兰西学术院。"
Accademia Albrizziana,Accademia Albrizziana,Organization,[Validation] 威尼斯文学学会 (Albrizzi)。
Accademia Carrara,Accademia Carrara,Place/Organization,[Validation] 贝加莫的美术馆/学院。
Accademia degli Umoristi,Accademia degli Umoristi,Organization,[Validation] 罗马文学学会。
Accademia dei Cacadubbi,Accademia dei Cacadubbi,Organization,[Validation] 戏谑性学会 (Humorous Academy)。
Accademia dei Concordi di Rovigo,Accademia dei Concordi (Rovigo),Organization,[Validation] 罗维戈的学会。
Accademia dei Lincei,Accademia dei Lincei,Organization,[Validation] 猞猁之眼国家科学院。
Accademia del Disegno,Accademia delle Arti del Disegno,Organization,[Disambiguation] 佛罗伦萨迪亚诺学院。
Accademia di Belle Arti di Venezia,Accademia di Belle Arti di Venezia,Organization,[Validation] 威尼斯美术学院。
Accademia di Firenze,Accademia di Belle Arti di Firenze,Organization,[Disambiguation] 佛罗伦萨美术学院。
Accademia di Pittura e Scultura,Accademia di San Luca / Académie Royale,Organization,[Context] 可能是指罗马圣路卡学院或巴黎皇家绘画雕塑学院（通用名）。
Accademia di San Luca,Accademia di San Luca,Organization,[Validation] 罗马圣路卡学院。
Accbremia Albrizziana,Accademia Albrizziana,Organization,"[OCR Fix] 修正 ""Accbremia"" 为 ""Accademia""。同 Row 23。"
Achille Bosisio,Achille Bosisio,Person,[Validation] 威尼斯历史作家。
Achille Neri,Achille Neri,Person,[Validation] 人物。
"Acqua, Cristoforo dall'",Cristoforo dall'Acqua,Person,[Reconstruction] 名字倒装复原。
Adam Bartsch,Adam von Bartsch,Person,[Full Name] 奥地利学者/版画家。
"Adda, Cardinal d'",Ferdinando d'Adda,Person,[Disambiguation] 费迪南多·达达枢机主教。
Addison,Joseph Addison,Person,[Category Fix] 误标为 Work (E22)。英国作家/政治家。
Adolf Salvatore Cavallo,Adolph S. Cavallo,Person,[Full Name] 纺织品策展人/学者。
Adolfo Venturi,Adolfo Venturi,Person,[Validation] 艺术史学家。
Adonis,Adonis,Person (Myth),[Category Fix] 误标为 Person (普通)，实为神话人物。
Adoration of the Magi,Adoration of the Magi,Work,[Validation] 绘画题材。
Adriaen van der Werff,Adriaen van der Werff,Person,[Validation] 荷兰画家。
Adriatic Sea,Adriatic Sea,Place,[Validation] 地名。
