Refined_Formal_Name,Original-QID,Second-Query_QID,Original-Refined_Category
A Scene from the Aeneid,,,Work
A.M. Zanetti the Elder with Marchese Gerini,,,Work
Abate Scarselli,,,Person
Abigail giving Presents to David,,,Work
Accademia Albrizziana,,,Organization
Accademia dei Cacadubbi,,,Organization
Accademia di San Luca / Académie Royale,,,Organization
Achille Bosisio,,,Person
Aedes Barberina ad Quirinalem,,,Work
Albergo del Moretto,,,Place
Allegory of Clemency,,,Work
Allegory of Coral fishing,,,Work
Allegory of the Education of the Crown Prince,,,Work
Almorò Pisani,,,Person
Altar Paintings (San Canciano),,,Work
Altar of Friendship,,,Work
Altar of Tranquility and Rural Life,,,Work
Altar of Wealth and Apollo,,,Work
Altarpiece for Chiesa Nuova,,,Work
Altarpiece for Santa Maria dei Cappuccini,,,Work
Altarpiece for St. Sebastian,,,Work
Altarpiece for the Augustinian Church,,,Work
Altarpieces for the Royal Chapel,,,Work
Ambrogio Mazenta,,,Person
Andromache weeping before Aeneas,,,Work
Angels carrying the Instruments of the Passion,,,Work
Annamaria Gabrielli,,,Person
Annan Gallery,,,Organization
Annibale Laparelli,,,Person
Anti-papal satire (Alexander VII),,,Work/Concept
Antichiesetta (San Marco),,,Place
Antichità di Palazzi,,,Work
Anton Francesco Farsetti,,,Person
"Antonino Maresca, Duca di Serracapriola",,,Person
Antonio Maria Visconti,,,Person
Antonio degli Effetti,,,Person
Apollo conducting Frederick Barbarossa's bride,,,Work
Apotheosis of the Pisani Family,,,Work
Archbishop of Tarsus,,Q2394645,Person
Archivio Comunale di Treviso,,,Place
Archivio Mediceo del Principato,,,Place
Archivio del Governatorato di Roma,,,Place/Organization
Archivio della Compagnia di Gesù,,,Place/Organization
Archivio di Stato di Venezia (Sezione Notarile),,,Organization
Archivio di Stato di Venezia (Stampe),,,Organization
Ariadne being woken by Love,,,Work
Art patronage in 17th-century Munich,,,Concept
Arte dei Salumieri,,,Group
Artist's position in society (Concept),,,Concept
Arts Graphiques de la Cité (AGRACI),,,Organization
Augustinian Monastery Altarpiece,,,Work
Aurelio Rezzonico,,Q656690,Person
Baglioni Collection,,,Organization/Group
Barberini Chapel (Sant'Andrea della Valle),,Q1631593,Place
Barberini Library,,Q807815,Organization
Basilica of Santa Sabina,,,Place
Batteria di Cucina,,,Work
Beggar holding a Rosary,,,Work
Bell Towers for St. Peter's Basilica,,Q12512,Work
Bergamasque Community,,,Group
Bibliothèque de Montpellier,,,Place
Bishop Harold von Hocheim Investiture,,,Work
Bonfiglioli Collection,,,Organization/Group
Bonisezio Gozzadini,,,Person
Brutus killing Arruns,,,Work
Bust of Francis Bacon,,,Work
Bust of Paolo Renier,,,Work
Bust of Phocion,,,Work
Camillo Carandini,,,Person
Campagna (Countryside) / Girolamo Campagna,,,Place/Person
Capricci Copiosi di Figure,,,Work
Cardinal Mazarin in His Gallery,,,Work
Caricature of Cassiano dal Pozzo,,,Work
Carlo Baccinelli,,,Person
Carlo Camillo II Massimi,,,Person
Carlo Cordellina,,,Person
Carlo Quarismini,,,Person
Carro della Notte,,,Work
Caterina Barbarigo,,Q14942558,Person
Ceiling Frescoes (Palazzo Altieri),,,Work
