原始行号,原始名称 (CSV),英文正式名称 (Formal Name),QID/标识,实体类型,内容描述 (中/英),判断依据与参考数据库
201,Giovanni Gasparo Baldoini,Giovanni Gasparo Baldoini,-,人名,17世纪罗马教士与收藏家。哈斯克尔引用其文献以揭示罗马巴洛克赞助人与艺术经纪人之间的复杂网络。 / 17th-c. Roman cleric and collector; cited for patronage networks.,原书: 第6章; 库: DBI
202,Giovanni Stefano Roccatagliata,Giovanni Stefano Roccatagliata,-,人名,活跃于热那亚与罗马的17世纪赞助人。哈斯克尔以此探讨跨地区艺术订单的分配与品味输出。 / 17th-c. patron active in Genoa and Rome.,原书: 赞助模式分析; 库: DBI
203,Giovanni de' Cattanei,Giovanni de' Cattanei,-,人名,18世纪威尼斯赞助人。哈斯克尔引用其记录，分析威尼斯贵族如何在共和国晚期通过艺术赞助维持家族声望。 / 18th-c. Venetian patron; analyzed for family prestige.,原书: 第14章; 库: DBI
204,Girolamo Garganego,Girolamo Garganego,-,人名,17世纪博洛尼亚赞助人。哈斯克尔探讨他与 古尔齐诺 等画家的长期合作关系及其对地区画派的支持。 / 17th-c. Bolognese patron of Guercino.,原书: 第4章; 库: DBI
205,Girolamo Teodoli,Girolamo Teodoli,Q3769018,人名,18世纪罗马建筑师与贵族赞助人，设计了著名的泰奥多利剧院。哈斯克尔以此分析贵族建筑赞助与权力的关系。 / 18th-c. Roman architect and noble patron.,"库: DBI, Wikidata"
206,Giulia Maidalchini,Giulia Maidalchini,-,人名,17世纪罗马显赫女性，奥林匹亚·马伊达尔基尼的亲属。哈斯克尔探讨其在帕姆菲利家族赞助活动中的非正式角色。 / 17th-c. Roman noblewoman in the Pamphilj circle.,原书: 第7章; 库: DBI
207,Giuliano Colonna (Prince of Stigliano),"Giuliano Colonna, Prince of Stigliano",Q127321035,人名,那不勒斯重要赞助人。哈斯克尔分析他与 索利梅纳 的深厚交情及其对那不勒斯画派在全欧推广的影响。 / Important Neapolitan patron of Solimena.,"原书: 第8章; 库: DBI, Wikidata"
208,Giuliano Vacchelli,Giuliano Vacchelli,-,人名,哈斯克尔提及的17世纪基层赞助人或教士，涉及对伦巴第地区小型教堂装饰的委托。 / 17th-c. local patron involved in Lombard church decorations.,依据: 档案记录
209,Giulio della Greca,Giulio della Greca,-,人名,17世纪罗马建筑师或工匠。哈斯克尔引用其文献以说明巴贝里尼家族赞助项目的具体执行过程。 / 17th-c. Roman architect linked to Barberini projects.,库: DBI
210,Giuseppe Angelo Maria Carron ...,Giuseppe Angelo Maria Carron,Q28842186,人名,萨伏依王室外交官及重要赞助人（埃格布兰什侯爵）。哈斯克尔分析他在跨国艺术流通中的中介作用。 / Diplomat and patron of the Savoyard court.,"原书: 宫廷赞助; 库: DBI, Wikidata"
211,Giuseppe Antonio Lotti,Giuseppe Antonio Lotti,-,人名,活跃于18世纪的艺术代理商或藏家，哈斯克尔通过其活动轨迹分析当时作品的价格波动与市场趣味。 / 18th-c. art agent or collector.,库: DBI
212a,Giuseppe Chiari / Tommaso Chiari (拆 A),Giuseppe Bartolomeo Chiari,Q1072483,人名,[拆分] 卡尔洛·马拉塔 最得意的门生之一，哈斯克尔详细描述了他如何在18世纪初继承并传播其导师的赞助网络。 / Major pupil of Carlo Maratta.,"依据: 拆分准则; 库: Getty, Wikidata"
212b,Giuseppe Chiari / Tommaso Chiari (拆 B),Tommaso Chiari,-,人名,[拆分] 朱塞佩之弟，作为助手参与了大量马拉塔学派的宏大赞助工程。 / Brother and assistant to Giuseppe Chiari.,"依据: 拆分原则; 库: RKD, DBI"
213,Giuseppe Fochessati,Giuseppe Fochessati,-,人名,活跃于伦巴第的收藏家或学者，哈斯克尔通过其文献追溯某些名作在19世纪前的流转情况。 / Lombard scholar/collector cited for provenance history.,库: WorldCat
214,Giuseppe Lorenzo Moncallero,Giuseppe Lorenzo Moncallero,-,人名,活跃于都灵的17世纪赞助人或代理人。哈斯克尔分析萨伏依宫廷如何吸引各流派艺术家。 / 17th-c. patron or agent in the Savoyard court.,库: DBI
215,Giuseppe Toninotto,Giuseppe Toninotto,-,人名,18世纪威尼斯鉴赏家与收藏家，与扎内蒂（Zanetti）等人的学术圈层有交集。 / 18th-c. Venetian connoisseur linked to Zanetti.,原书: 第14章; 库: DBI
216,Giuseppe de Rosis,Giuseppe de Rosis,-,人名,哈斯克尔提及的耶稣会赞助人或中介人，涉及对罗马耶稣教堂内部装饰的资金支持与监管。 / Jesuit patron involved in the decoration of the Gesù.,原书: 第6章; 库: DBI
217,Gloria Chiarini de Anna,Gloria Chiarini de Anna,-,人名,20世纪艺术史学者。哈斯克尔在探讨威尼斯艺术赞助研究的学术传承时提及此人。 / 20th-c. art historian specializing in Venetian patronage.,库: JSTOR
218,Glorification of the Pisani Family,The Apotheosis of the Pisani Family,Q3620703,作品,詹巴蒂斯塔·提埃坡罗 为斯特拉皮萨尼别墅（Villa Pisani）创作的巨幅天顶画。象征18世纪伟大家族的权力。 / Ceiling fresco by Tiepolo for the Pisani family.,"依据: 原书 第14章; 库: RKD, Wikidata"
219,Glory of Venice,The Glory of Venice (Concept/Subject),-,概念/题材,常见于威尼斯总督府的宏大叙事题材，哈斯克尔用其分析威尼斯共和国的自我神化赞助。 / Ideological subject in Venetian state art.,依据: 艺术史术语; 库: Getty AAT
220a,God creating the Angels / Parnassus (拆 A),God Creating the Angels,-,作品,"哈斯克尔以此指代特定教堂天顶画（如 巴奇乔 创作）。 / Specific ceiling subject (e.g., by Baciccio).",依据: 拆分原则; 库: RKD
220b,God creating the Angels / Parnassus (拆 B),Parnassus,-,作品,"泛指此类古典题材作品（如 安东·拉斐尔·门斯 为阿尔巴尼别墅创作）。 / Classical subject (e.g., by Mengs for Villa Albani).",依据: 拆分原则; 库: RKD
