原始行号,原始名称 (CSV),英文正式名称 (Formal Name),QID/标识,实体类型,内容描述 (中/英),判断依据与参考数据库
301,Mattia Rosichino,Mattia Rosichino,-,人名,17世纪活跃于罗马的艺术代理人。哈斯克尔通过其信件揭示了当时赞助人如何远程干预画家的创作细节。 / 17th-c. art agent in Rome; cited for artist-patron dynamics.,原书: 第6章; 库: DBI
302,Medici Villa of Poggio a Caiano,Villa di Poggio a Caiano,Q1051515,地点,美第奇家族在托斯卡纳最著名的别墅。哈斯克尔以此分析梅第奇晚期（如科西莫三世）的装饰性赞助与象征表达。 / Famous Medici villa; analyzed for late-Medici decorative patronage.,原书: 第8章; 库: Wikidata
303,Mercury awaking Aeneas,Mercury waking Aeneas from Sleep,-,作品,弗朗切斯科·索利梅纳 (Solimena) 为马切拉塔 Buonaccorsi 宫“埃涅阿斯画廊”创作。哈斯克尔以此探讨省级贵族的英雄主义叙事。 / By Solimena for Palazzo Buonaccorsi.,原书: p.231; 库: RKD
304,Michele Lauretano,Michele Lauretano,-,人名,16世纪末、17世纪初耶稣会教育家。哈斯克尔以此讨论耶稣会早期通过教育系统进行的艺术准则输出。 / Jesuit scholar; linked to Jesuit art standards.,原书: 宗教赞助; 库: DBI
305,Mina Pajes Merriman,Mina Pajes Merriman,-,人名,20世纪艺术史学家。哈斯克尔引用其对 吉亚科莫·切鲁蒂 (Ceruti) 及其现实主义赞助的研究。 / 20th-c. art historian cited for Ceruti studies.,"库: JSTOR, Google Scholar"
306,Mississippi Gallery,Mississippi Scheme (John Law),Q1427246,事件,约翰·劳的密西西比泡沫。哈斯克尔探讨这一金融危机如何打击了法国对意大利艺术的购买力。 / Financial collapse that impacted French art collecting.,原书: 第15章; 库: Wikidata
307,Modello ... Apotheosis of St Ignatius,Modello for the Apotheosis of St Ignatius,-,作品,安德烈·波佐 (Andrea Pozzo) 为耶稣教堂天顶画创作的模型。哈斯克尔以此分析大规模装饰工程的审批流程。 / Andrea Pozzo's modello for the Gesù ceiling.,原书: 第6章; 库: RKD
308,Modello ... Glory of St Aloysius Gonzaga,Modello for the Glory of St Aloysius,-,作品,可能指代 巴奇乔 (Baciccio) 或 波佐 创作的特定方案。哈斯克尔讨论耶稣会圣徒图像志的建立。 / Jesuit iconographic modello by Baciccio or Pozzo.,原书: 第6章; 库: RKD
309,Mola painting ... Pope Alexander VII,Mola painting Alexander VII,-,作品,皮埃尔·弗朗切斯科·莫拉 (Mola) 为教皇亚历山大七世画肖像的情景。哈斯克尔以此探讨艺术家在教皇宫廷的生存状态。 / P.F. Mola painting the Pope; used for court life analysis.,原书: p.124; 库: RKD
310,Monsieur de Saint-Sauveur,M. de Saint-Sauveur,-,人名,18世纪法国外交官或中介，活跃于威尼斯。哈斯克尔探讨法意艺术市场交流中的关键节点。 / 18th-c. French agent or diplomat in Venice.,依据: 赞助记录; 库: Gallica
