原始名称 (CSV),英文正式名称 (Formal Name),实体类型,判断依据与参考数据库,Description_CN,Description_EN,Matched_QID,Matched_Label,Matched_Desc,Match_Score,Match_Method
A Scene from the Aeneid,The Royal Hunt of Dido and Aeneas,作品,原书 p.231; RKD; IA,索利梅纳（Solimena）为马切拉塔 Buonaccorsi 宫创作的杰作。,Solimena's canvas for Palazzo Buonaccorsi.,Q28093447,The Royal Hunt of Dido and Aeneas,"painting by Francesco Solimena made for Raimondo Buonaccorsi and conserved at the Museum of Fine Arts, Houston",0.7,Smart Match (Formal Name)
A.M. Zanetti ... with Marchese Gerini,Anton Maria Zanetti the Elder,人名,原书 第14章; DBI; BM,[拆分] 威尼斯鉴赏家，杰里尼侯爵收藏画册的学术与视觉顾问。,Venetian connoisseur and advisor to Gerini.,Q944948,Antonio Maria Zanetti,"Venetian artist, engraver, art critic, art dealer and connoisseur (1679–1767)",0.5800000000000001,Smart Match (Formal Name)
A.M. Zanetti ... with Marchese Gerini,Marchese Andrea Gerini,人名,用户指认; BM; DBI,[拆分/纠错] 佛罗伦萨赞助人（1691-1766），出版了著名的地志与艺术册籍。,Florentine patron and publisher.,,,,,Failed (Relaxed)
Abate Scarselli,Alessandro Scarselli,人名,用户指认; Wikidata; IA,[纠错] 博洛尼亚雕刻师及教士（Abate）。曾为杰里尼侯爵的画册供稿。,Bolognese engraver and priest.,Q49788414,Alessandro Scarselli,"Italian miniaturist, amanuensis and printmaker (1684-1773)",0.7,Smart Match (Formal Name)
Abigail giving Presents to David,Abigail bringing presents to David,作品,原书 第13章; RKD,卢卡·焦尔达诺为里卡迪宫创作。体现了赞助人对后期巴洛克叙事的偏爱。,By Luca Giordano for Palazzo Riccardi.,,,,,Failed (Relaxed)
Accademia Albrizziana,Accademia Albrizziana,机构,原书 第14章; DBI,18世纪威尼斯由阿尔布里齐家族支持的私人学院。,Private 18th-c. academy supported by the Albrizzi.,,,,,Failed (Relaxed)
Accademia dei Cacadubbi,Accademia dei Cacadubbi,机构,原书 (Venice); Treccani,17世纪威尼斯的一所带有讽刺色彩的文学与艺术学院。/ A satirical literary,artistic academy in 17th-c. Venice.,,,,,Failed (Relaxed)
Accademia di San Luca / Académie Royale,Accademia di San Luca,机构,原书 第7章; Wikidata,[拆分] 罗马圣路加学院，全书核心，17世纪艺术权力的中枢。,"The St. Luke Academy in Rome, epicenter of art power.",Q338523,Accademia di San Luca,Italian association of artists in Rome,0.7,Smart Match (Formal Name)
Accademia di San Luca / Académie Royale,Académie Royale,机构,原书 第7章; Gallica,[拆分] 巴黎皇家美术学院，代表了法式中央集权赞助模式。,The French Royal Academy of Painting and Sculpture.,Q337579,Académie royale de peinture et de sculpture,academy that sought to professionalize the artists working for the French court,0.5586206896551724,Smart Match (Formal Name)
Achille Bosisio,Achille Bosisio,人名,WorldCat; Google Books,19世纪意大利艺术史研究者，哈斯克尔引用其文献考证作品流向。,19th-c. researcher cited for tracing provenance.,,,,,Failed (Relaxed)
Aedes Barberina ad Quirinalem,Aedes Barberinae ad Quirinalem,著作,用户指认; Internet Archive,[纠错] 吉罗拉莫·泰蒂 (Girolamo Teti) 1642年出版的描述巴贝里尼宫收藏的著作。,Book by Girolamo Teti (1642).,,,,,Failed (Relaxed)
Albergo del Moretto,Albergo del Moretto,地点,原书 第15章; IA,位于布雷西亚的历史旅店，18世纪大游学（Grand Tour）的重要落脚点。,"Historic inn in Brescia, used by Grand Tourists.",,,,,Failed (Relaxed)
Allegory of Clemency,Allegory of Clemency,作品,原书 p.164; RKD,卡尔洛·马拉塔为教皇克雷芒十世（Altieri）创作的壁画。,Fresco by Carlo Maratta for Pope Clement X.,,,,,Failed (Relaxed)
Allegory of Coral fishing,The Discovery of Coral,作品,原书 第1章; RKD,雅各布·朱基为美第奇家族创作的寓言画，反映了赞助人对海权与珍宝的兴趣。,By Jacopo Zucchi for the Medici.,,,,,Failed (Relaxed)
Allegory of the Education of the Crown Prince,Allegory of the Education of the Prince,作品,原书 第14章; RKD,雅各布·阿米戈尼创作的寓言，反映了18世纪王室教育与艺术赞助的结合。,"By Jacopo Amigoni, royal education theme.",,,,,Failed (Relaxed)
Almorò Pisani,Almorò I Pisani,人名,原书 第14章; DBI,威尼斯显赫赞助人，圣波罗宫拥有者。,Venetian patron of the prominent Pisani family (San Polo).,,,,,Failed (Relaxed)
Altar Paintings (San Canciano),Altar of St. Peter of Alcantara,作品,原书 第11章; RKD,位于威尼斯圣坎奇亚诺教堂。哈斯克尔以此探讨地方修会的赞助。,"Altarpiece in San Canciano, Venice, for local orders.",,,,,Failed (Relaxed)
Altar of Friendship,Altar of Friendship,作品,原书 (Pisani); Google,位于皮萨尼别墅园林中，由 Giovanni Marchiori 创作。,"Sculpture by G. Marchiori at Villa Pisani, Stra.",,,,,Failed (Relaxed)
Altar of Tranquility and Rural Life,Altar of Tranquility,作品,原书 (Pisani); Google,皮萨尼别墅园林装饰，体现了对田园牧歌审美的赞助。,"Decorative work at Villa Pisani, reflecting pastoral tastes.",,,,,Failed (Relaxed)
