SN,Refined_Formal_Name (正式名),Original-QID,Original-QID 描述,Second-Query_QID,Second-Query_QID 描述,保留 QID,保留原因分析 (判定标准)
201,Moor Park,Q3862780,18世纪英国著名的帕拉第奥风格庄园，詹姆斯·索恩希尔曾在此进行装饰。,Q6908050,其他地点或描述。,Q3862780,标准：建筑特定性。 指向著名的赞助庄园本体。
202,Museo dell'Opera del Duomo,Q1200696,佛罗伦萨主教座堂博物馆，保存有大量由美第奇及教廷赞助的雕塑珍品。,Q3328407,其他博物馆记录。,Q1200696,标准：机构权威性。 指向佛罗伦萨核心艺术收藏地。
203,Niccolò Simonelli (人物),Q97072945,17世纪罗马显赫的艺术收藏家与中介（约1611-1671），曾服务于基吉家族。,Q97072934,描绘西莫内利的肖像画。,Q97072945,标准：职业角色 (P106)。 确认为重要的赞助人与鉴赏家本体。
203,Portrait of Niccolò Simonelli,Q97072945,同上。,Q97072934,描绘这位收藏家的油画，体现了当时艺术圈中介阶层的地位。,Q97072934,标准：正式作品名。 指向具体的图像记录实体。
204,Nicholas Stone (人物),Q1985010,17世纪英国著名的雕塑家与建筑师（1586-1647），查理一世的宫廷大师。,Q75956717,他设计的纪念碑或建筑作品。,Q1985010,标准：职业角色 (P106)。 确认为艺术家（执行方）本体。
204,Memorial to Nicholas Stone,Q1985010,同上。,Q75956717,记录其艺术成就的实物或碑铭。,Q75956717,标准：实体属性 (P31)。 指向其具体的物质留存。
205,Nicholas Turner,Q110243718,现代著名的艺术史学家，大英博物馆及盖蒂博物馆前馆长，素描与赞助研究专家。,Q75874439,不同记录。,Q110243718,标准：职业领域。 指向相关领域的研究专家。
206,Norfolk,Q23109,英国诺福克郡。18世纪庄园赞助文化的核心地区（如霍顿庄园）。,Q959951,其他行政区划。,Q23109,标准：地理实体。 指向核心历史地理本体。
211,Palazzo Colonna,Q1971299,罗马最显赫的家族宫殿之一，其华丽的画廊是科隆纳家族财力与赞助的象征。,Q106044567,相关的工程记录。,Q1971299,标准：建筑本体。 确认为教皇赞助体系中的顶级私人宫殿。
212,Palazzo Farnese,Q848386,罗马法尔内塞宫，文艺复兴时期最宏伟的宫殿之一，由小桑加罗及米开朗基罗设计。,Q2560897,同名其他建筑。,Q848386,标准：建筑地位。 指向法尔内塞家族的核心赞助中心。
213,Palazzo Reale,Q3890742,凡指王宫。在赞助背景下通常指那不勒斯或都灵的皇室宫殿。,Q426339,马德里王宫。,Q3890742,标准：语境匹配。 根据数据集分布，倾向于意大利境内的王室赞助中心。
214,Palazzo Venezia,Q1123879,威尼斯宫（罗马）。教皇保罗二世委托建造，威尼斯共和国的政治与艺术中心。,Q1228270,相关记录。,Q1123879,标准：建筑本体。 确认为重要的外交与艺术交流枢纽。
215,Palazzo della Ragione,Q2517428,帕多瓦著名的理性宫。其巨大的内部空间曾受托进行大规模湿壁画装饰。,Q3361361,其他同名。,Q2517428,标准：历史重要性。 指向帕多瓦的核心公共赞助项目。
216,Pallas Athena (人物),Q37122,希腊神话智慧女神，赞助人常以其象征理智与保护。,Q3610098,相关的艺术作品。,Q37122,标准：实体类型 (P31)。 确认为题材/神话本体。
217,Pan (人物),Q132582,希腊神话题材中的牧神，常在描写田园、感官与音乐的委托件中出现。,Q80174,相关作品或不同描述。,Q132582,标准：神话本体。 确认为艺术创作的题材源头。
218,Pan and Syrinx (作品),Q55412120,普桑或鲁本斯受托创作的《潘与绪林克斯》，体现了巴洛克时期的欲望与变形主题。,Q111645387,相关的神话概念。,Q55412120,标准：具体性。 在赞助背景下指代特定的、由赞助人委托的实物画作。
219,Peter de Witte,Q315803,16-17世纪荷兰/意大利画家（1548-1628），绰号 Pietro Candido，活跃于巴伐利亚宫廷。,Q7177906,相关作品描述。,Q315803,标准：职业。 指向艺术家（执行方）本体。
220,Philadelphia Museum of Art,Q510324,费城艺术博物馆，收藏有大量重要的欧洲赞助作品。,Q114245540,其他。,Q510324,标准：机构权威性。 指向核心博物馆本体。
221,Phocion,Q175942,古希腊将领，美德的化身。普桑曾受托创作其葬礼题材名作。,Q121842052,相关作品。,Q175942,标准：题材本体。 指向历史人物实体。
222,Piazza del Duomo,Q51150,凡指教堂广场。特指米兰或佛罗伦萨的公共赞助枢纽。,Q51108,比萨的主教座堂广场。,Q51150,标准：地理代表性。 指向核心历史城市空间。
223,Pierre Clément,Q22970617,18世纪瑞士评论家与外交官，活跃于当时的巴黎与罗马赞助圈。,Q118111738,不同记录。,Q22970617,标准：身份。 指向历史背景下的文人/中介角色。
224,Pietro Antonio Novelli,Q1718478,18世纪威尼斯著名的画家与版画师，受托创作了大量宗教与装饰画。,Q2374666,相关的肖像。,Q1718478,标准：职业。 指向执行方（艺术家）本体。
225,Pietro Barbarigo,Q107565971,18世纪威尼斯枢机主教、显赫的赞助人与艺术收藏家。,Q3903674,其他家族成员。,Q107565971,标准：赞助人地位。 确认为家族中核心的资助实体。
