Refined_Formal_Name,Original-QID,Original-QID描述,Second-Query_QID,Second-Query_QID描述,Second-Query_Label,保留QID,保留原因
Francesco Bracciolini,Q3749673,17世纪意大利诗人、教皇乌尔班八世随从,Q3749671,无明确描述,Francesco Bracciolini,Q3749673,著名的《神圣智慧的叙述》作者，书中涉及文学赞助背景。
Francesco d'Este,Q941571,摩德纳公爵弗朗切斯科一世,Q16031735,无明确描述,Francesco d'Este,Q941571,贝尼尼为其创作了著名的半身像，书中重点赞助人。
Francesco Furini,Q951672,17世纪佛罗伦萨画家,Q124857380,无明确描述,Francesco Furini,Q951672,确认为著名的感伤主义风格艺术家本体。
Francesco Galli Bibiena,Q288219,17-18世纪意大利舞台建筑师、画家,Q3080927,无明确描述,Francesco Galli Bibiena,Q288219,著名的“比比耶纳家族”成员，戏剧赞助的核心。
Francesco Mochi,Q1347063,巴洛克早期雕塑家,Q3750285,无明确描述,Francesco Mochi,Q1347063,确认为雕塑家本体，创作了法尔内塞家族骑马像。
Francesco Maria del Monte,Q923307,枢机（1549–1626），卡拉瓦乔的早期赞助人,Q3750209,无明确描述,Francesco Maria del Monte,Q923307,书中涉及卡拉瓦乔崛起时最重要的赞助人。
Francesco Ruschi,Q3750577,17世纪在威尼斯活跃的画家,Q60335722,无明确描述,Francesco Ruschi,Q3750577,确认为威尼斯艺术转型期的代表画家。
Francis I,Q129730,法国国王弗朗索瓦一世,Q32234,无明确描述,Francis I,Q129730,引进意大利文艺复兴风格至法国的重要赞助者。
Frederick Augustus I,Q154215,萨克森选帝侯“强力者”奥古斯特二世,Q154215,重复项,Frederick Augustus I,Q154215,确认为 18 世纪初著名的德累斯顿赞助人。
Gaspard Dughet,Q1348398,法裔意大利风景画家，普桑的内弟,Q124857383,无明确描述,Gaspard Dughet,Q1348398,确认为风景画史上的重要艺术家（又名 Gaspard Poussin）。
Gaspare Carpegna,Q3098741,17世纪枢机及赞助人,Q123000269,无明确描述,Gaspare Carpegna,Q3098741,对应书中教廷赞助体系的权力人物。
Geneva,Q71,瑞士日内瓦,Q30612391,无明确描述,Geneva,Q71,地理位置，涉及欧洲宗教与收藏背景。
George Vertue,Q717750,英国雕刻家及古董学家,Q5545582,无明确描述,George Vertue,Q717750,其笔记是研究英国收藏意大利艺术的重要文献。
