Refined_Formal_Name,Original-QID,Original-QID 描述,Second-Query_QID,Second-Query_QID 描述,Second-Query_Label,保留 QID,保留原因
The Martyrdom of Saint Erasmus,Q59542375,尼古拉斯·普桑为圣彼得大教堂创作的画作,Q3850323,圣厄拉兹莫（圣人本体）,The Martyrdom of Saint Erasmus,Q59542375,指代书中讨论的普桑在罗马最具争议与名望的委任作品。
The Mission,Q64547309,耶稣会传教题材艺术作品,Q302490,1986年电影《教会》,The Mission,Q64547309,电影项明显错误，保留与耶稣会赞助相关的艺术条目。
The Mystic Marriage of Saint Catherine,Q27967889,柯勒乔创作的《圣凯瑟琳的神秘婚礼》,Q27699692,帕尔米贾尼诺创作的同名作品,The Mystic Marriage of Saint Catherine,Q27967889,柯勒乔的作品是巴洛克赞助人（如法尔内塞家族）极力收藏的范本。
The Plague at Ashdod,Q26692514,普桑创作的《阿什杜德的瘟疫》,Q3900760,无明确描述,The Plague at Ashdod,Q26692514,确认为普桑为赞助人设计的代表性历史画。
Presentation in the Temple,Q110803137,西蒙·武埃创作的《圣殿奉献》,Q19914235,宗教题材：圣殿奉献,The Presentation in the Temple,Q110803137,指代法意艺术交流中具体的委任杰作。
The Repentant Magdalene,Q12900942,卡诺瓦的雕塑《忏悔的抹大拉》,Q64547315,艺术题材描述,The Repentant Magdalene,Q12900942,指代特定赞助收藏中的名作。
Rest on the Flight into Egypt,Q28796949,普桑创作的《逃往埃及途中的休息》,Q135412136,艺术题材描述,The Rest on The Flight into Egypt,Q28796949,书中涉及普桑绘画赞助的核心作品。
The Resurrection,Q23929203,切科·德尔·卡拉瓦乔的作品,Q617629,复活（宗教题材）,The Resurrection,Q23929203,指代具体的画作。
The Sacrifice of Noah,Q52289557,普桑创作的《诺亚祭祀》,Q3944655,无明确描述,The Sacrifice of Noah,Q52289557,确认为普桑的历史题材杰作。
The Vision of Constantine,Q7772874,贝尼尼在圣彼得大教堂的大理石浮雕,Q110034112,无明确描述,The Vision of Constantine,Q7772874,教皇赞助史上最重要的政治-宗教联动的雕塑作品。
Thomas Baker,Q7787323,贝尼尼创作的《托马斯·贝克半身像》,Q7787321,托马斯·贝克（人物本体）,Thomas Baker,Q7787321,优先保留作为英国赞助人的历史人物本体。
Thomas Foley,Q7789693,第一代福利男爵，英国藏家,Q7789691,无明确描述,"Thomas Foley, 1st Baron Foley",Q7789693,确认为 18 世纪英国的重要艺术资助者。
Thomas Sydenham,Q559213,英国医学家（肖像画对象）,Q75269441,无明确描述,Thomas Sydenham,Q559213,著名历史人物。
Tolfa,Q243488,托尔法（教皇国明矾矿所在地）,Q37020169,无明确描述,Tolfa,Q243488,教皇国重要的经济来源，直接影响了赞助资金的丰盈。
Tommaso Mattei,Q7819076,17-18世纪罗马建筑师,Q104902519,无明确描述,Tommaso Mattei,Q7819076,确认为活跃在罗马赞助体系中的建筑师。
Tommaso Ruffo,Q2661419,18世纪枢机，伟大的藏家与赞助人,Q108446805,无明确描述,Tommaso Ruffo,Q2661419,书中《伦勃朗与鲁福》章节提及的鲁福家族成员。
Troy,Q22647,特洛伊（历史遗迹/传说地）,Q79862,艺术题材：特洛伊的毁灭,Troy,Q22647,艺术作品中常见的古典地理背景。
Turnus,Q633549,希腊神话人物图尔努斯,Q1325522,艺术作品中的图尔努斯,Turnus,Q633549,常见于巴洛克史诗题材绘画。
Venus Italica,Q4009586,卡诺瓦的雕塑《意大利维纳斯》,Q121790161,无明确描述,Venus Italica,Q4009586,确认为美第奇家族在拿破仑战争后补充收藏的杰作。
"Venus, Adonis and Cupid",Q50973367,安尼巴莱·卡拉齐创作的同名作品,Q4245125,艺术题材描述,"Venus, Adonis and Cupid",Q50973367,确认为博洛尼亚画派赞助中的名作。
Villa Medici,Q206365,罗马美第奇别墅,Q1585931,佛罗伦萨美第奇别墅,Villa Medici,Q206365,确认为罗马最重要的权力和艺术陈列场所之一。
Villa Pisani,Q514069,威尼托地区的皮萨尼别墅,Q2060988,无明确描述,Villa Pisani,Q514069,确认为 18 世纪威尼斯贵族宏大赞助的代表建筑。
Vincenzo Ruffo,Q1494084,16世纪作曲家/枢机,Q109876830,无明确描述,Vincenzo Ruffo,Q1494084,涉及鲁福家族早期的文化资助背景。
Vincenzo Viviani,Q318037,科学家、美第奇宫廷学者,Q51880264,无明确描述,Vincenzo Viviani,Q318037,涉及托斯卡纳大公对科学与人文的交叉赞助。
Voltaire,Q9068,伏尔泰,Q56062813,艺术作品中的伏尔泰,Voltaire,Q9068,启蒙运动人物，其艺术观影响了晚期赞助。
Waterloo,Q179034,滑铁卢（地理/战役）,Q32503,滑铁卢桥（艺术题材）,Waterloo,Q179034,涉及后期历史画赞助的主题。
Westphalia,Q8614,威斯特法伦地区,Q1010509,威斯特法伦和约,Westphalia,Q8614,涉及欧洲政治版图与赞助环境变迁的地理。
Wilhelm Martin,Q18222898,20世纪艺术史学家,Q107493957,无明确描述,Wilhelm Martini,Q18222898,确认为书中引用的现代学术参考文献作者。
Wilhelm Richter,Q1700818,17世纪奥地利/德国画家,Q106548550,无明确描述,Wilhelm Richter,Q1700818,确认为在欧洲宫廷间流动的艺术家。
William Bentinck,Q336463,波特兰公爵，英国政客及赞助人,Q16209023,无明确描述,William Bentinck,Q336463,确认为英国收藏史中的重要人物。
William Cavendish,Q944531,第四代德文郡公爵,Q2697139,第一代德文郡公爵,William Cavendish,Q944531,德文郡家族是英国最重要的艺术收藏与赞助世家之一。
William Henry,Q182915,格洛斯特公爵威廉·亨利王子,Q680982,无明确描述,William Henry,Q182915,英国皇室赞助人。
William Herbert,Q954928,第六代彭布罗克伯爵（藏家）,Q78454,第三代彭布罗克伯爵,William Herbert,Q954928,其在威尔顿庄园的收藏在赞助史上极具地位。
William Morice,Q8015817,17世纪英国政治家及藏家,Q18880360,无明确描述,William Morice,Q8015817,对应 17 世纪后期英国的赞助背景。
William Petty,Q3568879,阿伦德尔伯爵的代理商、著名的寻宝者,Q76035631,无明确描述,William Petty,Q3568879,书中涉及英国从意大利大量收购古董的关键中间人。
William Young Ottley,Q8020693,英国艺术商、藏家、大英博物馆策展人,Q75862110,无明确描述,William Young Ottley,Q8020693,确认为 18 世纪末 19 世纪初重要的艺术鉴赏家。
Worcestershire,Q23135,英国伍斯特郡,Q67575442,无明确描述,Worcestershire,Q23135,地理位置，涉及英国乡村别墅的赞助。
Xenophon,Q129772,古希腊史学家色诺芬,Q105064650,艺术作品中的色诺芬,Xenophon,Q129772,其著作提供了大量历史画赞助的英雄题材。
Zechariah,Q604259,先知撒迦利亚,Q41796457,艺术中的撒迦利亚,Zechariah,Q604259,常见的宗教画题材本体。
Zwinger,Q155107,德累斯顿茨温格宫,Q244827,无明确描述,Zwinger,Q155107,18世纪德意志地区最辉煌的巴洛克建筑赞助成果之一。
