SN,Refined_Formal_Name,Original-QID,Original-QID_Desc,Second-Query_QID,Second-Query_QID_Desc,Selected_QID,Reason
1,A storm at sea,Q102961376,画家 Pieter Mulier 约1690年创作。他活跃于罗马并受 Borghese 家族资助。,Q20020027,荷兰黄金时代画家 Van de Velde 的海景画。,Q102961376,判定标准：地域关联。 在意大利赞助背景下，Mulier（绰号 Tempesta）的作品更具针对性。
2,Achille Neri,Q20488569,19世纪意大利艺术史学家（1842-1925），专门研究美第奇家族赞助史。,Q122905814,意大利画家（记录较少）。,Q20488569,判定标准：职业地位。 确认为研究赞助制度及文献的关键学者。
3,Adonis,Q163920,希腊神话中象征美与重生的神祇，维纳斯的情人，巴洛克艺术核心题材。,Q147534,植物学：侧金盏花属。,Q163920,判定标准：语义匹配 (P31)。 艺术史背景下必然指代神话人物本体。
4,Aeneas (人物),Q82732,希腊/罗马神话英雄，特洛伊王子，罗马祖先。艺术委托中最常见的主题源头。,Q20000656,费德里科·巴罗奇 1598 年创作的油画。,Q82732,判定标准：实体类型 (P31)。 指向神话人物本体。
4,Aeneas' Flight from Troy,Q82732,同上,Q20000656,费德里科·巴罗奇受托为枢机主教罗韦雷创作，现藏于博尔盖塞美术馆。,Q20000656,判定标准：正式作品名。 指向具体的受托画作实体。
5,Agamemnon,Q128176,迈锡尼国王，特洛伊战争统帅。17-18世纪历史画委托的常见权力题材。,Q514891,埃斯库罗斯的悲剧文学作品。,Q128176,判定标准：题材源头。 绘画作品通常源于英雄史诗人物本体。
6,Agnolo Galli,Q127691377,15世纪佛罗伦萨商人、诗人和艺术赞助人（1447年卒）。,Q363296,画家 Agnolo Gaddi（14世纪活跃）。,Q127691377,判定标准：身份匹配。 修正了重名误指向，保留了准确的赞助人 QID。
7,Alessandro Algardi (人物),Q336798,17世纪意大利巴洛克雕塑家（1598-1654），教皇英诺森十世的主要艺术顾问。,Q26111373,圣彼得大教堂的大理石浮雕作品。,Q336798,判定标准：职业角色 (P106)。 确认为艺术契约中的执行者（画家/雕塑家）。
7,Meeting of Leo I and Attila,Q336798,同上,Q26111373,阿尔加迪受教皇英诺森十世委托创作的杰作，现位于圣彼得大教堂。,Q26111373,判定标准：实体属性 (P31)。 指向具体的浮雕艺术实体。
8,Alessandro Borgia,Q3609880,18世纪意大利总主教（1682-1764），著名的学术与艺术赞助者。,Q2197044,16世纪西班牙枢机主教。,Q3609880,判定标准：活跃年代。 与该数据集主要涵盖的巴洛克/新古典赞助时期相符。
9,Alessandro Orsini (人物),Q2832804,17世纪意大利枢机主教（1592-1626），加利略的资助人及重要收藏家。,Q11904881,贝尼尼创作的大理石半身肖像。,Q2832804,判定标准：赞助人身份。 指向契约中的委托方/收藏家。
9,Bust of Alessandro Orsini,Q2832804,同上,Q11904881,贝尼尼于1621年受托创作，是17世纪肖像雕塑的巅峰，现藏于哥本哈根。,Q11904881,判定标准：正式作品名。 指向具体的图像记录实体。
10,Alessandro Sforza,Q953878,佩萨罗领主（1409-1473），文艺复兴早期重要工程的赞助人。,Q2832818,16世纪意大利枢机主教。,Q953878,判定标准：赞助地位。 领主 Sforza 资助了皮耶罗·德拉·弗朗切斯卡等大师，契合背景。
11,Allegory of Divine Wisdom,Q111821593,皮埃特罗·达·科尔托纳 1629 年为巴贝里尼家族创作的天顶壁画。,Q26699586,基督教神学中的抽象概念。,Q111821593,判定标准：具体性。 指代特定的、由赞助人委托的大型装饰工程。
12,Altarpiece for St. Sebastian,Q65508996,提香 (Titian) 创作。赞助背景通常与圣塞巴斯蒂安兄弟会相关。,Q65508996,同上。,Q65508996,判定标准：去重确认。 QID 唯一且匹配作品。
13,Altarpiece for the Augustinian Church,Q56558993,鲁本斯 (Rubens) 1628 年受安特卫普奥古斯丁教会委托创作。,Q56558993,同上。,Q56558993,判定标准：去重确认。 QID 唯一且匹配作品。
14,Andrea Doria (人物),Q156521,热那亚海军上将（1466-1560），查理五世时期的显赫艺术赞助人。,Q108451660,皮翁博 (Piombo) 创作的肖像画。,Q156521,判定标准：赞助人本体。 确认为赞助行为的发起者。
14,Portrait of Andrea Doria,Q156521,同上,Q108451660,塞巴斯蒂亚诺·德·皮翁博于1526年受托创作，现藏于多利亚·潘菲利美术馆。,Q108451660,判定标准：正式作品名。 确认为肖像画实物实体。
15,Andrea Tron,Q110224729,18世纪威尼斯政治家与赞助人（1712-1785），圣马可检察官。,Q110352115,描绘其肖像的油画作品。,Q110224729,判定标准：职业 (P106)。 指向政治家/赞助人本体。
16,Andrew Fountaine,Q4756994,18世纪英国著名的收藏家与业余艺术家（1676-1753），活跃于大旅行时期。,Q75244499,威廉·霍加斯创作的肖像画。,Q4756994,判定标准：收藏家身份。 研究其在大旅行期间对欧洲艺术的赞助与收购。
17,Angel with the Superscription,Q15181138,贝尼尼为天使桥创作的雕塑，由教皇克莱蒙九世委托。,Q29026912,描述见上。,Q15181138,判定标准：首选条目。 Q15181138 包含更完整的委托历史。
18,Angelo Crespi,Q3616942,现代记者/评论家。,Q114122885,18世纪博洛尼亚参赞，与当地艺术赞助有文献关联。,Q114122885,判定标准：年代契合。 与 18 世纪的赞助背景吻合。
19,Antenor,Q571969,希腊神话人物。在16-17世纪神话绘画委托中常作为英雄先祖出现。,Q745125,古希腊雕塑家（约公元前 5 世纪）。,Q571969,判定标准：题材属性。 艺术背景下多作为绘画题材的主人公。
20,Anthony Blunt,Q508392,20世纪艺术史学家（1907-1983），法式赞助研究专家。,Q75639217,间谍/历史人物描述。,Q508392,判定标准：职业领域。 指向研究赞助史的关键学者。
21,Antonio Battistella,Q61472533,19世纪意大利历史学家，研究领主制的赞助与统治。,Q599831,演员。,Q61472533,判定标准：学科关联。 与艺术研究相关。
22,Antonio Cappello,Q15731838,18世纪威尼斯大使，活跃于当时的艺术与政治赞助圈。,Q16527426,16世纪威尼斯官员。,Q15731838,判定标准：活跃年代。 契合 18 世纪赞助背景。
23,Antonio Lombardo,Q602863,15-16世纪威尼斯雕塑家（1458-1516），服务于美第奇和埃斯特家族。,Q30611830,相关作品描述。,Q602863,判定标准：职业。 指向艺术家本体。
