Index,Row ID,主体 (Subject),谓词 (Predicate),客体 (Object),状态 (Status),依据 (Source),核验逻辑 (Evidence_Logic),_source_file
1,1,Accademia Albrizziana,is_located_in,Venice,Confirmed,Page 334,[地理级联]: 确定学术机构驻地。,01-A 深度解析全量结果表 (1-100行).md
10,9,Accademia di S. Luca,had_power_of,Taxation,Confirmed,Page 17,[WACV]: 记录学院在罗马艺术市场中的行政权力。,01-A 深度解析全量结果表 (1-100行).md
100,123,"Arpino, Cavaliere d'",has_identity,"Cesari, Giuseppe",Confirmed,Page 27,[身份固化]: A 部件第 100 条知识锚点。补全手法主义晚期领袖全名。,01-A 深度解析全量结果表 (1-100行).md
11,10,"Acqua, Cristoforo dall'",has_role_of,Artist,Confirmed,Page 327,[身份固化]: 识别 18 世纪威尼斯版画家。,01-A 深度解析全量结果表 (1-100行).md
12,11,"Adam, James",has_role_of,Architect,Confirmed,Page 302,[身份固化]: 补全英国新古典主义建筑师。,01-A 深度解析全量结果表 (1-100行).md
13,11,"Adam, James",lived_in,Italy,Confirmed,Page 310,[地理映射]: 记录其在大旅行期间的研究驻地。,01-A 深度解析全量结果表 (1-100行).md
14,12,"Adam, Robert",has_role_of,Architect,Confirmed,Page 301,[身份固化]: 映射亚当兄弟核心成员。,01-A 深度解析全量结果表 (1-100行).md
15,13,"Adam, Robert",has_social_link,"Albrizzi, Giambattista",Confirmed,Page 336,[WACV]: 记录跨国学术交流网络。,01-A 深度解析全量结果表 (1-100行).md
16,15,"Adami, Luigi",has_property,Portrait collection,Confirmed,Page 158,[SENP 剥离]: 映射其收藏的名人肖像集合。,01-A 深度解析全量结果表 (1-100行).md
17,16,"Adamo, Giovanni",has_role_of,Artist,Confirmed,Page 10,[身份固化]: 识别早期绘画史记录中的画家。,01-A 深度解析全量结果表 (1-100行).md
18,17,"Adda, Ferdinando d'",has_role_of,Cardinal,Confirmed,Page 166n,[身份固化]: 补全 17 世纪末教廷枢机全名。,01-A 深度解析全量结果表 (1-100行).md
19,18,"Agucchi, Giovanni Battista",has_role_of,Theorist and Advisor,Confirmed,Page 28,[身份固化]: 识别卡拉奇画派重要的品味引导者。,01-A 深度解析全量结果表 (1-100行).md
2,1,Venice,is_located_in,Italy,Confirmed,Cascade,[地理级联]: 城市溯源至国家。,01-A 深度解析全量结果表 (1-100行).md
