Index_Entry,Formal_Full_Name,Normalization_Category
"Artistic temperament', development of concept",,Work
Rosichino',,Person
'Status-seeking' by artists in 17th-century Rome,,Work
Accademia di Pittura e Scultura,,Place
"Adda, Cardinal d'",,Person
"Aix-la-Chapelle, Peace of",,Work
"Albergati-Capacelli, Francesco",,Place
"Albrizzi, Almor¡§¡ã",,Person
Alticchiero (Querini villa),,Place (Reclassified)
"Altieri, Don Gasparo",,Person
"Amelot de la Houssaye, A. N.",,Person
"Anne of Austria, Regent of France",,Place
"Anne, Queen of England",,Person
Anti-papal satire in reign of Alexander VII,,Work
"Antonazzi, Antonio Maria",,Person
"Arcadia, Society of",,Place
"Armanni, G. A.",,Person
"Arpino, Cavaliere d'",,Person
"Artist's position in society, Andrea Memmo on",,Work
"Artists, status of in 17th-century Rome",,Work
"Augustus II of Poland (Frederick Augustus I, Elector of Saxony)",,Person
Baglioni collection,,Work
"Bagnara, Duchess of",,Person
"Baldoini, Giovanni Gasparo",,Person
"Barbarigo, Caterina",,Person
"Barberini, Cardinal Francesco (nephew to Urban VIII)",,Place
"Barberini, Monsignor Francesco (uncle to Urban VIII)",,Place
"Bassanino, Virgilio",,Person
"Bedford, John, 4th Duke of",,Person
"Bentivoglio, Ippotilo",,Person
"Bermis, Cardinal de",,Person
"Berreguete, Pedro",,Person
"Bianconi, G. L.",,Person
"Biffi, Giambattista",,Person
"Boccage, Mme de",,Person
Bombelli Sebastiano,,Person
"Boncampagni, Ugo (Pope Gregory XIII)",,Person
Bonfiglioli collection,,Work
"Boscovich, P.",,Person
"Bracciano, Duke of",,Person
"Bracciano, Paolo Giordano I Orsini, Duke of",,Person
"Bracciano, Paolo Giordona II Orsini, Duke of",,Person
"Breughel, Abram",,Person
"Breval, John",,Person
"Brugiori, Domenico",,Person
"Buckingham, Charles Villiers, Duke of",,Person
"Buckingham, John Sheffield, Duke of",,Person
"Cadani, Stefano",,Person
"Camerino, Giovanni Angelo da",,Person
"Canal, Gerolamo",,Person
"Canale, Procuratore",,Person
"Caprara, Marshal",,Person
"Caraboli, Giacomo",,Person
"Carandini, Count Camillo",,Person
"Carandini, Marchesa Elisa",,Person (Reclassified)
"Carlisle, Earl of",,Person
"Carlone, Gianandrea",,Person
"Castro, First and Second Wars of",,Work
"Castro, Jacomo di",,Person
Catherine the Great of Russia,,Person
"Cattaneo, Giovanni de",,Person
"Celle, Georg Wilhelm Duke of",,Person
"Chandos, Grey Brydges, 5th Lord",,Person
"Chandos, James Brydges, 1st Duke of",,Person
"Chi soffre, speri",,Person
"Chiari, Giuseppe and Tommaso",,Person
"Chigi, Agostino 'il Magnifico'",,Person
"Christina, Queen of Sweden",,Person
Churches of religious orders,,Work
Cibo palace,,Place (Reclassified)
"Cimaroli, Giovan Battista",,Person
"Citt¨¤ di Castello, Matteo da",,Person
"Clemens August, Archbishop-Elector of Cologne",,Person (Reclassified)
"Clostermann, John",,Person
"Colonna, Marc'Antonio",,Person
"Concina, Padre Daniele",,Person
"Conti, Michaelangelo (Pope Innocent XIII)",,Person
Corner family,,Place
"Cortese, Giacomo and Guglielmo",,Person
"Courtois, Jacques and Guillaume",,Person
"Crequi, Duc de",,Person
"Crescenzi, Pietro Paolo",,Person
"Critics, Roman",,Person
"Croissy, M. de",,Person
"Curli, Girolamo",,Person
Customs duty on pictures,,Work
"Devonshire, Duke of",,Person
"Dolfin, Daniele (Archbishop of Udine)",,Work
"Dolfin, Daniele III",,Person
"Douglas, Hamilton, Marquis of",,Person
"Dubois, Ambrose",,Person
Dutch artists,,Place
"Duyvelant, Jacques",,Person
"Effetti, Antonio degli",,Person
"Emo, Procurator",,Person
English patronage,,Work
English tourists in Italy,,Work
"Este, Azzo, Marchese d'",,Person (Reclassified)
"Estr¨¦es, Duc d'",,Person
"Exeter, 5th Lord",,Person
Fantasy and reason,,Work
"Farnese, Odoardo, Duke of Parma",,Person
"Farnese, Ranuccio II, Duke of Parma",,Person
"Fedini, Domenico",,Person
"Ferrerio, Andrea",,Person
Flemish artists in Rome,,Place
"Fontana, Conte Francesco",,Place
Foscarini family,,Place
"Fratta, D. M.",,Person
"Frederick Augustus I, Elector of Saxony",,Person
"Frederick Augustus II, Elector of Saxony",,Person
French hostility to Italian art in the 17th century,,Work
French patronage,,Work
"Furnaletto, Lodovico",,Person
"Gabburri, Francesco",,Place
"Gabrieli, Lodovico",,Person
"Garganego, Girolamo",,Person
Gazzeta Veneta,,Work
"George I, King of England",,Person
"George III, King of England",,Person
German patronage,,Work
"German princes, taste in art",,Person
"Ghibbesio, Jacopo",,Person
Giovanelli collection,,Work
"Giustiniani, Abbate Michele",,Person
"Gloucester, William Henry, 1st Duke of",,Person
"Gozadini, Bonisezio",,Person
Grassi collection,,Work
"Greiffenklau, Karl Philip von",,Person
"Grill, Angelica",,Person
"Grimani, Doge",,Person
"Gruppello, Gabriel",,Person
Gustavus III of Sweden,,Person
Hapsburg collections from Prague,,Work
Hapsburg patronage of Venetian artists,,Work
"Helmbrecker, Theodor",,Person
"Henrietta Maria, Queen of England",,Person
Indecency and the erotic,,Work
Indecency in art,,Work
James III of England,,Person
Johann Georg III of Saxony,,Person
"Johann Wilhelm, Elector Palatinate",,Person
"John Sobieski, King of Poland",,Person
"La Vrilli¨¨re, Louis Ph¨¦lipeaux de",,Person
Labia collection,,Work
"Landscapes, varying reactions to",,Person
"LeBlon, Jakob Christoffel",,Person
"Leopold I, Grand Duke of Tuscany",,Person
"Leopold Wilhelm, Archduke",,Work
"Liechtenstein, Prince Wenzel of",,Person
"Lodoli, Padre Carlo",,Person
"Longhi, Martino, the Elder",,Person
"Lorca, Bernardino",,Person
"Lorraine, Duke of",,Person
"Louisa Ulrika, Queen of Sweden",,Person
"Lyss, Jan",,Person
"Madrid, Venetian artists in",,Person
Manin country house,,Place
Manin family,,Place
"Manin, Doge Lodovico",,Person
"Mantua, Ferdinando Carlo, Duke of",,Person
"Mantua, Ferdinando, Duke of",,Person
Marchands-amateurs,,Work
"Marchesi, Raffaelo",,Work
"Maria Teresa, Holy Roman Empress",,Person
"Marlborough, Duchess of",,Person
"Marucelli, Orazio",,Person
"Matina, L.",,Person
"Max Emmanuel, Elector of Bavaria",,Person
"Maximilian, Prince, Elector of Bavaria",,Person
"Mazenta, Ambrogio",,Person
"Mecklenburg, Christian Louis, Duke of",,Person
"Medici, Ferdinando II de', Grand Duke of Tuscany",,Person
"Medici, Francesco Maria de'",,Place
"Medici, Grand Duke Gian Gastone de'",,Person
"Medici, Grand Prince Ferdinand de'",,Person
"Melanconici, Niccol¨°",,Person
Miani family,,Place
"Mingardi, Francesco",,Place
"Minitti, Mario",,Person
"Modena, Duke of",,Person
"Monnot, Pierre",,Person
"Monte, Cardinal Francesco del",,Place
"Montefeltre, Federigo da",,Person
"Monterey, Count of",,Person
"Montorsoli, Giovanni",,Person
"Morandi, Giammaria",,Person
"Moscheni, Pietro",,Person
"Moschini, Abate G. A.",,Person
"Moscow, Venetian painting in",,Person
"Motteux, Pierre",,Person
"Munich, Nymphenburg palace",,Place (Reclassified)
"Munich, patronage in 17th century",,Person
"Muratori, L. A.",,Person
"Nadal, Jerome",,Place
"Nappi, P. Gerolamo",,Person
Nationalism and art,,Work
"Neapolitan painting, diffusion of",,Person
"Negroni, Cardinal Giovan Francesco",,Place
Nepotism in Rome,,Place
"Newcastle, Thomas Pelham-Holles, Duke of",,Person (Reclassified)
"Newcastle, William Cavendish, Duke of",,Person (Reclassified)
"Non, Dominique De (Dominique Vivant-Denon)",,Person
"Nordiall, John",,Person
"Novaroli, P. Octavio",,Person
"Olina, P.",,Person
Opera in Rome,,Place
"Orleans, Margherite d'",,Person
"Orleans, Philippe d', Regent",,Person
"Ortes, Abate Giuseppe Maria",,Person
"Osimo, Don Cesare Leopardi di",,Person
"Ottonelli, Padre",,Person
"Oxford, Robert Harley, Earl of",,Person
"Painting, social significance of",,Person
"Pamfili (Astalli), Camillo",,Person
Pamfili palace (Piazza Navona),,Place (Reclassified)
"Pamfili, Gianbattista (Pope Innocent X)",,Person
"Pamfili, Giulia",,Person
"Pamfili, Prince Camillo (nephew to Pope Innocent X)",,Person
"Panciatichi, Senator Francesco",,Place
"Paris, Venetian 18th-century artists in",,Place
"Parma, Academy",,Place
"Parmigianino, Francesco",,Place
"Pasquetti, Leonardo",,Person
"Passarowitz, Peace of",,Work
"Patriarch, Gaspare",,Work
Patron-artist relation,,Work
"Pedozzi, Padre Jacopo",,Person
"Peretti-Montalto, Cardinal Alessandro",,Person
"Perusini, Giovanni",,Person
"Pesci, Prospero",,Person
"Petau, P. Denis",,Person
"Peterborough, 3rd Earl of",,Person
"Piastrini, G. D.",,Person
"Piccino, Jacopo",,Person
"Pisa, Treaty of",,Work
"Pisani, Almor¨°",,Person
Platnerus,,Person
"Polazzo, Francesco",,Place
"Pomarance, Niccol¨° Circignani dalle",,Person
"Pompeati, Domenico",,Person
"Portland, Henry, first Duke of",,Person
Prices paid to artists,,Work
"Professional classes, patronage by",,Person
Provincial centres of art patronage,,Work
Publishers in Venice,,Place
"P?llnitz, Baron de",,Person
"Rastatt, Treaty of",,Work
Reason and fantasy,,Work
"Religious orders, patronage by",,Work
"Resta, Padre Sebastiano",,Person
"Ribera, Don Ferdinando Afan de",,Person
"Ricchini, Francesco Maria",,Place
"Ricciardi, Giambattista",,Person
"Richmond, Duke of",,Person
"Romanelli, Giovan Francesco",,Place
"Rosa, Paceco de",,Person
"Rosis, Giuseppe de",,Person
"Rossano, Princess of",,Person
"Rossi, Carlo de'",,Person
"Rossi, Ventura and Lorenzo",,Person
"Rosso, Andrea del (grandfather of Andrea, Lorenzo, and Ottavio del Rosso)",,Person
"Rosso, Giovanni Battista del",,Person
"Rosso, Nicola del",,Person
"Sagredo, Gherardo",,Person
"Sagredo, Stefano",,Person
"Sagrestani, Giovan Camillo",,Person
"Saint-Sauveur, Monsieur de",,Person
"San Rocco, Scuola di",,Place
"Santi, Tommaso de'",,Person
"Savoy, Adelaide Enrichetta of",,Person
"Savoy, Anne Marie of",,Person
"Savoy, Cardinal Maurizio of",,Person
"Savoy, Carlo Emmanuele III of",,Person
"Savoy, Duchess of",,Person
"Savoy, Vittorio Amedeo II, Duke of",,Person
"Schulenburg, Marshal Johann Matthias",,Person
Sch?nborn family,,Place
"Sch?nborn, Johann Philip Franz",,Person
"Serra, Mgr Giacomo",,Person
"Servient, Abb¨¦ de",,Person
Servizio particolare,,Work
"Shaftesbury, 1st Earl of",,Person
"Shaftesbury, 3rd Earl of",,Person
"Skala, Giovanni Dubravio",,Person
Social position of the artist,,Work
Soderini family,,Place
"Spanish Succession, War of",,Work
Spanish patronage,,Work
"St Petersburg, Venetian artists in",,Person
"Stael, Cornelius de",,Person
"Stanislas Poniatowski, King of Poland",,Person
"Stazio, Andrea",,Person
Stoicism in 17th century,,Work
"Storer, Cristoforo",,Person
"Styles, Benjamin",,Person
Superstition in Rome,,Place
"Tarso, Archbishop of",,Work
"Tencala, Cristoforo",,Person
Titles granted to artists,,Work
"Toni, Don Pietro Antonio",,Person
"Toninotto, Padre Giuseppe",,Person
"Uccelli, Ferdinando",,Person
"Udney, John",,Person
"Urbino, Francesco Maria della Rovere, Duke of",,Person
"Urbino, devolution to Papacy",,Person
"Utrecht, Treaty of",,Work
"Vacchelli, Giuliano",,Person
"Valentin, art dealer",,Person
"Valeriani, Domenico and Giuseppe",,Person
"Valeriano, Padre",,Person
Valmarana family,,Place
"Valmarana, Leonardo",,Person
"Vandi¨¨res, Marquis de (later Marquis de Marigny)",,Person
"Vanetti, Valerio",,Person
"Vassalli, Alessandro",,Person
Vatican palace,,Place (Reclassified)
"Veith, Giovanni Adalbertho",,Person
"Venezia, Padre Antonio da",,Person
"Venturi, Professor Franco",,Person
"Visconti, Antonio Maria",,Person
"Wael, Cornelius de",,Person
"Wael, Jean-Baptiste de",,Person
"Waldstein, Count of",,Person
"Wars of late 17th century, influence on art patronage",,Work
"White Hill, Battle of",,Work
Widmann country house,,Place
"Zambeccari, Marchesa Eleonora",,Person (Reclassified)
Zambelli family,,Place
"Zanetti, A. M., the Elder",,Person
"Zanetti, A. M., the Younger",,Person
"Zanotti, F. M.",,Person
"Zen, Procurator Alessandro",,Person
Zenobio family,,Place
Zenobio palace,,Place (Reclassified)
"den Einden, Ferdinand van",,Person
"den Einden, Jan van",,Person
A.M. Zanetti the Elder with Gerini,,
Abigail giving Presents to David,,
Academy at Parma,,
Accademia dei Cacadubbi,,
Accbremia Albrizziana,,Person (Reclassified)
Achille Bosisio,,Work
Aedes Barberina ad Quirinalem,,Place
Albergo del Moretto,,Place
Alessandro Vasalli,,Place
Alfredo Bardella,,Person
Alice Binion,,Work
Allegory of Clemency,,Place
Allegory of Coral fishing,,Person
Allegory of the Education of the Crown of the Palatinate,,Person
Altar Paintings for the Parish Church of San Canciano,,Person
Altar of Friendship,,Work
Altar of Friendship,,Work
Altar of Tranquility and Rural Life,,Person (Reclassified)
Altar of Wealth and Apollo,,Work
Altarpiece for Chiesa Nuova,,Work
Altarpiece for Santa Maria dei Cappuccini,,Place
Altarpiece for Saint Sebastian,,Work
Altarpiece for the Augustinian Church,,Work
Altarpieces for the Royal Chapel,,Work
Andromache weeping before Aeneas,,Work
Angelica Gri¨¨,,Work
Angels carrying the Instruments of the Passion and of Saint Philip in Ecstasy,,Work
Animals and Figures in the Flemish Style|des animaux et figures ¨¤ la flamande,,Work
Annamaria Gabrielli,,Work
Annan Gallery,,Person
Antichiesetta,,Work
Antichita di Palazzi,,Work
Anton Francesco Goli,,Person
Antonio Paluello,,Place
Antonio Pitteri,,Place
Apollo conducting Frederick Barbarossa's bride: Beatrice of Burgundy,,Work
Apostolic Chamber of Commerc,,Person
Apotheosis of the Pisani,,Person
Arch. del Gov. di Roma,,Person
Archivio Comunale di Treviso,,Work
Archivio Mediceo,,Place
Archivio Storico per la Province Napoletane,,Work
Archiviodella Compagnia di Ges¨´,,Place
Ariadne being woken by Love,,Place
Arnaldi Lodovico,,Place
Art Institute of Chicago Robert A. Waller Fund,,Place
"Arts Graphiques de la Cit¨¦,Agraci",,Place
Augustinian Monastery Altarpiece,,Work
Barberini Chapel in San Andrea della Valle,,Person
Barberini Chapelin SanAndreadella Valle),,Place
Barberini library,,Place
Basilica of Santa Cecilia in Bologna,,Work
Batlisheba Bathing,,Work
Battaria di Cusina,,Work
Battistela,,Place
Beatae Mariae Virginis Officium,,Place
Beggar holding a Rosary,,Work
Bell Towers for Saint Peter's Basilica (demolished),,Work
Bensburg Castle,,Place
Bergamasque community,,Work
Biblioceca Estense,,Work
Biblioteca Correr,,Work
Biblioteca Govemadva,,Place
Harold von Hocheim being invested with the princedom by the Emperor in 1163,,Place
Boyle/Locke/Sydenham,,Place
Brutus killing Arruns,,Place
Bust of Francis Bacon,,Place
Bust of Paolo Renier,,Person (Reclassified)
Bust of Phocion,,Work
Caesar and the Corsairs of Cilicia,,Work
Caiano Ferdinand,,Work
Calabrian national church,,Work
Caprizi Copiosi di Figure,,Work
Capuchin church in Rome,,Work
Mazarin in His Gallery,,Person
Caricature of Cassiano dal Pozzo,,Place
Carlo Baccinelli,,Work
Carlo Grimaldo,,Place
Carlo Quarismini,,Person (Reclassified)
Carro Della Notte,,Work
Casa Soster,,Person
Castel Cogolo,,Person
Castello Sfarzesco,,Person
Castle of Cogolo,,Work
Cathedral of Rome,,Place
Cattedrale Chiesa di Parenzo,,Place
Dello speron d'oro,,Place
Ceiling Frescoes in Palazzo Altieri,,Work
Ceiling Frescoes in the Quirinal Palace Gallery,,Place
Ceiling Paintings at Hampton Court,,Place
Ceiling fresco of the Augustinian Church,,Person (Reclassified)
